energy_low_MeV,energy_high_MeV,energy_center_MeV,photon_fluence_per_MeV_per_incident_electron,relative_statistical_uncertainty_percent
0.0,0.25,0.125,2.14e-05,1.0
0.25,0.5,0.375,0.000126,0.4
0.5,0.75,0.625,0.000131,0.3
0.75,1.0,0.875,0.000114,0.3
1.0,1.25,1.125,9.76e-05,0.4
1.25,1.5,1.375,8.36e-05,0.4
1.5,1.75,1.625,7.25e-05,0.4
1.75,2.0,1.875,6.23e-05,0.4
2.0,2.25,2.125,5.35e-05,0.5
2.25,2.5,2.375,4.59e-05,0.5
2.5,2.75,2.625,3.95e-05,0.5
2.75,3.0,2.875,3.47e-05,0.5
3.0,3.25,3.125,2.98e-05,0.6
3.25,3.5,3.375,2.61e-05,0.6
3.5,3.75,3.625,2.25e-05,0.6
3.75,4.0,3.875,1.91e-05,0.7
4.0,4.25,4.125,1.66e-05,0.7
4.25,4.5,4.375,1.38e-05,0.8
4.5,4.75,4.625,1.14e-05,0.8
4.75,5.0,4.875,9.04e-06,0.9
5.0,5.25,5.125,6.55e-06,1.0
5.25,5.5,5.375,4.09e-06,1.3
5.5,5.75,5.625,1.4e-06,2.2
5.75,6.0,5.875,4.34e-08,11.4
