energy_low_MeV,energy_high_MeV,energy_center_MeV,photon_fluence_per_MeV_per_incident_electron,relative_statistical_uncertainty_percent
0.0,0.25,0.125,2.35e-05,2.43
0.25,0.5,0.375,5.52e-05,1.55
0.5,0.75,0.625,0.000122,0.96
0.75,1.0,0.875,0.000164,0.78
1.0,1.25,1.125,0.000194,0.7
1.25,1.5,1.375,0.000207,0.66
1.5,1.75,1.625,0.000215,0.66
1.75,2.0,1.875,0.000205,0.64
2.0,2.25,2.125,0.000199,0.65
2.25,2.5,2.375,0.000186,0.66
2.5,2.75,2.625,0.000177,0.66
2.75,3.0,2.875,0.000166,0.68
3.0,3.25,3.125,0.000155,0.7
3.25,3.5,3.375,0.000144,0.7
3.5,3.75,3.625,0.000133,0.73
3.75,4.0,3.875,0.000127,0.74
4.0,4.25,4.125,0.000119,0.78
4.25,4.5,4.375,0.00011,0.78
4.5,4.75,4.625,0.000105,0.82
4.75,5.0,4.875,9.61e-05,0.83
5.0,5.25,5.125,9.16e-05,0.84
5.25,5.5,5.375,8.6e-05,0.88
5.5,5.75,5.625,8.09e-05,0.88
5.75,6.0,5.875,7.69e-05,0.9
6.0,6.25,6.125,7.09e-05,0.94
6.25,6.5,6.375,6.82e-05,0.94
6.5,6.75,6.625,6.46e-05,0.98
6.75,7.0,6.875,5.95e-05,0.99
7.0,7.25,7.125,5.69e-05,1.01
7.25,7.5,7.375,5.33e-05,1.06
7.5,7.75,7.625,5.02e-05,1.04
7.75,8.0,7.875,4.95e-05,1.1
8.0,8.25,8.125,4.69e-05,1.11
8.25,8.5,8.375,4.34e-05,1.15
8.5,8.75,8.625,4.18e-05,1.16
8.75,9.0,8.875,4.01e-05,1.16
9.0,9.25,9.125,3.77e-05,1.22
9.25,9.5,9.375,3.53e-05,1.23
9.5,9.75,9.625,3.45e-05,1.23
9.75,10.0,9.875,3.39e-05,1.3
10.0,10.25,10.125,3.1e-05,1.31
10.25,10.5,10.375,2.96e-05,1.39
10.5,10.75,10.625,2.82e-05,1.39
10.75,11.0,10.875,2.68e-05,1.42
11.0,11.25,11.125,2.54e-05,1.45
11.25,11.5,11.375,2.44e-05,1.45
11.5,11.75,11.625,2.34e-05,1.52
11.75,12.0,11.875,2.22e-05,1.57
12.0,12.25,12.125,2.1e-05,1.57
12.25,12.5,12.375,2.06e-05,1.59
12.5,12.75,12.625,2.01e-05,1.65
12.75,13.0,12.875,1.86e-05,1.7
13.0,13.25,13.125,1.75e-05,1.77
13.25,13.5,13.375,1.66e-05,1.76
13.5,13.75,13.625,1.61e-05,1.78
13.75,14.0,13.875,1.53e-05,1.85
14.0,14.25,14.125,1.49e-05,1.87
14.25,14.5,14.375,1.4e-05,1.91
14.5,14.75,14.625,1.27e-05,2.0
14.75,15.0,14.875,1.25e-05,2.05
15.0,15.25,15.125,1.18e-05,2.12
15.25,15.5,15.375,1.05e-05,2.24
15.5,15.75,15.625,1.06e-05,2.22
15.75,16.0,15.875,9.53e-06,2.34
16.0,16.25,16.125,8.98e-06,2.38
16.25,16.5,16.375,8.25e-06,2.48
16.5,16.75,16.625,7.15e-06,2.66
16.75,17.0,16.875,6.53e-06,2.78
17.0,17.25,17.125,5.44e-06,3.05
17.25,17.5,17.375,4.39e-06,3.39
17.5,17.75,17.625,3.66e-06,3.72
17.75,18.0,17.875,2.37e-06,4.61
18.0,18.25,18.125,1.25e-06,6.35
18.25,18.5,18.375,3.63e-07,11.79
18.5,18.75,18.625,6.57e-08,27.74
