energy_low_MeV,energy_high_MeV,energy_center_MeV,photon_fluence_per_MeV_per_incident_electron,relative_statistical_uncertainty_percent
0.0,0.25,0.125,1.81e-05,1.3
0.25,0.5,0.375,8.45e-05,0.53
0.5,0.75,0.625,0.000109,0.45
0.75,1.0,0.875,0.000111,0.43
1.0,1.25,1.125,0.000111,0.43
1.25,1.5,1.375,0.000109,0.43
1.5,1.75,1.625,0.000102,0.44
1.75,2.0,1.875,9.49e-05,0.44
2.0,2.25,2.125,8.79e-05,0.45
2.25,2.5,2.375,8.13e-05,0.46
2.5,2.75,2.625,7.5e-05,0.47
2.75,3.0,2.875,6.89e-05,0.49
3.0,3.25,3.125,6.35e-05,0.5
3.25,3.5,3.375,5.88e-05,0.51
3.5,3.75,3.625,5.42e-05,0.52
3.75,4.0,3.875,5e-05,0.53
4.0,4.25,4.125,4.65e-05,0.56
4.25,4.5,4.375,4.3e-05,0.57
4.5,4.75,4.625,3.96e-05,0.59
4.75,5.0,4.875,3.64e-05,0.61
5.0,5.25,5.125,3.42e-05,0.62
5.25,5.5,5.375,3.18e-05,0.64
5.5,5.75,5.625,2.89e-05,0.66
5.75,6.0,5.875,2.74e-05,0.68
6.0,6.25,6.125,2.54e-05,0.7
6.25,6.5,6.375,2.36e-05,0.73
6.5,6.75,6.625,2.16e-05,0.74
6.75,7.0,6.875,2e-05,0.77
7.0,7.25,7.125,1.85e-05,0.8
7.25,7.5,7.375,1.71e-05,0.83
7.5,7.75,7.625,1.56e-05,0.87
7.75,8.0,7.875,1.43e-05,0.9
8.0,8.25,8.125,1.32e-05,0.92
8.25,8.5,8.375,1.19e-05,0.99
8.5,8.75,8.625,1.06e-05,1.03
8.75,9.0,8.875,9.17e-06,1.08
9.0,9.25,9.125,8.03e-06,1.17
9.25,9.5,9.375,6.68e-06,1.28
9.5,9.75,9.625,5.53e-06,1.39
9.75,10.0,9.875,4.08e-06,1.64
10.0,10.25,10.125,2.53e-06,2.03
10.25,10.5,10.375,9.98e-07,3.21
10.5,10.75,10.625,1.2e-07,9.21
10.75,11.0,10.875,3.07e-09,57.74
