sample_id,subbin_peak_frequency,spectral_centroid_frequency,spectral_spread,normalized_cycles_per_model_unit,omega_rad_per_model_unit
A,1.492937527141733,39.28658838181001,29.928047321597926,1.3690594364762079,8.602054135922874
B,3.275202143490048,23.6096652690221,25.389846126771005,0.822749858411353,5.169489821854298
C,1.6268393605975089,36.53541232298042,29.16732521423784,1.2731864248483515,7.999666237907669
D,1.792735575105205,22.787046433032756,25.865596709015445,0.7940832287440203,4.989372075522154
R,2.615720724307592,25.769748196995273,26.31150351538744,0.8980244505284448,5.642454033048345
S,2.425568391519212,29.562283587293635,29.357915684418828,1.0301867628625436,6.4728543320688345
T,2.7053564385690616,31.100931559262346,28.413122319742182,1.0838055832336724,6.809751316413013
U,2.545205236657949,24.387529741690273,26.636338915413997,0.8498568875648191,5.339808309152645
V,1.7527064135109907,28.696042943854142,28.454011698580853,1.0,6.283185307179586
