sample_id,lag_samples,lag_log_energy,mutual_information
A,25,0.06905273807040757,1.366336248827528
A,26,0.07181484759322387,1.3561920084388772
A,27,0.07457695711604018,1.3483266676640673
A,28,0.07733906663885648,1.3847989739363724
A,29,0.08010117616167278,1.3571642206547994
A,30,0.08286328568448909,1.3528034139329987
A,31,0.08562539520730539,1.3536986943574743
A,32,0.08838750473012169,1.3548847228859096
A,33,0.091149614252938,1.3482336210461776
A,34,0.0939117237757543,1.335569550617656
A,35,0.0966738332985706,1.3623269984287854
A,36,0.0994359428213869,1.3524672254848236
A,37,0.1021980523442032,1.33274839807242
A,38,0.10496016186701951,1.3379975584364354
A,39,0.10772227138983581,1.3387582563424587
A,40,0.11048438091265211,1.338143356793756
A,41,0.11324649043546842,1.3551807691752291
A,42,0.11600859995828472,1.3436592367980893
A,43,0.11877070948110102,1.3417882193627761
A,44,0.12153281900391733,1.3335560267300517
A,45,0.12429492852673363,1.3420366520916156
A,46,0.12705703804954993,1.315293832649382
A,47,0.12981914757236623,1.3211835231153994
A,48,0.13258125709518254,1.3394962712333616
A,49,0.13534336661799884,1.3389094741850878
A,60,0.16572657136897817,1.326859496583988
A,72,0.1988718856427738,1.3475516580967852
A,84,0.23201719991656944,1.3212016859216789
A,95,0.26240040466754877,1.3457232249465516
A,107,0.2955457189413444,1.3174335949978104
A,119,0.32869103321514004,1.300563117250232
A,131,0.3618363474889357,1.3352997103803608
A,142,0.392219552239915,1.2910392418024488
A,154,0.42536486651371064,1.306790597656918
A,166,0.45851018078750627,1.2935243137500603
A,178,0.4916554950613019,1.3028739818628639
A,189,0.5220386998122812,1.2929746829994668
A,201,0.5551840140860769,1.297146975422888
A,213,0.5883293283598725,1.2945350484496299
A,225,0.6214746426336681,1.2979599460996392
A,236,0.6518578473846475,1.3078676571722694
A,248,0.6850031616584431,1.2722870128560375
A,260,0.7181484759322387,1.2953964010203283
A,272,0.7512937902060344,1.2870622856819214
A,283,0.7816769949570137,1.2895310027949058
A,295,0.8148223092308093,1.2795162721428195
A,307,0.847967623504605,1.2797041227745964
A,319,0.8811129377784006,1.2842888422586407
A,330,0.9114961425293799,1.2439636508323941
A,342,0.9446414568031756,1.2542506581429436
A,354,0.9777867710769712,1.2570732626212138
A,366,1.0109320853507668,1.2504941744411537
A,377,1.0413152901017462,1.2555131022419337
A,389,1.0744606043755418,1.2276450769709886
A,401,1.1076059186493374,1.2325940868854675
A,413,1.140751232923133,1.2275632531117662
A,424,1.1711344376741124,1.2398929493099322
A,436,1.204279751947908,1.2149102771962816
A,448,1.2374250662217037,1.2302264389185824
A,460,1.2705703804954993,1.2124159345502195
A,471,1.3009535852464786,1.208826849060899
A,483,1.3340988995202743,1.2106351855018973
A,495,1.36724421379407,1.2075863547599486
A,507,1.4003895280678655,1.2106023529398335
A,518,1.4307727328188449,1.2038064143568539
A,530,1.4639180470926405,1.1787386762206635
A,542,1.4970633613664361,1.18599808216835
A,554,1.5302086756402318,1.1584191300519846
A,565,1.560591880391211,1.1817039652687695
A,577,1.5937371946650067,1.1542716340750108
A,589,1.6268825089388024,1.160975974931647
A,601,1.660027823212598,1.1421025061567613
A,612,1.6904110279635773,1.1305915635870667
A,624,1.723556342237373,1.1554077496985524
A,636,1.7567016565111686,1.1325767159418367
A,648,1.7898469707849642,1.152144426254349
A,659,1.8202301755359436,1.115419966639685
A,671,1.8533754898097392,1.0892357007600895
A,683,1.8865208040835348,1.1149666009377661
A,695,1.9196661183573305,1.1007619828642294
A,706,1.9500493231083098,1.0981393128918313
A,718,1.9831946373821054,1.0788232461145393
A,730,2.016339951655901,1.0913832578623541
A,742,2.0494852659296967,1.0814573635034996
A,753,2.079868470680676,1.0566330118083878
A,765,2.1130137849544717,1.0641705901767695
A,777,2.1461590992282673,1.0508936650284157
A,789,2.179304413502063,1.0468388988998747
A,800,2.2096876182530423,1.0448168143981222
A,812,2.242832932526838,1.0303446467245632
A,824,2.2759782468006335,1.029557640999518
A,836,2.309123561074429,0.9980499799255211
A,847,2.3395067658254085,0.9997659560099343
A,859,2.372652080099204,1.018904320206194
A,871,2.4057973943729998,1.0073603557889994
A,883,2.4389427086467954,0.9947947021291093
A,894,2.4693259133977747,0.9841924925613412
A,906,2.5024712276715704,0.9548955557476839
A,918,2.535616541945366,0.9793786276941336
A,930,2.5687618562191616,0.9759828683531175
A,941,2.599145060970141,0.9516514713667075
A,953,2.6322903752439366,0.9361294364018837
A,965,2.6654356895177322,0.9329610721584798
A,977,2.698581003791528,0.9418131858190355
A,988,2.728964208542507,0.9002008517245343
A,1000,2.762109522816303,0.9058051796644682
B,25,0.06905273807040757,1.0720159918346583
B,36,0.0994359428213869,1.0737626707610701
B,37,0.1021980523442032,1.0767382139717876
B,38,0.10496016186701951,1.0752210766428671
B,39,0.10772227138983581,1.059660880307507
B,40,0.11048438091265211,1.07215052711941
B,41,0.11324649043546842,1.0662459508157704
B,42,0.11600859995828472,1.0654798326910804
B,43,0.11877070948110102,1.0470822911306756
B,44,0.12153281900391733,1.0667015099997927
B,45,0.12429492852673363,1.0687327655999521
B,46,0.12705703804954993,1.0642271334014275
B,47,0.12981914757236623,1.0467232428665891
B,48,0.13258125709518254,1.0621271723862478
B,49,0.13534336661799884,1.055966262391089
B,50,0.13810547614081514,1.0610818568651261
B,51,0.14086758566363144,1.0582129533504245
B,52,0.14362969518644775,1.0596087316578604
B,53,0.14639180470926405,1.0398889974347085
B,54,0.14915391423208035,1.0530433544476088
B,55,0.15191602375489666,1.0596975945725333
B,56,0.15467813327771296,1.044530865627423
B,57,0.15744024280052926,1.0669552272285099
B,58,0.16020235232334556,1.082075661495021
B,59,0.16296446184616187,1.0645636637433444
B,60,0.16572657136897817,1.06571829087091
B,72,0.1988718856427738,1.056249275080937
B,84,0.23201719991656944,1.0505074169918442
B,95,0.26240040466754877,1.039406629558485
B,107,0.2955457189413444,1.03711331735758
B,119,0.32869103321514004,1.043290331421737
B,131,0.3618363474889357,1.0408674697437057
B,142,0.392219552239915,1.0391384518235256
B,154,0.42536486651371064,1.0172282975375913
B,166,0.45851018078750627,1.0018388452385771
B,178,0.4916554950613019,1.0091511365443644
B,189,0.5220386998122812,1.011888817437911
B,201,0.5551840140860769,1.0161502021813895
B,213,0.5883293283598725,1.0093268493559968
B,225,0.6214746426336681,1.0243612505645574
B,236,0.6518578473846475,1.002103725310925
