K,aggregate_circular_mean,aggregate_resultant_length,aggregate_normalized_concentration,aggregate_stabilization_TV
0.0,0.2741753037189798,0.19162108162707425,0.0033493416944245956,0.22006349206349193
0.1208304866765305,0.2840908981017863,0.24462817941384463,0.005353830557182987,0.25212698412698403
0.241660973353061,0.27655903705018653,0.29097690648815594,0.008004264158329891,0.2787936507936506
0.3624914600295915,0.2569376145350853,0.3197395274390746,0.01260490639491796,0.29911111111111094
0.483321946706122,0.23095820479157425,0.31376679399111074,0.021043107191826053,0.3137777777777776
0.6041524333826525,0.1999412059169085,0.26874691705188003,0.028216884708312177,0.34692063492063474
0.724982920059183,0.15690607331745302,0.20400605628031157,0.021572916323708707,0.3890158730158728
0.8458134067357135,0.058716936446646335,0.16213680014795082,0.006951811352791746,0.4723174603174601
0.966643893412244,0.9363038592233637,0.1991668326264139,0.006003278594284674,0.5653333333333331
1.0874743800887745,0.009349382007551301,0.1091295373307546,0.012499439545352457,0.5655873015873015
1.208304866765305,0.450921510928119,0.23542869551777082,0.19184077549134174,0.2624126984126982
1.3291353534418355,0.41680044291846413,0.35738563568897747,0.24518533777491036,0.2657777777777776
1.449965840118366,0.3643120731565851,0.48489714795430144,0.1708002727805399,0.43638095238095215
1.5707963267948966,0.4389493405738151,0.3646746276516385,0.14008162727792628,0.24863492063492051
1.691626813471427,0.4207355892140323,0.42192011029588866,0.02363074061007408,0.022984126984126985
1.8124573001479576,0.4017970611937595,0.4328994989834838,0.027834573649458298,0.02584126984126981
1.933287786824488,0.36001116334385197,0.5409662758699286,0.03306044183156796,0.03161904761904763
2.0541182735010186,0.3366920952444798,0.6114246997466102,0.0656325413808189,0.020126984126984104
2.174948760177549,0.20402222051628155,0.9157177584651994,0.7907133111233546,0.06311111111111115
2.2957792468540794,0.19762047912827746,0.9841088537074947,0.9638643015209798,0.014793650793650833
2.41660973353061,0.18896369299280855,0.6209170585863993,0.5563029287341537,0.005460317460317493
2.5374402202071407,0.1773444823904061,0.7372828369060075,0.642788997843738,0.06590476190476184
2.658270706883671,0.16275805430877555,0.9372401932131253,0.8502807603361737,0.04882539682539678
2.7791011935602015,0.1254051732246077,0.9959099640448632,0.9798524120441849,0.009015873015872969
2.899931680236732,0.14097105660444384,0.9934075454849584,0.4815382533145434,0.016698412698412688
3.0207621669132623,0.13728191029106301,0.9453703094141501,0.46758337709795333,0.016380952380952378
3.141592653589793,0.11165734434142745,0.9042181425627241,0.4962908699452685,0.0008888888888888026
3.2624231402663235,0.13497948708101715,0.8683700982266598,0.35493278359098296,0.04165079365079361
3.383253626942854,0.12278930387803788,0.8434949397857715,0.11847938441427375,0.014730158730158708
3.5040841136193843,0.13801653078791695,0.7907908278696993,0.09556511855761193,0.0034920634920635176
3.624914600295915,0.15596321937846896,0.6820028457824754,0.05646831327971143,0.01453968253968253
3.7457450869724456,0.24313592433844125,0.2712672930584777,0.023644494610988553,0.02146031746031745
3.866575573648976,0.3556074043242409,0.11215214363897573,0.009774533672992625,0.0222222222222222
3.9874060603255064,0.28808997934359076,0.06446828562940747,0.01033810490560031,0.02355555555555552
4.108236547002037,0.16304301238269356,0.00963715991396593,0.009975751779988303,0.023999999999999987
4.229067033678567,0.7610960581489807,0.6187536903680936,0.34288277379283777,0.11415873015873006
4.349897520355098,0.7897596010454039,0.6710328702125969,0.3665605664637908,0.10844444444444437
4.470728007031629,0.8030467872389198,0.9748865041266151,0.9360162957727562,0.02330158730158722
4.591558493708159,0.8039948652935114,0.9954682368049261,0.9596522662476158,0.017460317460317395
4.71238898038469,0.8219309455040908,0.992317945462491,0.4804687689589368,0.00374603174603172
4.83321946706122,0.8217697794704613,0.9437826629383397,0.47906973205254333,0.0023492063492064467
4.9540499537377505,0.8206387638865748,0.9418050297085437,0.22491460761620125,0.009714285714285724
5.074880440414281,0.8083500089748809,0.8690306461698679,0.1617418877782631,0.016571428571428577
5.195710927090811,0.7722478446362475,0.5741592876114244,0.049944610882435535,0.013460317460317447
5.316541413767342,0.7764129437145219,0.4094103067502278,0.025241538963981867,0.025142857142857127
5.437371900443872,0.8028992462057489,0.41427173499738706,0.029410890848489916,0.0238095238095238
5.558202387120403,0.7916876348291528,0.24418095390900907,0.015185098438811035,0.02190476190476189
5.679032873796934,0.8441391965909685,0.2982206092101965,0.016969623620075105,0.025269841269841276
5.799863360473464,0.8487055971220261,0.22855894850101538,0.017076520216848124,0.01942857142857142
5.920693847149995,0.8481546929841439,0.2673549238077358,0.013519961329922565,0.029841269841269842
6.0415243338265245,0.908354802507466,0.24239493595432132,0.015345297014811913,0.0283174603174603
6.162354820503055,0.863802057017572,0.15671894536480466,0.006746788947670806,0.023492063492063467
6.283185307179586,0.9018710377284085,0.24946655930382705,0.011096180286094643,0.02368253968253965
6.404015793856116,0.9496065239075362,0.1889004266194403,0.0817595464105232,0.08628571428571426
6.524846280532647,0.936863064674788,0.24375594447691082,0.014812293944722967,0.01682539682539682
6.645676767209178,0.8655217480217269,0.20682440574614078,0.009691365863207619,0.025523809523809494
6.766507253885708,0.8000817734919402,0.07943184585655448,0.007920628127237147,0.017777777777777788
6.887337740562239,0.8870404483219738,0.11236669864059005,0.007341998562929182,0.022222222222222195
7.008168227238769,0.5493517730017501,0.09798632790040061,0.011281721340376253,0.02082539682539682
7.1289987139152995,0.4036832169483539,0.09077496097524208,0.010241275066943402,0.021714285714285724
7.24982920059183,0.36489963132698716,0.3123693261916879,0.02480089254684207,0.023619047619047588
7.37065968726836,0.2736765606300181,0.162606747813018,0.011932908485192352,0.027111111111111103
7.491490173944891,0.32022779087789793,0.13568505231624897,0.008135458096536026,0.023174603174603167
7.612320660621421,0.37614728803657743,0.19852390572707804,0.02014517577893261,0.023111111111111103
7.733151147297952,0.3824451027390762,0.17324100608666437,0.005279299758306589,0.02311111111111109
7.853981633974483,0.4210276263807812,0.19555285218007454,0.010786418446654131,0.027746031746031727
7.974812120651013,0.41250140748745606,0.23599179510430693,0.008805139983007351,0.019555555555555555
