sample_id,theta0_cycles,phase_resultant_length,rotation_mean_mod1,rotation_std_mod1,rotation_min_mod1,rotation_max_mod1,rotation_mean_unwrapped,rotation_std_unwrapped
A,0.96243690724173,0.17965521178979807,0.44323921785958736,0.3808894452887694,0.0,1.0,0.4988401248890658,0.3865859661031271
B,0.9353822104096684,0.2013258809880759,0.44075673157287754,0.380482281089036,0.0,1.0,0.5037045773778662,0.38638731195914683
C,0.910621010504215,0.14260403216054532,0.4372443131187662,0.3800383712236323,0.0,1.0,0.5078112065428025,0.38655034030479446
D,0.9209408510851587,0.19472838634946432,0.4386947100431351,0.3802870817796499,0.0,1.0,0.5066312179796431,0.38661429928029684
R,0.9530419848158876,0.1745954091964063,0.44828476267322775,0.38165313989532784,0.0,1.0,0.5029786402242482,0.38651738085217663
S,0.961368409370718,0.2085647290974128,0.4448572878856769,0.3814477365563168,0.0,1.0,0.5007303037586928,0.38677685765124564
T,0.9426047179101126,0.20521982722543733,0.44124535931908954,0.3804983834085135,0.0,1.0,0.5044653139676157,0.3862673263621135
U,0.9430596718025415,0.2103576590664238,0.44608756771369695,0.3813666785294947,0.0,1.0,0.5040467513871664,0.38648089768433186
V,0.9685514868169119,0.22269287442978183,0.4485508769926201,0.3818132868493204,0.0,1.0,0.498800310099196,0.38685874227201006
