file,stem,path,source_dir,channel,embedding_dimension,status,error,n_samples_original,n_samples_used,state_dim,subsample_step,dt_used,steps_used,elapsed_sec,dataset_id,sample_id,observable,ordered_coordinate,source_file,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,LLE,MLE,most_negative_exp,sum_exponents,mean_exponent,std_exponent,spectral_radius_abs,positive_count,negative_count,near_zero_count,KS_entropy_proxy,Kaplan_Yorke_dim,expansion_entropy,chaos_timescale,hyperchaos_flag,dissipative_flag,reliable_steps_flag,quality_score,divergence_coordinate_scale,multiple_positive_directions_flag
2dembedded_C__macroscopic_removal_cross_section.npy,2dembedded_C__macroscopic_removal_cross_section,2dembedding_data/2dembedded_C__macroscopic_removal_cross_section.npy,2dembedding_data,C__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010875463485717773,N003,C,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,290.79412383735166,49.99660304340315,,,,,,,,,290.79412383735166,170.3953634403774,49.99660304340315,340.7907268807548,170.3953634403774,120.39876039697425,290.79412383735166,2,0,0,340.7907268807548,2.0,0.6015394705860067,0.0034388590347146242,True,False,True,70.71067811865474,0.0034388590347146242,True
2dembedded_T__macroscopic_removal_cross_section.npy,2dembedded_T__macroscopic_removal_cross_section,2dembedding_data/2dembedded_T__macroscopic_removal_cross_section.npy,2dembedding_data,T__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010967493057250977,N003,T,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,274.71410686149443,58.8117022713952,,,,,,,,,274.71410686149443,166.7629045664448,58.8117022713952,333.5258091328896,166.7629045664448,107.95120229504961,274.71410686149443,2,0,0,333.5258091328896,2.0,0.6719895865784079,0.003640147975743309,True,False,True,70.71067811865474,0.003640147975743309,True
2dembedded_U__transmission.npy,2dembedded_U__transmission,2dembedding_data/2dembedded_U__transmission.npy,2dembedding_data,U__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.011235237121582031,N003,U,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,265.7330288328694,63.337504549007285,,,,,,,,,265.7330288328694,164.53526669093836,63.337504549007285,329.0705333818767,164.53526669093836,101.19776214193107,265.7330288328694,2,0,0,329.0705333818767,2.0,0.7066181737184759,0.003763175411021043,True,False,True,70.71067811865474,0.003763175411021043,True
2dembedded_T__transmission.npy,2dembedded_T__transmission,2dembedding_data/2dembedded_T__transmission.npy,2dembedding_data,T__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010993719100952148,N003,T,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,259.9717434757007,60.419929611832266,,,,,,,,,259.9717434757007,160.1958365437665,60.419929611832266,320.391673087533,160.1958365437665,99.7759069319342,259.9717434757007,2,0,0,320.391673087533,2.0,0.698494535284792,0.0038465718875077244,True,False,True,70.71067811865474,0.0038465718875077244,True
2dembedded_C__transmission.npy,2dembedded_C__transmission,2dembedding_data/2dembedded_C__transmission.npy,2dembedding_data,C__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010849237442016602,N003,C,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,274.8818986473371,44.51070996482932,,,,,,,,,274.8818986473371,159.69630430608322,44.51070996482932,319.39260861216644,159.69630430608322,115.18559434125389,274.8818986473371,2,0,0,319.39260861216644,2.0,0.582561535325788,0.003637925978105097,True,False,True,70.71067811865474,0.003637925978105097,True
10dembedded_S__transmission.npy,10dembedded_S__transmission,embeddings_4to10/10dembedded_S__transmission.npy,embeddings_4to10,S__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013809919357299805,N003,S,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,121.77999838396141,86.54929464353678,56.84990061995029,32.195859521805204,14.08755739844234,-15.860850012859874,-33.687982720655896,-55.36573066097527,-109.39359639492461,-226.30881226566038,121.77999838396141,88.39306454914949,-226.30881226566038,-129.15436148738002,-12.915436148738001,96.30911465729577,226.30881226566038,5,5,0,311.462610567696,9.429300343215235,0.8748940131224936,0.008211529095665526,True,True,False,53.03300858899106,0.008211529095665526,True
2dembedded_V__transmission.npy,2dembedded_V__transmission,2dembedding_data/2dembedded_V__transmission.npy,2dembedding_data,V__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.01145482063293457,N003,V,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,282.2111302939339,26.89908835932622,,,,,,,,,282.2111302939339,154.55510932663006,26.89908835932622,309.1102186532601,154.55510932663006,127.65602096730383,282.2111302939339,2,0,0,309.1102186532601,2.0,0.42644743796728873,0.003543446351525757,True,False,True,70.71067811865474,0.003543446351525757,True
2dembedded_U__macroscopic_removal_cross_section.npy,2dembedded_U__macroscopic_removal_cross_section,2dembedding_data/2dembedded_U__macroscopic_removal_cross_section.npy,2dembedding_data,U__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.011841297149658203,N003,U,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,270.38791913060544,37.56161444292891,,,,,,,,,270.38791913060544,153.97476678676716,37.56161444292891,307.9495335735343,153.97476678676716,116.41315234383826,270.38791913060544,2,0,0,307.9495335735343,2.0,0.5350065217865722,0.0036983900878980107,True,False,True,70.71067811865474,0.0036983900878980107,True
10dembedded_R__macroscopic_removal_cross_section.npy,10dembedded_R__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_R__macroscopic_removal_cross_section.npy,embeddings_4to10,R__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013806819915771484,N003,R,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,124.76933276915135,88.39154596770761,47.68445418303725,36.67630015946617,8.723049557535607,-18.34125597760917,-39.68037043855603,-61.882770818040356,-107.33533284260204,-283.6985827623128,124.76933276915135,86.94844430663208,-283.6985827623128,-204.6936302022224,-20.46936302022224,109.83247409680853,283.6985827623128,5,5,0,306.244682636898,9.278482013518841,0.8509704133745767,0.008014789995312417,True,True,False,53.03300858899106,0.008014789995312417,True
10dembedded_S__macroscopic_removal_cross_section.npy,10dembedded_S__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_S__macroscopic_removal_cross_section.npy,embeddings_4to10,S__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013939619064331055,N003,S,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,132.38381843229837,87.72524028884284,56.038494859130374,26.052995208496707,0.8849673929264193,-8.360763099148397,-29.188281898747498,-62.44382369323726,-103.31015573584725,-248.2969789840758,132.38381843229837,92.04918452675719,-248.2969789840758,-148.5144872293615,-14.85144872293615,101.97100560231067,248.2969789840758,5,5,0,303.0855161816947,9.401867522363668,0.7833263498005357,0.007553793294694881,True,True,False,53.03300858899106,0.007553793294694881,True
2dembedded_S__transmission.npy,2dembedded_S__transmission,2dembedding_data/2dembedded_S__transmission.npy,2dembedding_data,S__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010882139205932617,N003,S,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,249.11454599182335,52.39185480148181,,,,,,,,,249.11454599182335,150.75320039665257,52.39185480148181,301.50640079330515,150.75320039665257,98.36134559517077,249.11454599182335,2,0,0,301.50640079330515,2.0,0.6662498964527077,0.004014217620326445,True,False,True,70.71067811865474,0.004014217620326445,True
