embedding_dimension,n_files,LLE_mean,LLE_median,LLE_std,KS_entropy_mean,KY_dim_mean,positive_count_mean,sum_exponents_mean,quality_score_mean,elapsed_sec_mean
2,18,250.61550176626213,248.57653295667262,24.20808745740579,287.7928840170214,2.0,1.8888888888888888,287.14211735642425,70.71067811865474,0.011186679204305014
3,18,145.81832806098816,144.9145398765977,8.992671369896883,179.4758054840779,2.9560356691447294,2.0,3.3385912433594975,70.71067811865474,0.012259112464057075
4,18,107.45765694867849,106.88166112429113,8.990453971688677,140.82253788992065,3.3946926897210075,2.0,-132.44673116208827,70.71067811865474,0.012835317187839083
5,18,93.83991024117864,95.21286083233596,8.128153849245153,133.29685229655763,4.120295305530507,2.0555555555555554,-202.85083939438437,70.71067811865474,0.012707352638244629
6,18,81.89408303015085,80.00614880232038,9.694348786095981,134.70102496146993,4.902830086193606,2.7777777777777777,-243.2478585974757,70.71067811865474,0.012681086858113607
7,18,80.07763738986205,78.37389747686271,9.486030220163352,151.26629678112715,5.737311108733653,3.0,-261.27124437427653,70.71067811865474,0.013927830590142144
8,18,86.93891214711341,86.0212564443861,6.079512696651455,176.1867389309906,6.800627015550412,3.5,-249.3343866848562,66.29126073623883,0.014526128768920898
9,18,98.24092498242118,97.6190998896626,8.335961710269936,213.40704738743054,7.923095169452539,4.055555555555555,-239.03975457422004,58.925565098878955,0.01385396056705051
10,18,118.74311994710764,118.6803637350199,7.712521948787191,282.16992034989323,9.216458678316027,4.888888888888889,-182.72364752405895,53.03300858899106,0.014159070120917426
