sample_id,initial_phase_resultant_length,mean_normalized_concentration,max_normalized_concentration,mean_resultant_length,max_resultant_length,mean_circular_final_state,mean_stabilization_TV,max_stabilization_TV
B,0.20132588098807574,0.1532028130005968,0.9811494603164418,0.4089931667898356,0.9952848525541207,0.10526839808451507,0.10203537414965981,0.5439999999999998
C,0.142604032160545,0.15346932003007496,0.9811602962952777,0.4021188688254209,0.9982143304512263,0.1116918389189998,0.09829115646258497,0.5834285714285711
S,0.20856472909741208,0.15391850360276282,0.9823116190465991,0.4089953292603574,0.9958079750289306,0.1303220111562228,0.1044353741496598,0.585142857142857
D,0.19472838634946413,0.15398271322735335,0.9834981587291376,0.4055387892305673,0.9976736689922148,0.08097314974302781,0.09994557823129246,0.5491428571428567
U,0.21035765906642376,0.15412320040296415,0.9764838941788805,0.41121681704614915,0.9953586256555352,0.11211075839868187,0.10387482993197272,0.5851428571428569
V,0.2226928744297829,0.15416574451987017,0.9799927195757022,0.41431008507701683,0.9967166610289901,0.12445937333834278,0.10366802721088429,0.5805714285714282
T,0.20521982722543744,0.154192705467212,0.9788217566127405,0.40784072745190075,0.9977224403997815,0.10951998324723217,0.10156734693877545,0.5674285714285711
A,0.17965521178979763,0.15421279717797043,0.9741297777767665,0.4084489906123148,0.994730895150795,0.11137652162243664,0.09943945578231286,0.5931428571428567
R,0.17459540919640576,0.15437754275620152,0.9811738412688227,0.40845740045197815,0.998105439806355,0.11759442927827063,0.09964081632653056,0.5628571428571425
