sample_id,observable,embedding_family,embedding_dimension,time_delay,status,error,nn_distance_entropy_bits,ks_metric,n_points_used,state_dim,nearest_distance_mean,nearest_distance_std,nearest_distance_min,nearest_distance_max,nn_cv,log10_nn_mean,nearest_index_gap_mean,nearest_index_gap_median,nearest_index_gap_min,adjacent_neighbor_fraction
A,Sigma_R_cm_inv,Delay embedding,2,1,ok,,0.9685564598141648,0.9685564598141648,4999,2,0.04127034854630131,0.12722893509774105,3.568496273773347e-05,4.0455075490447205,3.082817072696146,-1.384361863288069,460.6893378675735,151.0,1.0,0.013602720544108821
A,Sigma_R_cm_inv,Delay embedding,3,1,ok,,2.327753384883267,2.327753384883267,4998,3,0.1205893809272142,0.23277946981862072,0.002141997567852051,4.344131907218325,1.9303479960411463,-0.9186909343793727,386.0730292116847,116.0,1.0,0.017807122849139656
A,Sigma_R_cm_inv,Delay embedding,4,1,ok,,3.044876660718978,3.044876660718978,4997,4,0.21414371379977146,0.3398490820101068,0.0035121292362617065,4.917957063410366,1.5870140476142356,-0.6692946698161265,340.7528517110266,95.0,1.0,0.019811887132279368
A,Sigma_R_cm_inv,Delay embedding,5,1,ok,,3.4979446087658785,3.4979446087658785,4996,5,0.3101252670198456,0.44352147495005,0.008938987147361688,5.241759198636075,1.4301365355059508,-0.5084628487878364,321.46096877502004,85.0,1.0,0.02842273819055244
A,Sigma_R_cm_inv,Delay embedding,6,1,ok,,3.7075225233045397,3.7075225233045397,4995,6,0.40526844592977757,0.5386752027412947,0.012064924226259297,5.9393031368042,1.3291812085298738,-0.3922572089689315,314.5063063063063,83.0,1.0,0.03323323323323323
A,Sigma_R_cm_inv,Delay embedding,7,1,ok,,3.8999624427522477,3.8999624427522477,4994,7,0.49656308888934597,0.6261191751670359,0.013372479488918532,6.314865601962342,1.2609055912033351,-0.30402556606824493,311.72527032438927,81.0,1.0,0.03844613536243492
A,Sigma_R_cm_inv,Delay embedding,8,1,ok,,4.00238823779218,4.00238823779218,4993,8,0.5848305722860971,0.7124373337276875,0.014132330358689408,6.904839594459347,1.2181944096074844,-0.23296993251302267,311.90686961746445,76.0,1.0,0.04746645303424795
A,Sigma_R_cm_inv,Delay embedding,9,1,ok,,4.004843381095826,4.004843381095826,4992,9,0.6692763361587785,0.7927875754359668,0.026470274326160094,7.684083530935491,1.1845444588477159,-0.17439453022870036,310.0390625,74.0,1.0,0.05488782051282051
A,Sigma_R_cm_inv,Delay embedding,10,1,ok,,4.131368564250845,4.131368564250845,4991,10,0.7543575233099646,0.8762997410722295,0.027162159025160396,7.796943175378302,1.1616504296610526,-0.12242277402340523,302.0695251452615,73.0,1.0,0.06551793227810059
A,transmission,Delay embedding,2,1,ok,,0.655096035653056,0.655096035653056,4999,2,0.02898392127876558,0.09195423928683046,3.50344200504635e-05,4.221797868870674,3.1725948466133214,-1.5378428585142956,467.1776355271054,152.0,1.0,0.013602720544108821
A,transmission,Delay embedding,3,1,ok,,1.9573377237801903,1.9573377237801903,4998,3,0.08912178457134172,0.1500650572692648,0.002158500296478645,4.541324979187277,1.6838201567592528,-1.0500161257816465,386.7527010804322,116.0,1.0,0.017607042817126852
