Omega,K,rotation_mean_mod1,rotation_std_across_samples,rotation_mean_unwrapped,nearest_low_order_rational,nearest_rational_p,nearest_rational_q,rational_distance,low_order_lock_within_tolerance
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,True
0.009615384615384616,0.0,0.009615384615384673,2.8912057932946786e-18,0.009615384615384673,0.0,0,1,0.009615384615384673,True
0.019230769230769232,0.0,0.019230769230769218,6.227847875293559e-18,0.019230769230769218,0.0,0,1,0.019230769230769218,False
0.028846153846153848,0.0,0.028846153846153737,2.3129646346357427e-18,0.028846153846153737,0.0,0,1,0.028846153846153737,False
0.038461538461538464,0.0,0.038461538461538325,4.006172263299091e-18,0.038461538461538325,0.0,0,1,0.038461538461538325,False
0.04807692307692308,0.0,0.048076923076923316,6.938893903907228e-18,0.048076923076923316,0.0,0,1,0.048076923076923316,False
0.057692307692307696,0.0,0.0576923076923075,1.3877787807814457e-17,0.0576923076923075,0.0,0,1,0.0576923076923075,False
0.06730769230769232,0.0,0.06730769230769262,9.25185853854297e-18,0.06730769230769262,0.125,1,8,0.057692307692307376,False
0.07692307692307693,0.0,0.07692307692307665,6.542051911182396e-18,0.07692307692307665,0.125,1,8,0.04807692307692335,False
0.08653846153846154,0.0,0.08653846153846058,1.1331166295920986e-17,0.08653846153846058,0.125,1,8,0.03846153846153942,False
0.09615384615384616,0.0,0.0961538461538466,4.625929269271485e-18,0.0961538461538466,0.125,1,8,0.028846153846153397,False
0.10576923076923078,0.0,0.10576923076923098,1.962615573354719e-17,0.10576923076923098,0.125,1,8,0.019230769230769024,False
0.11538461538461539,0.0,0.11538461538461507,4.625929269271485e-18,0.11538461538461507,0.125,1,8,0.009615384615384928,True
0.125,0.0,0.125,9.25185853854297e-18,0.125,0.125,1,8,0.0,True
0.13461538461538464,0.0,0.13461538461538525,1.3084103822364792e-17,0.13461538461538525,0.14285714285714285,1,7,0.008241758241757602,True
0.14423076923076925,0.0,0.14423076923076825,9.25185853854297e-18,0.14423076923076825,0.14285714285714285,1,7,0.0013736263736253973,True
0.15384615384615385,0.0,0.15384615384615333,0.0,0.15384615384615333,0.14285714285714285,1,7,0.010989010989010478,False
0.16346153846153846,0.0,0.16346153846153977,2.2662332591841973e-17,0.16346153846153977,0.16666666666666666,1,6,0.0032051282051268892,True
0.17307692307692307,0.0,0.17307692307692119,2.6168207644729584e-17,0.17307692307692119,0.16666666666666666,1,6,0.006410256410254528,True
0.1826923076923077,0.0,0.18269230769230682,1.6024689053196365e-17,0.18269230769230682,0.16666666666666666,1,6,0.016025641025640164,False
0.19230769230769232,0.0,0.19230769230769318,2.7755575615628914e-17,0.19230769230769318,0.2,1,5,0.007692307692306832,True
0.20192307692307693,0.0,0.20192307692307906,1.6024689053196365e-17,0.20192307692307906,0.2,1,5,0.0019230769230790534,True
0.21153846153846156,0.0,0.21153846153846192,2.7755575615628914e-17,0.21153846153846192,0.2,1,5,0.011538461538461914,False
0.22115384615384617,0.0,0.22115384615384454,4.5324665183683945e-17,0.22115384615384454,0.2,1,5,0.021153846153844524,False
0.23076923076923078,0.0,0.23076923076923014,3.814638998768531e-17,0.23076923076923014,0.25,1,4,0.019230769230769856,False
0.2403846153846154,0.0,0.24038461538461403,2.7755575615628914e-17,0.24038461538461403,0.25,1,4,0.009615384615385969,True
0.25,0.0,0.25,1.850371707708594e-17,0.25,0.25,1,4,0.0,True
