subsample_index,phase_cycles,cross_sample_resultant_length
0,0.4005836758298783,0.48701996467431047
1,0.3860384363889719,0.6028386702650341
2,0.4079319436569048,0.6180081447087166
3,0.42094729989655366,0.633578062880592
4,0.4375404225761328,0.6456985721250136
5,0.4484137121493738,0.6599067809130739
6,0.4627410900386912,0.6684562633723248
7,0.472609502934056,0.6812542191134547
8,0.48017389357738566,0.6873788779826803
9,0.49261994080741656,0.6923175181950554
10,0.5017020595612297,0.7033085086000412
11,0.5131342860904147,0.7064980880811896
12,0.5218230100702943,0.7162345032121192
13,0.5324692316078956,0.718228713534497
14,0.5408699570930717,0.7267783944483823
15,0.5470269186697383,0.7298359628314749
16,0.5568957898474631,0.7307590128246848
17,0.5650461182207787,0.7377715484658419
18,0.5745047814255794,0.7381157219417995
19,0.5825799816741772,0.7439599224118186
20,0.5917833517525426,0.7438343832928018
21,0.5999644273032064,0.7484865673422442
22,0.6058334642898517,0.7496590673491766
23,0.615092140919173,0.7490933753923656
24,0.6246811600268122,0.7528090538410865
25,0.6347925752036595,0.7518713110248012
26,0.6634945055402917,0.7833881336584227
27,0.5617072385928503,0.5396585669539239
28,0.7814969415374625,0.7718736636056038
29,0.11720866174830073,0.6204858116746904
30,0.47876098928341465,0.46839487169687477
31,0.8074447032692917,0.6568644209596655
32,0.30013105414240715,0.2327853436410575
33,0.3668788649295327,0.6817867728569497
34,0.29521865300001127,0.2835254182869918
35,0.5089166705830893,0.6670432023245843
36,0.4771505397678414,0.6085218081228979
37,0.6229299017202188,0.8558794144000194
38,0.5739030853664362,0.4098498091155241
39,0.24123315306864576,0.5761521322842457
40,0.6088589436472123,0.5522402794352401
41,0.3900883458360699,0.863307108162501
42,0.5030906756346067,0.6153214129851187
43,0.8788689447691999,0.2117013821973315
44,0.5215974143787286,0.7787008861805046
45,0.5058998235253949,0.8541507070029813
46,0.6991299611167472,0.7456126983990438
47,0.40287512128510794,0.5134612889323561
48,0.480378409940943,0.931448212207458
49,0.4827508218619778,0.8258842987726376
50,0.6172172492318866,0.9027462168417419
51,0.7908977826572593,0.7969840718469063
52,0.051581932243070394,0.18048067431884118
53,0.3497501837053939,0.7025001668466129
54,0.476094359878899,0.8526966065633281
55,0.5528062877124911,0.6944575452214582
