K,final_state_bin_center,avg_probability,avg_probability_after_extra_iterations
0.0,0.017857142857142856,0.029841269841269828,0.030285714285714267
0.0,0.05357142857142857,0.03187301587301586,0.027047619047619036
0.0,0.08928571428571427,0.03739682539682538,0.025968253968253956
0.0,0.125,0.043111111111111086,0.02419047619047618
0.0,0.1607142857142857,0.05041269841269838,0.024507936507936492
0.0,0.1964285714285714,0.05587301587301585,0.024698412698412685
0.0,0.23214285714285715,0.05714285714285711,0.0245079365079365
0.0,0.26785714285714285,0.05739682539682537,0.02590476190476189
0.0,0.30357142857142855,0.05206349206349204,0.026158730158730145
0.0,0.33928571428571425,0.047301587301587275,0.028698412698412685
0.0,0.375,0.0441269841269841,0.03079365079365078
0.0,0.4107142857142857,0.04044444444444442,0.03460317460317459
0.0,0.4464285714285714,0.03587301587301586,0.04279365079365078
0.0,0.4821428571428571,0.03193650793650792,0.04831746031746029
0.0,0.5178571428571428,0.03225396825396823,0.054984126984126955
0.0,0.5535714285714286,0.031174603174603164,0.0561269841269841
0.0,0.5892857142857142,0.028380952380952357,0.058285714285714246
0.0,0.625,0.03257142857142856,0.05288888888888885
0.0,0.6607142857142856,0.02787301587301586,0.04926984126984124
0.0,0.6964285714285714,0.029523809523809508,0.04317460317460316
0.0,0.7321428571428571,0.027999999999999987,0.042793650793650766
0.0,0.7678571428571428,0.023936507936507923,0.037904761904761886
0.0,0.8035714285714286,0.02425396825396824,0.033714285714285704
0.0,0.8392857142857142,0.025904761904761892,0.03130158730158729
0.0,0.875,0.02323809523809523,0.030603174603174594
0.0,0.9107142857142856,0.02463492063492062,0.030412698412698398
0.0,0.9464285714285714,0.02723809523809522,0.032253968253968236
0.0,0.9821428571428571,0.026222222222222206,0.02780952380952379
0.1208304866765305,0.017857142857142856,0.027682539682539663,0.026539682539682526
0.1208304866765305,0.05357142857142857,0.029777777777777768,0.02399999999999999
0.1208304866765305,0.08928571428571427,0.03460317460317459,0.0231111111111111
0.1208304866765305,0.125,0.04304761904761903,0.021650793650793643
0.1208304866765305,0.1607142857142857,0.05136507936507934,0.022984126984126975
0.1208304866765305,0.1964285714285714,0.0575238095238095,0.023365079365079353
0.1208304866765305,0.23214285714285715,0.06241269841269839,0.023682539682539673
0.1208304866765305,0.26785714285714285,0.06450793650793647,0.025777777777777764
0.1208304866765305,0.30357142857142855,0.06063492063492061,0.02876190476190475
0.1208304866765305,0.33928571428571425,0.05111111111111108,0.030095238095238078
0.1208304866765305,0.375,0.04831746031746029,0.0342222222222222
0.1208304866765305,0.4107142857142857,0.04425396825396824,0.0389206349206349
0.1208304866765305,0.4464285714285714,0.03511111111111109,0.047301587301587275
0.1208304866765305,0.4821428571428571,0.03282539682539681,0.055936507936507916
0.1208304866765305,0.5178571428571428,0.031238095238095225,0.0625396825396825
0.1208304866765305,0.5535714285714286,0.030158730158730145,0.06311111111111108
0.1208304866765305,0.5892857142857142,0.031936507936507916,0.06304761904761902
0.1208304866765305,0.625,0.026857142857142843,0.0561269841269841
0.1208304866765305,0.6607142857142856,0.02888888888888887,0.047999999999999966
0.1208304866765305,0.6964285714285714,0.025523809523809515,0.043555555555555535
0.1208304866765305,0.7321428571428571,0.0231111111111111,0.03974603174603173
0.1208304866765305,0.7678571428571428,0.022222222222222213,0.03187301587301586
0.1208304866765305,0.8035714285714286,0.02253968253968253,0.02958730158730157
0.1208304866765305,0.8392857142857142,0.02158730158730158,0.028634920634920617
0.1208304866765305,0.875,0.021015873015873,0.02736507936507935
0.1208304866765305,0.9107142857142856,0.022095238095238084,0.027301587301587285
0.1208304866765305,0.9464285714285714,0.02463492063492062,0.027301587301587285
0.1208304866765305,0.9821428571428571,0.025015873015873005,0.025460317460317447
0.241660973353061,0.017857142857142856,0.03098412698412697,0.02292063492063491
0.241660973353061,0.05357142857142857,0.029777777777777768,0.019301587301587292
0.241660973353061,0.08928571428571427,0.035619047619047606,0.018285714285714277
0.241660973353061,0.125,0.039365079365079346,0.018031746031746024
0.241660973353061,0.1607142857142857,0.04977777777777775,0.019238095238095228
0.241660973353061,0.1964285714285714,0.058476190476190446,0.020444444444444435
0.241660973353061,0.23214285714285715,0.06806349206349203,0.02406349206349205
0.241660973353061,0.26785714285714285,0.07530158730158726,0.030285714285714273
0.241660973353061,0.30357142857142855,0.06977777777777774,0.03447619047619046
0.241660973353061,0.33928571428571425,0.06126984126984124,0.04095238095238093
0.241660973353061,0.375,0.0488253968253968,0.04063492063492061
0.241660973353061,0.4107142857142857,0.03707936507936506,0.047492063492063474
0.241660973353061,0.4464285714285714,0.03295238095238093,0.05466666666666664
0.241660973353061,0.4821428571428571,0.029523809523809508,0.060507936507936476
0.241660973353061,0.5178571428571428,0.029333333333333322,0.06895238095238093
0.241660973353061,0.5535714285714286,0.032698412698412685,0.0738412698412698
0.241660973353061,0.5892857142857142,0.028571428571428557,0.06806349206349203
0.241660973353061,0.625,0.02958730158730157,0.058095238095238054
0.241660973353061,0.6607142857142856,0.024698412698412688,0.046095238095238064
0.241660973353061,0.6964285714285714,0.02165079365079364,0.034349206349206324
0.241660973353061,0.7321428571428571,0.01892063492063491,0.02673015873015872
0.241660973353061,0.7678571428571428,0.018285714285714277,0.024888888888888874
0.241660973353061,0.8035714285714286,0.018857142857142847,0.023238095238095228
0.241660973353061,0.8392857142857142,0.018730158730158722,0.02355555555555554
0.241660973353061,0.875,0.01974603174603174,0.02463492063492062
0.241660973353061,0.9107142857142856,0.022285714285714273,0.025079365079365066
0.241660973353061,0.9464285714285714,0.025460317460317447,0.02526984126984126
0.241660973353061,0.9821428571428571,0.024380952380952368,0.025904761904761892
0.3624914600295915,0.017857142857142856,0.03193650793650792,0.016126984126984118
0.3624914600295915,0.05357142857142857,0.03269841269841268,0.0132063492063492
0.3624914600295915,0.08928571428571427,0.032063492063492044,0.014158730158730152
0.3624914600295915,0.125,0.03714285714285712,0.011682539682539676
0.3624914600295915,0.1607142857142857,0.04387301587301585,0.013460317460317454
0.3624914600295915,0.1964285714285714,0.054412698412698385,0.018222222222222216
0.3624914600295915,0.23214285714285715,0.07517460317460313,0.026730158730158715
0.3624914600295915,0.26785714285714285,0.09453968253968249,0.04406349206349204
0.3624914600295915,0.30357142857142855,0.08926984126984122,0.05650793650793648
0.3624914600295915,0.33928571428571425,0.06196825396825394,0.0554285714285714
0.3624914600295915,0.375,0.03599999999999998,0.0502222222222222
0.3624914600295915,0.4107142857142857,0.028380952380952364,0.04984126984126982
0.3624914600295915,0.4464285714285714,0.024253968253968246,0.05377777777777776
0.3624914600295915,0.4821428571428571,0.02349206349206348,0.06774603174603172
0.3624914600295915,0.5178571428571428,0.0318095238095238,0.08730158730158726
0.3624914600295915,0.5535714285714286,0.03250793650793649,0.09352380952380947
0.3624914600295915,0.5892857142857142,0.03517460317460316,0.06831746031746028
0.3624914600295915,0.625,0.025968253968253956,0.0394285714285714
0.3624914600295915,0.6607142857142856,0.019365079365079352,0.025714285714285703
0.3624914600295915,0.6964285714285714,0.01574603174603174,0.019047619047619035
0.3624914600295915,0.7321428571428571,0.015238095238095233,0.017587301587301582
0.3624914600295915,0.7678571428571428,0.013460317460317454,0.01504761904761904
0.3624914600295915,0.8035714285714286,0.014285714285714278,0.018158730158730152
0.3624914600295915,0.8392857142857142,0.017904761904761896,0.022539682539682533
0.3624914600295915,0.875,0.020761904761904752,0.02368253968253967
0.3624914600295915,0.9107142857142856,0.028634920634920617,0.030158730158730145
0.3624914600295915,0.9464285714285714,0.029650793650793636,0.02679365079365078
0.3624914600295915,0.9821428571428571,0.034285714285714274,0.021523809523809515
0.483321946706122,0.017857142857142856,0.03079365079365078,0.008190476190476186
0.483321946706122,0.05357142857142857,0.028190476190476172,0.009587301587301582
0.483321946706122,0.08928571428571427,0.027238095238095224,0.0073015873015872985
0.483321946706122,0.125,0.030349206349206334,0.00844444444444444
0.483321946706122,0.1607142857142857,0.03479365079365077,0.012190476190476184
0.483321946706122,0.1964285714285714,0.049587301587301555,0.018031746031746024
0.483321946706122,0.23214285714285715,0.08476190476190472,0.04107936507936506
0.483321946706122,0.26785714285714285,0.1311746031746031,0.07930158730158726
0.483321946706122,0.30357142857142855,0.09517460317460313,0.08457142857142853
0.483321946706122,0.33928571428571425,0.04050793650793649,0.059809523809523785
0.483321946706122,0.375,0.022412698412698398,0.046984126984126955
0.483321946706122,0.4107142857142857,0.015111111111111103,0.04685714285714284
0.483321946706122,0.4464285714285714,0.018666666666666654,0.06361904761904758
0.483321946706122,0.4821428571428571,0.02476190476190475,0.09669841269841264
0.483321946706122,0.5178571428571428,0.0382222222222222,0.11860317460317453
0.483321946706122,0.5535714285714286,0.04603174603174601,0.06469841269841266
0.483321946706122,0.5892857142857142,0.027111111111111096,0.029968253968253953
0.483321946706122,0.625,0.016190476190476186,0.015746031746031737
0.483321946706122,0.6607142857142856,0.013269841269841261,0.011174603174603169
0.483321946706122,0.6964285714285714,0.009142857142857138,0.011428571428571423
0.483321946706122,0.7321428571428571,0.010349206349206344,0.012825396825396818
0.483321946706122,0.7678571428571428,0.011111111111111106,0.013269841269841263
0.483321946706122,0.8035714285714286,0.014476190476190469,0.018476190476190466
0.483321946706122,0.8392857142857142,0.021015873015873005,0.02946031746031744
0.483321946706122,0.875,0.035238095238095214,0.03479365079365078
0.483321946706122,0.9107142857142856,0.04463492063492061,0.025460317460317447
0.483321946706122,0.9464285714285714,0.04304761904761902,0.017904761904761896
0.483321946706122,0.9821428571428571,0.03663492063492062,0.013523809523809518
0.6041524333826525,0.017857142857142856,0.023428571428571417,0.00679365079365079
0.6041524333826525,0.05357142857142857,0.020825396825396816,0.00749206349206349
0.6041524333826525,0.08928571428571427,0.02101587301587301,0.008380952380952374
0.6041524333826525,0.125,0.023873015873015862,0.010793650793650788
0.6041524333826525,0.1607142857142857,0.03161904761904761,0.01784126984126983
0.6041524333826525,0.1964285714285714,0.05346031746031744,0.033269841269841255
0.6041524333826525,0.23214285714285715,0.10501587301587297,0.06476190476190473
0.6041524333826525,0.26785714285714285,0.150095238095238,0.09841269841269837
0.6041524333826525,0.30357142857142855,0.06546031746031743,0.0931428571428571
0.6041524333826525,0.33928571428571425,0.020634920634920628,0.06692063492063488
0.6041524333826525,0.375,0.01409523809523809,0.0632380952380952
0.6041524333826525,0.4107142857142857,0.01339682539682539,0.0721269841269841
0.6041524333826525,0.4464285714285714,0.01536507936507936,0.10082539682539676
0.6041524333826525,0.4821428571428571,0.036126984126984105,0.08749206349206344
0.6041524333826525,0.5178571428571428,0.05657142857142854,0.05047619047619045
0.6041524333826525,0.5535714285714286,0.03003174603174602,0.02412698412698411
0.6041524333826525,0.5892857142857142,0.014793650793650788,0.015047619047619039
0.6041524333826525,0.625,0.009904761904761902,0.010158730158730154
0.6041524333826525,0.6607142857142856,0.007746031746031741,0.008888888888888884
0.6041524333826525,0.6964285714285714,0.0066031746031746,0.011555555555555552
0.6041524333826525,0.7321428571428571,0.009142857142857138,0.015999999999999993
0.6041524333826525,0.7678571428571428,0.01339682539682539,0.024253968253968243
0.6041524333826525,0.8035714285714286,0.024317460317460307,0.02825396825396824
0.6041524333826525,0.8392857142857142,0.04628571428571426,0.0264126984126984
0.6041524333826525,0.875,0.06285714285714283,0.020761904761904752
