speed_mode,a,b_cycles_per_model_unit,drive_omega_rad_per_model_unit,mean_sync,std_sync,drive_lock,collective_drive_lock,frequency_error,sync_gain_vs_no_drive,sync_variability_change_vs_no_drive,drive_lock_gain_vs_no_drive,frequency_error_improvement_vs_no_drive
fast,0.0,0.5257270925156543,3.303240743280602,0.37360098636927147,0.14970503890289152,0.03771305608245926,0.11665794544962492,3.064385431060445,0.0,0.0,0.0,0.0
fast,0.0,0.5652498348060164,3.5515694569388505,0.37360098636927147,0.14970503890289152,0.053812190949986585,0.09085852592360166,2.816056717402196,0.0,0.0,0.0,0.0
fast,0.0,0.6047725770963785,3.7998981705970993,0.37360098636927147,0.14970503890289152,0.03808099465191933,0.05523769212338674,2.567728003743947,0.0,0.0,0.0,0.0
fast,0.0,0.6442953193867407,4.048226884255348,0.37360098636927147,0.14970503890289152,0.07474285869952915,0.07097545696802965,2.3193992900856992,0.0,0.0,0.0,0.0
fast,0.0,0.6838180616771029,4.296555597913597,0.37360098636927147,0.14970503890289152,0.06257526983633455,0.12613948649631987,2.0710705764274495,0.0,0.0,0.0,0.0
fast,0.0,0.723340803967465,4.544884311571845,0.37360098636927147,0.14970503890289152,0.12269073214855963,0.18667597383834933,1.8227418627692011,0.0,0.0,0.0,0.0
fast,0.0,0.7628635462578272,4.793213025230094,0.37360098636927147,0.14970503890289152,0.07921663338556462,0.07222861838735803,1.5744131491109523,0.0,0.0,0.0,0.0
fast,0.0,0.8023862885481894,5.041541738888343,0.37360098636927147,0.14970503890289152,0.2726510658722918,0.40383866196374335,1.3260844354527035,0.0,0.0,0.0,0.0
fast,0.0,0.8419090308385515,5.289870452546592,0.37360098636927147,0.14970503890289152,0.44746790265821446,0.6661999577134776,1.082094701988481,0.0,0.0,0.0,0.0
fast,0.0,0.8814317731289136,5.538199166204841,0.37360098636927147,0.14970503890289152,0.420140357420684,0.48674910847956915,0.9871499792441938,0.0,0.0,0.0,0.0
fast,0.0,0.9209545154192758,5.7865278798630895,0.37360098636927147,0.14970503890289152,0.18312163817816715,0.1847003416240889,0.9595578999488328,0.0,0.0,0.0,0.0
fast,0.0,0.9604772577096379,6.034856593521337,0.37360098636927147,0.14970503890289152,0.25671608505856447,0.27222283250979096,0.9319658206534719,0.0,0.0,0.0,0.0
fast,0.0,1.0,6.283185307179586,0.37360098636927147,0.14970503890289152,0.2966890125456364,0.35746484671372364,0.9069153428275504,0.0,0.0,0.0,0.0
fast,0.0,1.0395227422903621,6.531514020837835,0.37360098636927147,0.14970503890289152,0.2997766248228606,0.44154447122885543,0.9715047644655009,0.0,0.0,0.0,0.0
fast,0.0,1.0790454845807242,6.779842734496083,0.37360098636927147,0.14970503890289152,0.21407169415492439,0.36357289658491154,1.0641690953057426,0.0,0.0,0.0,0.0
fast,0.0,1.1185682268710866,7.028171448154334,0.37360098636927147,0.14970503890289152,0.16362781873420398,0.17131792799859352,1.2021294917825485,0.0,0.0,0.0,0.0
fast,0.0,1.1580909691614485,7.276500161812581,0.37360098636927147,0.14970503890289152,0.0945392938357903,0.07158618857547139,1.3400898882593522,0.0,0.0,0.0,0.0
fast,0.0,1.1976137114518108,7.52482887547083,0.37360098636927147,0.14970503890289152,0.12487031978362798,0.09591755263328411,1.4780502847361578,0.0,0.0,0.0,0.0
fast,0.0,1.2371364537421727,7.773157589129077,0.37360098636927147,0.14970503890289152,0.1652540742177533,0.25169993968996485,1.6160106812129618,0.0,0.0,0.0,0.0
fast,0.0,1.276659196032535,8.021486302787327,0.37360098636927147,0.14970503890289152,0.19701233257912223,0.29416142598978373,1.7711297665563763,0.0,0.0,0.0,0.0
fast,0.0,1.3161819383228972,8.269815016445577,0.37360098636927147,0.14970503890289152,0.14900387692717723,0.19755473223031023,1.9642743216239038,0.0,0.0,0.0,0.0
fast,0.0,1.3557046806132593,8.518143730103825,0.37360098636927147,0.14970503890289152,0.14322908963387132,0.20764052480231981,2.163213945070025,0.0,0.0,0.0,0.0
fast,0.0,1.3952274229036215,8.766472443762073,0.37360098636927147,0.14970503890289152,0.13700144700924008,0.17954716199601461,2.398846269421026,0.0,0.0,0.0,0.0
fast,0.0,1.4347501651939836,9.014801157420322,0.37360098636927147,0.14970503890289152,0.07213836870274075,0.12459183529135717,2.647174983079276,0.0,0.0,0.0,0.0
fast,0.0,1.4742729074843457,9.26312987107857,0.37360098636927147,0.14970503890289152,0.07279275853958714,0.11554284931626164,2.8955036967375234,0.0,0.0,0.0,0.0
fast,0.198662970926599,0.5257270925156543,3.303240743280602,0.32421060542478086,0.15409343765600755,0.06009812998430205,0.20895266938868348,3.0469425644105312,-0.04939038094449061,0.0043883987531160296,0.022385073901842786,0.01744286664991357
