sample_id,observable,delay_samples,delay_log_energy,gain,rms_original,rms_controlled,rms_feedback,relative_feedback_rms,std_original,std_controlled,variance_ratio_controlled_to_original,roughness_original_derivative_rms,roughness_controlled_derivative_rms,roughness_ratio_controlled_to_original,correlation_original_controlled
A,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.5984578885624989,0.598891718198163,0.00724831326130989,0.012111651295479269,0.23592152651268153,0.23557524143745018,0.9970665590017154,12.501845958453792,11.306211213252288,0.9043633436873443,0.9995318828503951
A,transmission,38,0.10496016186701951,0.1,0.5884943759035497,0.5881623321491465,0.003598801593991759,0.006115269306457167,0.11690428752287622,0.11666382190056916,0.9958903421004288,6.327839267658857,5.716308996562846,0.9033587540343506,0.999530395576436
B,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.36204908474590386,0.36204037351419643,0.0074738572790029375,0.0206432155027478,0.1493532989528742,0.14830779414443795,0.986048578220854,11.077562038577156,10.03256087300362,0.9056650586171155,0.9987685900135203
B,transmission,38,0.10496016186701951,0.1,0.6911468663000239,0.6907283775793425,0.005210951708388922,0.007539572213178973,0.10446606232357657,0.10364078203176029,0.9842624403100312,7.444120197212081,6.7293815207678005,0.9039861451037742,0.9987815414593572
C,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.45616363529335774,0.45637084973889647,0.00696931368579564,0.015278100108305244,0.16703196374251328,0.166359387470738,0.991962949472751,11.496273319666768,10.386112167354808,0.9034329541892762,0.9991384164826275
C,transmission,38,0.10496016186701951,0.1,0.6326324364455548,0.632271723392774,0.004432693606381863,0.007006744123459658,0.10218561038331347,0.1016215733256411,0.9889910057971788,7.432982436810424,6.728647388277832,0.9052419328955477,0.9990728333162996
D,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.36856101279911213,0.3686502597326785,0.00790030290054378,0.02143553611523334,0.15083578561940042,0.14986594208639661,0.9871817475724016,11.576588542761623,10.48031141184518,0.9053022289884521,0.9986464983720678
D,transmission,38,0.10496016186701951,0.1,0.7069400940598356,0.7065150349379128,0.005251254300940665,0.007428146097608052,0.10050587437032359,0.09969392640267603,0.9839080397779425,7.675814142754117,6.945588175494307,0.9048666429801404,0.9986617376664815
R,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.350752063102303,0.3509832520751478,0.008101745263457113,0.023098211288556266,0.14150076025789096,0.14075796883680738,0.9895287936885367,11.973294899225117,10.859452623245067,0.9069727852395049,0.9983744967220798
R,transmission,38,0.10496016186701951,0.1,0.7070312768406376,0.7065855367915619,0.005687643959261765,0.008044402200520608,0.0988173304705889,0.09793156451468452,0.9821530069727015,8.381103286668242,7.592543091487947,0.9059121253838313,0.9983746208691526
S,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.3804525093367523,0.3802869277294549,0.01014332594284248,0.02666121445880015,0.15945432445713179,0.1577555293359733,0.9788058954833074,15.791239219653079,14.24843320034022,0.9022998766687257,0.9980193732138167
S,transmission,38,0.10496016186701951,0.1,0.7017736464578735,0.7012481035555861,0.006618782956194741,0.009431506853517369,0.1042070663083265,0.10282595129725876,0.9736685290868634,10.144942771864926,9.139431786246922,0.9008854945532567,0.9980497320276415
T,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.38161937889266906,0.3811886743339629,0.010634500943470513,0.027866773889471726,0.16484851162310887,0.16266960604263056,0.9737394583039923,17.34961584876772,15.635314613161361,0.9011908245951729,0.9979856585213632
T,transmission,38,0.10496016186701951,0.1,0.7032566269499186,0.7027247239990385,0.006613987926496115,0.009404800001916961,0.10522752572902738,0.10378579745676798,0.972785605919648,10.420597694861469,9.433810919915096,0.9053042057814136,0.9980971222645002
U,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.36762202795597543,0.3684234312013054,0.009156685821285012,0.02490788126101264,0.1522370842748798,0.15233183164088418,1.0012451216731224,11.826357977435535,10.707830269308982,0.9054207804074942,0.9982075686588995
U,transmission,38,0.10496016186701951,0.1,0.6980763823329328,0.6975789842905512,0.005782977360877674,0.00828416131418599,0.10339443832534996,0.10276558440268822,0.9878728185848111,8.044310629040213,7.274702220916966,0.9043288550611359,0.998452758214775
V,Sigma_R_cm_inv,38,0.10496016186701951,0.1,0.3624651832462532,0.3629984959808695,0.005965967301191273,0.01645942169601881,0.1355457177740723,0.13558104273569793,1.000521293650369,8.818315980633818,7.976062721232852,0.9044881969242689,0.9990402062393406
V,transmission,38,0.10496016186701951,0.1,0.7213931711610346,0.7210549491373932,0.0039512681884317615,0.005477274177778782,0.08701027263413803,0.08674047409810895,0.9938080816791506,5.859522957974961,5.300147217078876,0.904535617505233,0.9989767956088342
