K,mean_concentration,uniform_baseline_concentration,mean_concentration_excess,mean_stabilization_TV
0.0,0.008906553488171296,0.0001524157902752382,0.008754137697896056,0.40740740740740244
0.20600607564523232,0.008281257938321575,0.0020283024398243966,0.006252955498497179,0.37654320987653855
0.41201215129046465,0.016097452311443057,0.00921920126309615,0.0068782510483469065,0.339506172839502
0.618018226935697,0.02907233497082471,0.01672274786129277,0.012349587109531943,0.44444444444443904
0.8240243025809293,0.038139120443645626,0.027665419983662835,0.01047370045998279,0.5493827160493759
1.0300303782261615,0.14146921005631158,0.10395147706532852,0.037517732990983065,0.679012345679004
1.236036453871394,0.20415508892874584,0.17836164749744496,0.02579344143130087,0.314814814814811
1.4420425295166264,0.16132234376404014,0.16397984985090147,-0.0026575060868613276,0.3580246913580203
1.6480486051618586,0.02844703942097499,0.03673220545648376,-0.008285166035508766,0.36419753086419304
1.8540546808070908,0.04845649701616597,0.03423102325708489,0.014225473759081089,0.3888888888888841
2.060060756452323,0.077220092309253,0.062056675225397345,0.01516341708385565,0.3148148148148109
2.2660668320975557,0.9751445018934485,0.9502890037869223,0.024855498106526208,0.012345679012345519
2.472072907742788,0.6213835445659703,0.628887091164167,-0.0075035465981965754,0.05555555555555487
2.67807898338802,0.9390336838896274,0.974988178005986,-0.035954494116358704,0.024691358024691037
2.8840850590332527,0.4969497301458764,0.491009422422304,0.00594030772357243,0.0
3.090091134678485,0.5013267989948245,0.4872576491232058,0.01406914987161867,0.0
3.296097210323717,0.23792104862063063,0.2330750081092953,0.004846040511335331,0.1543209876543191
3.5021032859689494,0.08394201947013749,0.07143610847314313,0.012505910996994364,0.17901234567901014
3.7081093616141816,0.03673220545648376,0.02985395440813686,0.006878251048346898,0.339506172839502
3.9141154372594142,0.0184423106233795,0.01766069118606735,0.0007816194373121491,0.36419753086419304
4.120121512904646,0.022819379472327525,0.016410100086367913,0.006409279385959614,0.3703703703703658
4.326127588549879,0.3833022639606901,0.4888208879978301,-0.10551862403713999,0.24691358024691057
4.532133664195111,0.9874940890029804,0.9999999999999747,-0.01250591099699433,0.006172839506172764
4.738139739840343,0.4835058758241074,0.47475173812621135,0.008754137697896097,0.006172839506172759
4.944145815485576,0.17586046529804608,0.19149285404428903,-0.015632388746242953,0.09259259259259145
5.150151891130808,0.09519733936743242,0.07518788177224145,0.020009457595190974,0.18518518518518293
5.35615796677604,0.02922865885828714,0.035481614356784326,-0.0062529554984971855,0.29629629629629267
5.562164042421273,0.021881436147552953,0.019536577835616513,0.0023448583119364385,0.3209876543209837
5.7681701180665055,0.02969763052067443,0.022975703359789955,0.006721927160884475,0.3580246913580203
5.974176193711737,0.02391364668456453,0.02203776003501538,0.0018758866495491508,0.3271604938271565
6.18018226935697,0.015315832874130911,0.015159508986668478,0.0001563238874624324,0.4012345679012297
6.386188345002202,0.017035395636217632,0.023600998909639674,-0.006565603273422042,0.339506172839502
6.592194420647434,0.02094349282277837,0.01797333896099221,0.0029701538617861595,0.3888888888888841
6.798200496292667,0.015472156761593334,0.03266778438246058,-0.017195627620867248,0.3765432098765386
7.004206571937899,0.022819379472327525,0.01922393006069164,0.0035954494116358874,0.4074074074074024
7.210212647583131,0.02719644832127556,0.02797806775858769,-0.0007816194373121334,0.35185185185184753
7.416218723228363,0.0195365778356165,0.021725112260090523,-0.0021885344244740226,0.35185185185184753
7.622224798873596,0.017504367298604925,0.01734804341114249,0.00015632388746243502,0.34567901234567483
7.8282308745188285,0.02829071553351257,0.015472156761593336,0.012818558771919234,0.37654320987653855
8.034236950164061,0.036263233794096475,0.025164237784263972,0.011098996009832501,0.36419753086419304
8.240243025809292,0.01734804341114249,0.01672274786129277,0.0006252955498497192,0.3888888888888841
8.446249101454525,0.8435197886500829,0.8780673677792799,-0.034547579129196926,0.07407407407407317
8.652255177099757,0.40424966488065567,0.3640744258028113,0.04017523907784437,0.07407407407407315
8.85826125274499,0.15522571215300537,0.15178658662883196,0.003439125524173414,0.12345679012345527
9.064267328390223,0.01828598673591707,0.0226630555848651,-0.004377068848948028,0.31481481481481094
9.270273404035455,0.022506731697402676,0.017348043411142496,0.00515868828626018,0.3950617283950569
9.476279479680686,0.027665419983662842,0.021725112260090523,0.005940307723572319,0.3703703703703658
9.682285555325919,0.011407735687570168,0.022975703359789955,-0.011567967672219787,0.3765432098765386
9.888291630971151,0.015472156761593336,0.017973338960992218,-0.002501182199398882,0.46296296296295725
10.094297706616384,0.012814650674732038,0.015472156761593336,-0.0026575060868612973,0.3209876543209837
10.300303782261617,0.017035395636217636,0.012970974562194468,0.004064421074023168,0.35185185185184753
10.506309857906848,0.36032265250371287,0.40471863654304285,-0.04439598403932998,0.2530864197530833
10.71231593355208,0.37564239347503103,0.35813411807923895,0.017508275395792083,0.11728395061728253
10.918322009197313,0.021725112260090523,0.024226294459489397,-0.0025011821993988718,0.3765432098765386
11.124328084842546,0.02203776003501538,0.025476885559188832,-0.0034391255241734524,0.3456790123456748
11.330334160487778,0.017035395636217636,0.017660691186067345,-0.0006252955498497088,0.2839506172839471
11.536340236133011,0.03516896658185946,0.028603363308437425,0.006565603273422033,0.3827160493827113
11.742346311778242,0.018442310623379497,0.013283622337119326,0.005158688286260173,0.32098765432098375
11.948352387423474,0.01437788954935633,0.019223930060691646,-0.0048460405113353155,0.33333333333332926
12.154358463068707,0.015784804536518194,0.015784804536518194,0.0,0.3456790123456748
12.36036453871394,0.01891128228576679,0.017973338960992204,0.0009379433247745858,0.3580246913580203
12.566370614359172,0.012970974562194468,0.015159508986668478,-0.0021885344244740104,0.3888888888888841
