observable,embedding_dimension,n,LLE_median,LLE_trimmed_mean,LLE_MAD,KS_proxy_median,KY_median,positive_count_median
collision_stopping_power_MeV_cm2_g,2,1,-0.5010704505809859,-0.5010704505809859,,0.0,0.0,0.0
collision_stopping_power_MeV_cm2_g,3,1,-0.238617258147175,-0.238617258147175,,0.0,0.0,0.0
collision_stopping_power_MeV_cm2_g,4,1,-0.2169245604487401,-0.2169245604487401,,0.0,0.0,0.0
collision_stopping_power_MeV_cm2_g,5,1,-0.16123660662077086,-0.16123660662077086,,0.0,0.0,0.0
csda_range_g_cm2,2,1,0.971337609051935,0.971337609051935,,0.971337609051935,2.0,1.0
csda_range_g_cm2,3,1,1.0315575106996386,1.0315575106996386,,1.5360695600152623,2.2639125240952587,2.0
csda_range_g_cm2,4,1,1.2783696641526283,1.2783696641526283,,1.7060371841014983,2.9174213153617115,2.0
csda_range_g_cm2,5,1,1.6114519991335292,1.6114519991335292,,2.6823512048147027,5.0,3.0
radiation_yield,2,1,0.8089938129185361,0.8089938129185361,,0.8089938129185361,1.7073245281061888,1.0
radiation_yield,3,1,0.7939895209238076,0.7939895209238076,,0.7939895209238076,1.7297979328299107,1.0
radiation_yield,4,1,0.9680193620243251,0.9680193620243251,,0.991037969961865,2.3355927875252736,2.0
radiation_yield,5,1,0.8272313989557936,0.8272313989557936,,1.427999447205701,3.481624261493908,2.0
radiative_stopping_power_MeV_cm2_g,2,1,1.4846246066783972,1.4846246066783972,,1.4846246066783972,1.2702859707610838,1.0
radiative_stopping_power_MeV_cm2_g,3,1,1.2588425991150076,1.2588425991150076,,1.2588425991150076,1.4019225651750267,1.0
radiative_stopping_power_MeV_cm2_g,4,1,1.3972333436790678,1.3972333436790678,,1.3972333436790678,2.200931667796347,1.0
radiative_stopping_power_MeV_cm2_g,5,1,1.336495419590067,1.336495419590067,,1.7153055820361054,4.307189102132478,3.0
