embedding_dimension,theiler_entropy_median,raw_entropy_median,adjacent_fraction_median,n
2,3.2868041837150774,3.3513371150248026,1.0,4
3,3.287838072001434,3.3929063001700586,1.0,4
4,3.255325114974421,3.396003050991018,1.0,4
5,3.25091905791127,3.3926166679752736,1.0,4
6,3.2530307279185497,3.419177923987296,1.0,4
7,3.2540734412022885,3.4052068824491624,1.0,4
8,3.2383710254972895,3.4445617269111075,1.0,4
9,3.234176523278223,3.4369407476550444,1.0,4
