curve,observable,ensemble_group,lag_samples,lag_coordinate,mutual_information
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,5,0.7195578415606394,2.951319080845445
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,6,0.8634694098727672,2.913429704627121
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,7,1.007380978184895,2.8654622371596545
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,8,1.151292546497023,2.8079182205402953
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,9,1.2952041148091509,2.766558610359338
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,10,1.4391156831212788,2.738783549500357
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,11,1.5830272514334065,2.701640612513355
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,12,1.7269388197455344,2.6646460514038885
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,13,1.8708503880576624,2.6287548350139502
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,14,2.01476195636979,2.59263954312605
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,15,2.158673524681918,2.5641276114424763
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,16,2.302585092994046,2.5309543957692604
