benchmark_id,energy_band,n,valid_ratio_rows,geometric_mean_mc_over_reference,median_mc_over_reference,median_factor_error,fraction_within_factor2,fraction_mc_over_2x_reference,fraction_mc_under_half_reference,median_abs_log10_ratio,median_abs_uncertainty_z,fraction_within_2sigma
N001_JAERI_TIARA_43MEV,1-10 MeV,38,38,1.08304363616975,1.0725391340218553,1.2192867173831206,0.9736842105263158,0.02631578947368421,0.0,0.08610584272723072,1.0062091860211542,0.9210526315789473
N001_JAERI_TIARA_43MEV,10-30 MeV,160,160,1.0345120581500131,1.0350806218188948,1.1799867121890402,0.9875,0.0125,0.0,0.07187711675064332,0.7747863250215218,0.90625
N001_JAERI_TIARA_43MEV,>=30 MeV,112,106,0.690387117642469,0.8776767439407321,1.3042739451791114,0.839622641509434,0.009433962264150943,0.1509433962264151,0.11536881868457596,1.6547695583130322,0.6132075471698113
N002_JAERI_TIARA_68MEV,1-10 MeV,32,32,1.2423495441313102,1.2555785264976822,1.2913821394588156,0.96875,0.03125,0.0,0.11105477557445143,1.2878975291405772,0.75
N002_JAERI_TIARA_68MEV,10-30 MeV,180,180,1.1598055717730449,1.1422539773639406,1.2423550073299259,0.9333333333333333,0.06666666666666667,0.0,0.09424571475675214,1.0107493374941536,0.7888888888888889
N002_JAERI_TIARA_68MEV,>=30 MeV,243,240,0.8348770123557909,0.9670865186716764,1.2163849260647785,0.8916666666666667,0.0,0.10833333333333334,0.08507102955212525,1.1518183335193362,0.7083333333333334
