detector,source_proton_MeV,shield_thickness_cm,off_axis_cm,energy_lower_MeV,energy_upper_MeV,lethargy_flux_n_cm2_per_uC,error_percent,geometry_id,source_normalization_id,additional_iron_collimator_cm,peak_source_intensity_x1e9_n_sr_uC,peak_source_intensity_n_sr_uC,expected_run_id,run_id,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC,reference_sigma,mc_statistical_sigma,source_normalization_systematic_percent,source_normalization_systematic_sigma,combined_sigma,residual,relative_residual,percent_difference,log_residual,uncertainty_normalized_residual,uncertainty_correlation_note,benchmark_id,mc_over_reference,abs_log10_ratio,within_factor2,mc_over_2x_reference,mc_under_half_reference,iron_configuration,energy_center_MeV,energy_band
BC501A,43,25,0,33,34,1270.0,13.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1398.8026703687656,37.720868739452,175.26,37.720868739452,3.4,47.55929079253803,185.47457421206866,128.80267036876558,0.10141942548721698,10.141942548721698,0.0965997347773449,0.6944492037032238,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,1.101419425487217,0.04195273176711854,True,False,False,IRON_PRESENT,33.5,>=30 MeV
BC501A,43,25,0,32,33,1610.0,11.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1461.4031033063145,38.014735686354726,183.54,38.014735686354726,3.4,49.687705512414695,193.90956605694277,-148.5968966936855,-0.09229620912651273,-9.229620912651274,-0.0968371751076239,-0.766320608700909,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.9077037908734873,0.04205585079233999,True,False,False,IRON_PRESENT,32.5,>=30 MeV
BC501A,43,25,0,31,32,1880.0,10.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1497.5723440378058,37.66043237956315,195.52,37.66043237956315,3.4,50.917459697285395,205.52120637306587,-382.4276559621942,-0.20341896593733733,-20.341896593733733,-0.22742641712627937,-1.860769809165116,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.7965810340626627,0.09877003799697033,True,False,False,IRON_PRESENT,31.5,>=30 MeV
BC501A,43,25,0,30,31,2050.0,9.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1712.383047167992,40.03558662248236,194.75,40.03558662248236,3.4,58.22102360371172,207.171663809678,-337.6169528320081,-0.1646911965034186,-16.46911965034186,-0.1799537979527195,-1.6296483149460346,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8353088034965814,0.07815294144839878,True,False,False,IRON_PRESENT,30.5,>=30 MeV
BC501A,43,25,0,29,30,2150.0,8.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1788.9831272432243,40.27453188094215,189.2,40.27453188094215,3.4,60.82542632626963,202.7767501613572,-361.0168727567757,-0.1679148245380352,-16.791482453803518,-0.18382046904750185,-1.7803662030755536,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8320851754619648,0.07983221536819755,True,False,False,IRON_PRESENT,29.5,10-30 MeV
BC501A,43,25,0,28,29,2170.0,9.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1793.0952920866864,39.37191766852112,197.47,39.37191766852112,3.4,60.965239930947334,210.38371914369893,-376.9047079133136,-0.17368880549000626,-17.368880549000625,-0.19078382761172338,-1.7915108138946598,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8263111945099937,0.08285636356815272,True,False,False,IRON_PRESENT,28.5,10-30 MeV
BC501A,43,25,0,27,28,2130.0,11.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1724.050561032923,37.999901194682366,238.56,37.999901194682366,3.4,58.61771907511938,248.5777606311056,-405.94943896707696,-0.19058659106435538,-19.058659106435538,-0.21144548016456732,-1.633088325908262,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8094134089356446,0.09182960525885507,True,False,False,IRON_PRESENT,27.5,10-30 MeV
BC501A,43,25,0,26,27,2040.0,15.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1744.8977394458198,37.40600279444424,306.0,37.40600279444424,3.4,59.32652314115787,313.93446034654477,-295.10226055418025,-0.14465797085989227,-14.465797085989227,-0.1562538559556805,-0.9400123204965263,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8553420291401077,0.0678601874176576,True,False,False,IRON_PRESENT,26.5,10-30 MeV
BC501A,43,25,0,25,26,1930.0,19.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1629.5540655212203,35.149526119483085,376.35,35.149526119483085,3.4,55.40483822772149,382.02684170809806,-300.4459344787797,-0.15567146864185477,-15.567146864185478,-0.1692136049626378,-0.7864524208179766,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8443285313581452,0.0734885348982303,True,False,False,IRON_PRESENT,25.5,10-30 MeV
BC501A,43,25,0,24,25,1820.0,22.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1633.6181670135445,34.68736504319818,405.86,34.68736504319818,3.4,55.54301767846051,411.10896330105703,-186.3818329864555,-0.10240760054200851,-10.240760054200852,-0.10803921187657053,-0.4533635839264521,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8975923994579915,0.04692083354717085,True,False,False,IRON_PRESENT,24.5,10-30 MeV
