benchmark_id,shield_thickness_cm,energy_band,n,valid_ratio_rows,geometric_mean_mc_over_reference,median_mc_over_reference,median_factor_error,fraction_within_factor2,fraction_mc_over_2x_reference,fraction_mc_under_half_reference,median_abs_log10_ratio,median_abs_uncertainty_z,fraction_within_2sigma
N001_JAERI_TIARA_43MEV,25,1-10 MeV,14,14,0.9492871764067911,0.9019864806151517,1.2261338634819885,1.0,0.0,0.0,0.08853788698331355,1.1638596421062313,0.8571428571428571
N001_JAERI_TIARA_43MEV,25,10-30 MeV,60,60,0.959553467312155,0.9427032107559064,1.1680006436428245,1.0,0.0,0.0,0.0674430821003961,0.9028737277333136,0.85
N001_JAERI_TIARA_43MEV,25,>=30 MeV,42,40,0.6626987059403069,0.830775060604007,1.3161136041990802,0.8,0.025,0.175,0.11929337829568537,1.6463255981181588,0.6
N001_JAERI_TIARA_43MEV,50,1-10 MeV,13,13,1.1469052256136538,1.064243577864998,1.2933306648779896,0.9230769230769231,0.07692307692307693,0.0,0.11170957482045214,1.3495371188138652,0.9230769230769231
N001_JAERI_TIARA_43MEV,50,10-30 MeV,60,60,1.0707683561096548,1.0862689189196248,1.144284875768971,1.0,0.0,0.0,0.05853415782487519,0.6738200649875412,0.9666666666666667
N001_JAERI_TIARA_43MEV,50,>=30 MeV,42,40,0.690227596826573,0.8837458828896911,1.3353059956706146,0.85,0.0,0.15,0.12558079903649733,1.669527121598714,0.575
N001_JAERI_TIARA_43MEV,100,1-10 MeV,6,6,1.207572956938745,1.192100859087769,1.1916166165723592,1.0,0.0,0.0,0.07613655063176744,0.8954727786406197,1.0
N001_JAERI_TIARA_43MEV,100,10-30 MeV,20,20,1.065819287951107,1.121191167464349,1.171624003109662,1.0,0.0,0.0,0.06878826050980971,0.6610907754623132,0.9
N001_JAERI_TIARA_43MEV,100,>=30 MeV,14,14,0.5703048272046862,0.7965772380513085,1.2556036733121652,0.8571428571428571,0.0,0.14285714285714285,0.09885257757345729,1.8524941254664977,0.6428571428571429
N001_JAERI_TIARA_43MEV,150,1-10 MeV,5,5,1.1844815512431441,1.1801089596693681,1.1801089596693681,1.0,0.0,0.0,0.07192210764386303,0.4818731732600638,1.0
N001_JAERI_TIARA_43MEV,150,10-30 MeV,20,20,1.1347671621536086,1.1279883284308778,1.2610704242655861,0.9,0.1,0.0,0.1007393403525557,0.7359027805809637,0.9
N001_JAERI_TIARA_43MEV,150,>=30 MeV,14,12,0.9896895154446833,1.138273164879544,1.2752463802199507,0.9166666666666666,0.0,0.08333333333333333,0.10559409946240333,1.1727950853586173,0.75
N002_JAERI_TIARA_68MEV,25,1-10 MeV,10,10,1.2031600919631114,1.2056672890892495,1.2056634835768387,1.0,0.0,0.0,0.08122610745624606,1.1839442410742647,0.7
N002_JAERI_TIARA_68MEV,25,10-30 MeV,60,60,1.0791902575289192,1.0562572387702978,1.2005890230088823,1.0,0.0,0.0,0.07939436828150441,1.0312110759427298,0.7333333333333333
N002_JAERI_TIARA_68MEV,25,>=30 MeV,81,80,0.8643922278029246,0.9824041534892239,1.1251450793533604,0.925,0.0,0.075,0.05120852520317509,0.768131537099423,0.75
N002_JAERI_TIARA_68MEV,50,1-10 MeV,10,10,1.367673974772417,1.368420192088081,1.3682986095410978,1.0,0.0,0.0,0.1361808856327228,1.3623617165364568,0.6
N002_JAERI_TIARA_68MEV,50,10-30 MeV,60,60,1.2286599166904038,1.1867962342364797,1.223535597129061,0.9166666666666666,0.08333333333333333,0.0,0.08761660908775232,1.0320371963341248,0.7666666666666667
N002_JAERI_TIARA_68MEV,50,>=30 MeV,81,80,0.9016809274448058,1.0178007875822708,1.1465994373418067,0.9125,0.0,0.0875,0.05941172432213064,1.0614423271467763,0.7625
N002_JAERI_TIARA_68MEV,100,1-10 MeV,4,4,1.364840365568328,1.2731888043228028,1.273048753857574,1.0,0.0,0.0,0.10484503611702553,1.0787876116484052,1.0
N002_JAERI_TIARA_68MEV,100,10-30 MeV,20,20,1.3059960251510516,1.2052173144641614,1.419233672952689,0.7,0.3,0.0,0.1520539067464276,1.2234866526511383,0.7
N002_JAERI_TIARA_68MEV,100,>=30 MeV,27,27,0.8337975207917026,0.9356925028679208,1.340501397600466,0.8888888888888888,0.0,0.1111111111111111,0.12726727111252306,1.1956832797134946,0.7037037037037037
N002_JAERI_TIARA_68MEV,150,1-10 MeV,4,4,1.5312366139458187,1.5963751992588584,1.596258748973067,0.75,0.25,0.0,0.20310329061309274,1.852374588394369,0.75
N002_JAERI_TIARA_68MEV,150,10-30 MeV,20,20,1.370674501696357,1.4679422214818163,1.5384444495572829,0.95,0.05,0.0,0.187081819279419,1.2493612945896169,0.9
N002_JAERI_TIARA_68MEV,150,>=30 MeV,27,27,0.8972377159756332,0.911716529186819,1.287582260249556,0.8888888888888888,0.0,0.1111111111111111,0.10977498453361235,1.2656587900988665,0.8148148148148148
N002_JAERI_TIARA_68MEV,200,1-10 MeV,4,4,0.7817380900581474,0.7706897902705543,1.2975571804098067,1.0,0.0,0.0,0.11312650531762372,1.2576069366559761,1.0
N002_JAERI_TIARA_68MEV,200,10-30 MeV,20,20,0.9099162252782097,0.8916291370121263,1.1850320567242343,1.0,0.0,0.0,0.07373009875973943,0.6587169560419718,1.0
N002_JAERI_TIARA_68MEV,200,>=30 MeV,27,26,0.550084402029166,0.5702983392355825,1.7536334369734983,0.7307692307692307,0.0,0.2692307692307692,0.2439388176862542,2.527571871825045,0.3076923076923077
