embedding_dimension,theiler_entropy_median,raw_entropy_median,adjacent_fraction_median,n
2,4.222220428974964,2.9440001461510334,0.9565217391304348,1
3,4.315352643250077,2.520652378728076,1.0,1
4,4.582744742916666,2.7696336163397337,1.0,1
5,4.839700558686833,2.952138368296591,1.0,1
6,5.106832812961887,3.063484657725188,1.0,1
7,5.320159765557392,3.1602448081762304,1.0,1
8,5.532835479055471,3.193451845032901,1.0,1
