curve,observable,ensemble_group,lag_samples,lag_coordinate,mutual_information
PDD,pdd_percent,PDD,1,0.5,2.747166303382639
PDD,pdd_percent,PDD,2,1.0,2.610077085453542
PDD,pdd_percent,PDD,3,1.5,2.6263588238022875
PDD,pdd_percent,PDD,4,2.0,2.633332632955064
PDD,pdd_percent,PDD,5,2.5,2.6021332301701547
PDD,pdd_percent,PDD,6,3.0,2.582588042609493
PDD,pdd_percent,PDD,7,3.5,2.5627341541292523
PDD,pdd_percent,PDD,8,4.0,2.5461423744452336
PDD,pdd_percent,PDD,9,4.5,2.5338807327064954
PDD,pdd_percent,PDD,10,5.0,2.530896929103914
PDD,pdd_percent,PDD,11,5.5,2.4994622908607846
PDD,pdd_percent,PDD,12,6.0,2.4769902584843644
PDD,pdd_percent,PDD,13,6.5,2.4626539824051994
PDD,pdd_percent,PDD,14,7.0,2.448860932817036
PDD,pdd_percent,PDD,15,7.5,2.443467625873284
PDD,pdd_percent,PDD,16,8.0,2.4119936582853287
