curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5
PDD,pdd_percent,PDD,2,80,78,0.5,False,valid,-0.01092168826162728,-1.8076573102678435,-0.01092168826162728,-1.8185789985294707,0,0.0,0.0,,,
PDD,pdd_percent,PDD,3,79,77,0.5,False,valid,-0.045700254902188986,-0.8281569597735274,-0.045700254902188986,-2.4868962458429777,0,0.0,0.0,-1.6130390311672615,,
PDD,pdd_percent,PDD,4,78,76,0.5,False,valid,-0.04622345383197519,-0.5217874490295727,-0.04622345383197519,-2.810379628878146,0,0.0,0.0,-0.8094828411897703,-1.4328858848268282,
PDD,pdd_percent,PDD,5,77,75,0.5,False,valid,-0.0785040527635488,-0.27545025812916907,-0.0785040527635488,-2.7922818224028,0,0.0,0.0,-0.44912412530432694,-0.5597721514818835,-1.4294312347238718
