target_Z,target_A,target_symbol,MT,source_file,section_keys
8,16,O,54,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,55,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,56,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,109,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,111,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,112,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,113,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,114,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,115,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,116,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,117,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,600,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
