sample_id,rows_1meV_1keV,physics_ready_rows,excluded_rows,physics_ready_fraction,T_min_physical,T_max_physical,T_gt_1_count,T_le_0_count,late_control_weight
1,9024,9024,0,1.0,0.019479325770534635,0.8339608418282661,0,0,0.04637785019441122
2,9064,9064,0,1.0,0.02566335852354137,0.8632067475478729,0,0,0.3307678153795498
3M,9060,9060,0,1.0,0.027616633498306706,0.7715582981607255,0,0,0.34961335651096015
4M,9096,9096,0,1.0,0.03383227261749392,0.7493578093906188,0,0,0.3759641876613032
5I,9122,9122,0,1.0,0.03586782526021627,0.7972315019904057,0,0,0.7810319531669903
6I,9080,9079,1,0.9998898678414097,0.034476796496177485,0.7438708130120416,1,0,0.8023784506176127
