source_file,line_number,text
VESUVIO00044726_ICPdebug.txt,99,2021-05-08T19:15:21 1 DAQ periods of size 1936270 words
VESUVIO00044727_ICPdebug.txt,52,2021-05-08T19:15:29 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044727_ICPdebug.txt,99,2021-05-08T19:26:04 1 DAQ periods of size 1936270 words
VESUVIO00044728_ICPdebug.txt,52,2021-05-08T19:26:12 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044728_ICPdebug.txt,99,2021-05-08T19:36:48 1 DAQ periods of size 1936270 words
VESUVIO00044729_ICPdebug.txt,54,2021-05-08T19:47:30 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044729_ICPdebug.txt,101,2021-05-08T20:50:58 1 DAQ periods of size 1936270 words
VESUVIO00044730_ICPdebug.txt,54,2021-05-08T20:52:05 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044730_ICPdebug.txt,101,2021-05-08T21:55:31 1 DAQ periods of size 1936270 words
VESUVIO00044731_ICPdebug.txt,54,2021-05-08T21:56:38 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044731_ICPdebug.txt,101,2021-05-08T23:18:04 1 DAQ periods of size 1936270 words
VESUVIO00044732_ICPdebug.txt,54,2021-05-08T23:19:10 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044732_ICPdebug.txt,101,2021-05-09T00:23:17 1 DAQ periods of size 1936270 words
VESUVIO00044733_ICPdebug.txt,54,2021-05-09T00:24:23 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044733_ICPdebug.txt,101,2021-05-09T01:27:58 1 DAQ periods of size 1936270 words
VESUVIO00044734_ICPdebug.txt,54,2021-05-09T01:29:04 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044734_ICPdebug.txt,101,2021-05-09T02:32:39 1 DAQ periods of size 1936270 words
VESUVIO00044735_ICPdebug.txt,54,2021-05-09T02:33:45 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044735_ICPdebug.txt,101,2021-05-09T03:37:21 1 DAQ periods of size 1936270 words
VESUVIO00044736_ICPdebug.txt,54,2021-05-09T03:38:27 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044736_ICPdebug.txt,101,2021-05-09T04:42:05 1 DAQ periods of size 1936270 words
VESUVIO00044737_ICPdebug.txt,54,2021-05-09T04:43:11 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044737_ICPdebug.txt,101,2021-05-09T05:46:48 1 DAQ periods of size 1936270 words
VESUVIO00044738_ICPdebug.txt,54,2021-05-09T05:47:54 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044738_ICPdebug.txt,101,2021-05-09T06:51:33 1 DAQ periods of size 1936270 words
VESUVIO00044739_ICPdebug.txt,54,2021-05-09T06:52:39 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044739_ICPdebug.txt,101,2021-05-09T07:56:18 1 DAQ periods of size 1936270 words
VESUVIO00044740_ICPdebug.txt,54,2021-05-09T07:57:24 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044740_ICPdebug.txt,101,2021-05-09T09:01:03 1 DAQ periods of size 1936270 words
VESUVIO00044741_ICPdebug.txt,54,2021-05-09T09:02:09 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044741_ICPdebug.txt,101,2021-05-09T10:05:45 1 DAQ periods of size 1936270 words
VESUVIO00044742_ICPdebug.txt,54,2021-05-09T10:06:51 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044742_ICPdebug.txt,101,2021-05-09T10:34:19 1 DAQ periods of size 1936270 words
VESUVIO00044743_ICPdebug.txt,56,2021-05-09T11:02:34 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044743_ICPdebug.txt,103,2021-05-09T11:09:39 1 DAQ periods of size 1936270 words
VESUVIO00044744_ICPdebug.txt,54,2021-05-09T11:10:46 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044744_ICPdebug.txt,101,2021-05-09T11:18:59 1 DAQ periods of size 1936270 words
VESUVIO00044745_ICPdebug.txt,54,2021-05-09T11:20:05 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044745_ICPdebug.txt,101,2021-05-09T11:27:11 1 DAQ periods of size 1936270 words
VESUVIO00044746_ICPdebug.txt,54,2021-05-09T11:28:17 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044746_ICPdebug.txt,101,2021-05-09T11:35:23 1 DAQ periods of size 1936270 words
VESUVIO00044747_ICPdebug.txt,54,2021-05-09T11:36:29 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044747_ICPdebug.txt,101,2021-05-09T11:43:35 1 DAQ periods of size 1936270 words
VESUVIO00044748_ICPdebug.txt,54,2021-05-09T11:44:41 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044748_ICPdebug.txt,101,2021-05-09T11:51:47 1 DAQ periods of size 1936270 words
VESUVIO00044749_ICPdebug.txt,56,2021-05-09T12:08:00 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044749_ICPdebug.txt,103,2021-05-09T12:15:06 1 DAQ periods of size 1936270 words
VESUVIO00044750_ICPdebug.txt,54,2021-05-09T12:16:12 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044750_ICPdebug.txt,101,2021-05-09T12:23:18 1 DAQ periods of size 1936270 words
VESUVIO00044751_ICPdebug.txt,54,2021-05-09T12:24:24 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044751_ICPdebug.txt,101,2021-05-09T12:31:29 1 DAQ periods of size 1936270 words
VESUVIO00044752_ICPdebug.txt,54,2021-05-09T12:32:35 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044752_ICPdebug.txt,101,2021-05-09T12:39:41 1 DAQ periods of size 1936270 words
VESUVIO00044753_ICPdebug.txt,54,2021-05-09T12:40:48 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044753_ICPdebug.txt,101,2021-05-09T12:47:53 1 DAQ periods of size 1936270 words
VESUVIO00044754_ICPdebug.txt,54,2021-05-09T12:48:59 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044754_ICPdebug.txt,101,2021-05-09T12:56:05 1 DAQ periods of size 1936270 words
VESUVIO00044755_ICPdebug.txt,56,2021-05-09T13:38:21 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044755_ICPdebug.txt,103,2021-05-09T13:45:26 1 DAQ periods of size 1936270 words
VESUVIO00044756_ICPdebug.txt,54,2021-05-09T13:46:32 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044756_ICPdebug.txt,101,2021-05-09T13:53:38 1 DAQ periods of size 1936270 words
VESUVIO00044757_ICPdebug.txt,54,2021-05-09T13:54:44 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044757_ICPdebug.txt,101,2021-05-09T14:01:49 1 DAQ periods of size 1936270 words
VESUVIO00044758_ICPdebug.txt,54,2021-05-09T14:02:56 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044758_ICPdebug.txt,101,2021-05-09T14:10:01 1 DAQ periods of size 1936270 words
VESUVIO00044759_ICPdebug.txt,54,2021-05-09T14:11:07 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044759_ICPdebug.txt,101,2021-05-09T14:18:56 1 DAQ periods of size 1936270 words
VESUVIO00044760_ICPdebug.txt,54,2021-05-09T14:20:02 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044760_ICPdebug.txt,101,2021-05-09T14:27:07 1 DAQ periods of size 1936270 words
VESUVIO00044761_ICPdebug.txt,56,2021-05-09T14:41:47 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044761_ICPdebug.txt,103,2021-05-09T17:23:40 1 DAQ periods of size 1936270 words
VESUVIO00044762_ICPdebug.txt,54,2021-05-09T17:24:44 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044762_ICPdebug.txt,149,2021-05-09T18:27:50 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044762_ICPdebug.txt,196,2021-05-09T19:31:30 1 DAQ periods of size 1936270 words
VESUVIO00044763_ICPdebug.txt,54,2021-05-09T19:32:33 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044763_ICPdebug.txt,101,2021-05-09T20:36:14 1 DAQ periods of size 1936270 words
VESUVIO00044764_ICPdebug.txt,54,2021-05-09T20:37:18 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044764_ICPdebug.txt,149,2021-05-09T20:43:18 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044764_ICPdebug.txt,196,2021-05-09T21:46:56 1 DAQ periods of size 1936270 words
VESUVIO00044765_ICPdebug.txt,54,2021-05-09T21:48:02 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044765_ICPdebug.txt,101,2021-05-09T22:51:42 1 DAQ periods of size 1936270 words
VESUVIO00044766_ICPdebug.txt,54,2021-05-09T22:52:48 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044766_ICPdebug.txt,101,2021-05-09T23:56:53 1 DAQ periods of size 1936270 words
VESUVIO00044767_ICPdebug.txt,54,2021-05-09T23:57:59 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044767_ICPdebug.txt,101,2021-05-10T01:01:42 1 DAQ periods of size 1936270 words
VESUVIO00044768_ICPdebug.txt,54,2021-05-10T01:02:48 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044768_ICPdebug.txt,101,2021-05-10T02:06:29 1 DAQ periods of size 1936270 words
VESUVIO00044769_ICPdebug.txt,54,2021-05-10T02:07:35 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044769_ICPdebug.txt,101,2021-05-10T03:11:17 1 DAQ periods of size 1936270 words
VESUVIO00044770_ICPdebug.txt,54,2021-05-10T03:12:23 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044770_ICPdebug.txt,101,2021-05-10T04:16:03 1 DAQ periods of size 1936270 words
VESUVIO00044771_ICPdebug.txt,54,2021-05-10T04:17:09 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044771_ICPdebug.txt,101,2021-05-10T05:21:08 1 DAQ periods of size 1936270 words
VESUVIO00044772_ICPdebug.txt,54,2021-05-10T05:22:14 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044772_ICPdebug.txt,101,2021-05-10T06:25:55 1 DAQ periods of size 1936270 words
VESUVIO00044773_ICPdebug.txt,54,2021-05-10T06:27:01 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044773_ICPdebug.txt,101,2021-05-10T07:30:43 1 DAQ periods of size 1936270 words
VESUVIO00044774_ICPdebug.txt,54,2021-05-10T07:31:49 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044774_ICPdebug.txt,101,2021-05-10T08:34:44 1 DAQ periods of size 1936270 words
VESUVIO00044775_ICPdebug.txt,54,2021-05-10T08:35:50 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044775_ICPdebug.txt,101,2021-05-10T09:35:35 1 DAQ periods of size 1936270 words
VESUVIO00044776_ICPdebug.txt,54,2021-05-10T09:36:41 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044776_ICPdebug.txt,149,2021-05-10T10:22:26 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044776_ICPdebug.txt,196,2021-05-10T11:22:14 1 DAQ periods of size 1936270 words
VESUVIO00044777_ICPdebug.txt,54,2021-05-10T11:23:20 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044777_ICPdebug.txt,101,2021-05-10T12:23:08 1 DAQ periods of size 1936270 words
VESUVIO00044778_ICPdebug.txt,54,2021-05-10T12:24:14 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044778_ICPdebug.txt,101,2021-05-10T12:27:48 1 DAQ periods of size 1936270 words
VESUVIO00044779_ICPdebug.txt,56,2021-05-10T12:50:09 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044779_ICPdebug.txt,103,2021-05-10T12:56:49 1 DAQ periods of size 1936270 words
VESUVIO00044780_ICPdebug.txt,54,2021-05-10T12:57:55 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044780_ICPdebug.txt,101,2021-05-10T13:04:35 1 DAQ periods of size 1936270 words
VESUVIO00044781_ICPdebug.txt,54,2021-05-10T13:05:41 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044781_ICPdebug.txt,101,2021-05-10T13:12:21 1 DAQ periods of size 1936270 words
VESUVIO00044782_ICPdebug.txt,54,2021-05-10T13:13:28 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044782_ICPdebug.txt,101,2021-05-10T13:27:52 1 DAQ periods of size 1936270 words
VESUVIO00044783_ICPdebug.txt,54,2021-05-10T13:28:58 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044783_ICPdebug.txt,101,2021-05-10T13:35:38 1 DAQ periods of size 1936270 words
VESUVIO00044784_ICPdebug.txt,54,2021-05-10T13:36:44 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044784_ICPdebug.txt,101,2021-05-10T13:43:25 1 DAQ periods of size 1936270 words
VESUVIO00044785_ICPdebug.txt,56,2021-05-10T14:04:51 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044785_ICPdebug.txt,103,2021-05-10T14:11:31 1 DAQ periods of size 1936270 words
VESUVIO00044786_ICPdebug.txt,54,2021-05-10T14:12:37 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044786_ICPdebug.txt,101,2021-05-10T14:24:34 1 DAQ periods of size 1936270 words
