curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,2,270,180,0.0036746261899245347,False,valid,85.30671229116203,-189.54092937138546,85.30671229116203,-104.23421708022343,1,85.30671229116203,1.4500701382761085,,,,,,,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,3,269,180,0.0036746261899245347,False,valid,89.71777766736535,-38.48672083840088,89.71777766736535,-241.03963089309468,1,89.71777766736535,2.1752863320925413,-292.27068772205917,,,,,,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,4,268,180,0.0036746261899245347,False,valid,80.34412027031202,3.354105206521578,80.34412027031202,-204.38906397803134,2,83.6982254768336,2.9995863633624196,-83.73286045568648,-204.35442899917845,,,,,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,5,267,178,0.0036746261899245347,False,valid,85.69944058582814,30.46914299500502,85.69944058582814,-227.72810990605905,2,116.16858358083316,3.9595920091727823,-32.18857731031379,-87.51636681813713,-224.19174935844129,,,,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,6,266,174,0.0036746261899245347,False,valid,68.32115907748215,32.1367790968114,68.32115907748215,-195.76696729378818,3,107.73943765835205,4.980662766865036,7.281499484058493,-28.178668630550035,-81.1295908400187,-194.19814548157152,,,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,7,265,179,0.0036746261899245347,False,valid,94.8049256761833,27.742443084261488,94.8049256761833,-250.45379023337497,3,141.10791982755183,5.647363286978323,18.56055106710703,-19.81186328383383,-54.28332607793462,-103.51642086250509,-213.95009983665327,,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,8,264,180,0.0036746261899245347,False,valid,69.48350880937231,42.57144572792931,69.48350880937231,-271.599630339242,3,126.30576342536315,6.4753339352165415,14.250808888061528,-1.84969252679867,-29.631915259646878,-49.23548601903366,-95.90872067468786,-221.27957928443814,,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,9,263,180,0.0036746261899245347,False,valid,65.42126061866523,36.034736272553914,65.42126061866523,-239.08202636195549,3,121.9716771773154,7.07271907732384,20.51568028609625,-4.441548964763458,-12.815231725948086,-32.81201829353318,-66.5077174782616,-74.19182026722866,-170.2853668095359,
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,10,262,180,0.0036746261899245347,False,valid,58.961939234430034,28.080304431918243,58.961939234430034,-230.264443490667,4,116.74026452324466,8.261559537248605,17.189736617281845,12.508284239614532,-5.13433312500805,-11.622055118637778,-29.551737295382278,-53.169831251113315,-65.9976230065572,-181.529128217213
exfor_13_27_4_M0267_2,experimental_cross_section_barn,experimental_reaction_cross_sections,2,78,76,0.006477960871641653,False,valid,15.238404279994194,-197.05827419766754,15.238404279994194,-181.81986991767334,1,15.238404279994194,1.0773294313168935,,,,,,,,
exfor_13_27_4_M0267_2,experimental_cross_section_barn,experimental_reaction_cross_sections,3,77,75,0.006477960871641653,False,valid,13.613839824024732,-47.18932551250918,13.613839824024732,-179.21065164254236,1,13.613839824024732,1.2884940540295626,-145.63516595405792,,,,,,,
exfor_13_27_4_M0267_2,experimental_cross_section_barn,experimental_reaction_cross_sections,4,76,74,0.006477960871641653,False,valid,0.9314610370708053,-16.851402951297974,0.9314610370708053,-164.11485702779913,1,0.9314610370708053,1.0552749845079816,-56.99976992292298,-91.19514519064897,,,,,,
exfor_13_27_4_M0267_2,experimental_cross_section_barn,experimental_reaction_cross_sections,5,75,73,0.006477960871641653,False,valid,11.86623233569086,-6.7841642355633125,11.86623233569086,-160.5281195591782,1,11.86623233569086,2.183084665147693,-29.638286937031193,-27.7580216564162,-108.21387906585838,,,,,
exfor_17_0_201_L0039_29,experimental_cross_section_barn,experimental_reaction_cross_sections,2,60,58,0.016539694004335637,False,valid,3.3034165050610977,-37.85313634527599,3.3034165050610977,-34.54971984021489,1,3.3034165050610977,1.0872692945421754,,,,,,,,
exfor_17_0_201_L0039_29,experimental_cross_section_barn,experimental_reaction_cross_sections,3,59,57,0.016539694004335637,False,valid,2.9390489048307056,-14.247274683023164,2.9390489048307056,-75.92293446491789,1,2.9390489048307056,1.206288498693201,-64.61470868672542,,,,,,,
exfor_22_46_4_M0370_2,experimental_cross_section_barn,experimental_reaction_cross_sections,2,58,56,0.010996501473737652,False,valid,3.012332378697521,-58.526283958405436,3.012332378697521,-55.513951579707914,1,3.012332378697521,1.0514697359025618,,,,,,,,
exfor_22_46_4_M0370_2,experimental_cross_section_barn,experimental_reaction_cross_sections,3,57,55,0.010996501473737652,False,valid,22.096559570942663,-27.820549097770055,22.096559570942663,-96.04604626922772,1,22.096559570942663,1.7942531793059762,-90.32205674240032,,,,,,,
exfor_27_59_16_L0028_9,experimental_cross_section_barn,experimental_reaction_cross_sections,2,83,81,0.00890517697910198,False,valid,15.725511371201046,-84.06931273921872,15.725511371201046,-68.34380136801767,1,15.725511371201046,1.1870541206870702,,,,,,,,
exfor_27_59_16_L0028_9,experimental_cross_section_barn,experimental_reaction_cross_sections,3,82,80,0.00890517697910198,False,valid,13.043149125221152,-29.043469724970684,13.043149125221152,-97.88361920194941,1,13.043149125221152,1.4490905958803746,-81.88329860219989,,,,,,,
exfor_27_59_16_L0028_9,experimental_cross_section_barn,experimental_reaction_cross_sections,4,81,79,0.00890517697910198,False,valid,22.095549386104754,-16.296730312351816,22.095549386104754,-112.6380298647122,1,22.095549386104754,2.1380665809442787,-42.0001642257883,-76.43668471267682,,,,,,
exfor_27_59_16_L0028_9,experimental_cross_section_barn,experimental_reaction_cross_sections,5,80,78,0.00890517697910198,False,valid,10.532129712506222,-0.4145893558043891,10.532129712506222,-123.31773861490548,1,10.532129712506222,2.4278870795162857,-23.645351404718735,-31.808349242177623,-77.98157832471095,,,,,
exfor_28_58_201_M0614_2,experimental_cross_section_barn,experimental_reaction_cross_sections,2,139,137,0.006346138705557891,False,valid,28.152214200570697,-113.64614347216474,28.152214200570697,-85.49392927159404,1,28.152214200570697,1.247718165706747,,,,,,,,
exfor_28_58_201_M0614_2,experimental_cross_section_barn,experimental_reaction_cross_sections,3,138,136,0.006346138705557891,False,valid,24.4238921935563,-37.65949579422427,24.4238921935563,-151.32329883205614,1,24.4238921935563,1.6485453848615115,-138.08769523138818,,,,,,,
exfor_28_58_201_M0614_2,experimental_cross_section_barn,experimental_reaction_cross_sections,4,137,135,0.006346138705557891,False,valid,15.801326588833305,-14.653755460254732,15.801326588833305,-166.93366803400437,1,15.801326588833305,2.019103671327807,-60.07071148194326,-108.01052768063967,,,,,,
