observable,embedding_dimension,n,LLE_median,LLE_trimmed_mean,LLE_MAD,KS_proxy_median,KY_median,positive_count_median
experimental_cross_section_barn,2,23,13.622823722128796,14.106421601791704,15.29955314002457,13.622823722128796,1.1870541206870702,1.0
experimental_cross_section_barn,3,20,13.002503807583139,14.305958062492616,11.510302823508106,13.002503807583139,1.5589315664063728,1.0
experimental_cross_section_barn,4,17,12.048610587247204,17.746935329859237,14.938875431023424,12.048610587247204,2.0702988997216982,1.0
experimental_cross_section_barn,5,15,13.079562856832112,19.863836285089704,14.394781111881166,14.158505057993052,2.86121702897322,1.0
experimental_cross_section_barn,6,11,23.80982715449959,27.084761656707727,17.406590099752158,30.96069620074046,4.69209545007283,3.0
experimental_cross_section_barn,7,9,21.24854625172366,36.53204237169278,12.352426950763233,34.17492634481276,5.647363286978323,3.0
experimental_cross_section_barn,8,9,20.721993580175017,29.94237700471521,5.872640288970573,36.9411230136207,6.171062809192624,3.0
experimental_cross_section_barn,9,9,20.019670359566756,27.144168036242895,9.649781660745626,39.365375985200515,7.194801623595052,4.0
experimental_cross_section_barn,10,7,20.086800898764142,32.79719523160177,11.483329229727659,48.06931285690509,8.089726530533449,4.0
