embedding_dimension,theiler_entropy_median,raw_entropy_median,adjacent_fraction_median,n
2,4.507034206140243,4.572030039553704,0.32098765432098764,33
3,4.556396657446918,4.6835988300700695,0.44237079573420834,32
4,4.800154734738609,4.794465818361523,0.5114139457664637,28
5,4.830265184660238,4.85333523587993,0.6212601626016261,26
6,4.824934256739171,4.882922155569723,0.6715328467153284,23
7,4.906925579747617,4.8828291426343,0.7573529411764706,17
8,5.02866181541133,4.902749159124897,0.6933333333333334,15
9,4.882056605139038,4.924694641992673,0.7590361445783133,15
10,4.767270732639009,4.9939516101228065,0.807652294532424,12
