embedding_dimension,theiler_entropy_median,raw_entropy_median,adjacent_fraction_median,n
2,4.265646240819957,2.880350692521447,0.9571428571428572,1
3,4.363918711199254,2.5935770942185177,1.0,1
4,4.552115370751692,2.785849800411192,1.0,1
5,4.864158966383432,2.9910662511041948,1.0,1
6,5.100990141987388,3.0038923137502485,1.0,1
7,5.4569080053028625,3.154147994372854,1.0,1
8,5.402114648336088,3.1708163690494073,1.0,1
