curve,observable,ensemble_group,embedding_dimension,nn_distance_entropy_raw_bits,nn_distance_entropy_theiler_bits,nn_distance_entropy_theiler2_bits,theiler_sensitivity_bits,theiler_window,nearest_distance_mean_theiler,nearest_distance_cv_theiler,adjacent_neighbor_fraction_raw,n_points,raw_quality_status
PDD,pdd_percent,PDD,2,2.880350692521447,4.265646240819957,4.978864088188098,0.7132178473681412,2,0.16547396419248703,0.44482545053223466,0.9571428571428572,70,sampling_geometry_dominated
PDD,pdd_percent,PDD,3,2.5935770942185177,4.363918711199254,5.186645609322563,0.8227268981233085,3,0.27225175963152637,0.41394039834546337,1.0,69,sampling_geometry_dominated
PDD,pdd_percent,PDD,4,2.785849800411192,4.552115370751692,5.429302730924406,0.877187360172714,4,0.39160145690468773,0.36393018194668003,1.0,68,sampling_geometry_dominated
PDD,pdd_percent,PDD,5,2.9910662511041948,4.864158966383432,5.547359526246378,0.6832005598629465,5,0.5208891792312219,0.3263510565283906,1.0,67,sampling_geometry_dominated
PDD,pdd_percent,PDD,6,3.0038923137502485,5.100990141987388,5.445761164747441,0.3447710227600522,6,0.6616353289712388,0.30218941766563795,1.0,66,sampling_geometry_dominated
PDD,pdd_percent,PDD,7,3.154147994372854,5.4569080053028625,5.395369543764401,0.06153846153846132,7,0.8126108204790109,0.28494942995858336,1.0,65,sampling_geometry_dominated
PDD,pdd_percent,PDD,8,3.1708163690494073,5.402114648336088,5.375,0.02711464833608801,8,0.9735999232564607,0.27276663107924126,1.0,64,sampling_geometry_dominated
