source_proton_MeV,peak_normalization_range_MeV,computed_peak_integral,computed_total_integral_above_6p5,published_peak_to_total_above_6p5_ratio,computed_total_integral_0_to_max,sampling_rule,below_6p5_rule,source_peak_relative_uncertainty_percent,fluence_monitor_charge_conversion_error_percent,neutron_penetration_factor_error_percent,fluence_monitor_counting_statistics_max_percent,normalization_uncertainty_note
43,36.3-45.5,1.0104303,2.1743243,2.17,2.4606493,"q(E)=f(E)/Integral[f(E)dE] over 0..Emax; for a source cone of solid angle Omega, each of N simulated primaries represents I_peak*Integral[f dE]*Omega/N neutrons per uC. Do not fit a free normalization factor to the transmission data.",Published flux density below 6.5 MeV is constant at the 6.5-7.5 MeV value; canonical neutron-energy interval is 0-6.5 MeV.,3.4,3.0,3.0,1.0,"PRT peak-flux uncertainty is used as a correlated Geant4 absolute-normalization systematic. The published BC501A table error already includes its own fluence-monitor charge-conversion, penetration-factor and counting-statistics terms."
68,60.8-72.5,1.0016256,2.612784,2.61,2.767029,"q(E)=f(E)/Integral[f(E)dE] over 0..Emax; for a source cone of solid angle Omega, each of N simulated primaries represents I_peak*Integral[f dE]*Omega/N neutrons per uC. Do not fit a free normalization factor to the transmission data.",Published flux density below 6.5 MeV is constant at the 6.5-7.5 MeV value; canonical neutron-energy interval is 0-6.5 MeV.,3.9,3.0,3.0,1.0,"PRT peak-flux uncertainty is used as a correlated Geant4 absolute-normalization systematic. The published BC501A table error already includes its own fluence-monitor charge-conversion, penetration-factor and counting-statistics terms."
