benchmark_id,source_table,source_proton_MeV,shield_thickness_cm,off_axis_cm,energy_lower_MeV,energy_upper_MeV,field_name,original_value,corrected_value,reason
N002_JAERI_TIARA_68MEV,JAERI-Data/Code 97-020 Table 15,68,100.0,0.0,58.0,160.0,energy_upper_MeV,160.0,60.0,Published Table 15 uses the 60-MeV boundary; the working CSV contained 160 MeV.
N002_JAERI_TIARA_68MEV,JAERI-Data/Code 97-020 Table 15,68,100.0,0.0,160.0,62.0,energy_lower_MeV,160.0,60.0,Published Table 15 uses the 60-MeV boundary; the working CSV contained 160 MeV.
N002_JAERI_TIARA_68MEV,JAERI-Data/Code 97-020 Table 15,68,150.0,0.0,58.0,160.0,energy_upper_MeV,160.0,60.0,Published Table 15 uses the 60-MeV boundary; the working CSV contained 160 MeV.
N002_JAERI_TIARA_68MEV,JAERI-Data/Code 97-020 Table 15,68,150.0,0.0,160.0,62.0,energy_lower_MeV,160.0,60.0,Published Table 15 uses the 60-MeV boundary; the working CSV contained 160 MeV.
N002_JAERI_TIARA_68MEV,JAERI-Data/Code 97-020 Table 15,68,200.0,0.0,58.0,160.0,energy_upper_MeV,160.0,60.0,Published Table 15 uses the 60-MeV boundary; the working CSV contained 160 MeV.
N002_JAERI_TIARA_68MEV,JAERI-Data/Code 97-020 Table 15,68,200.0,0.0,160.0,62.0,energy_lower_MeV,160.0,60.0,Published Table 15 uses the 60-MeV boundary; the working CSV contained 160 MeV.
N001_JAERI_TIARA_43MEV,JAERI-Data/Code 97-020 Table 12,43,150.0,0.0,31.0,32.0,lethargy_flux_n_cm2_per_uC,1.85,0.185,"Published Table 12 gives 0.185, 0.174, 0.163 for the 31-32, 30-31, 29-30 MeV bins; the working CSV contained incorrect larger values."
N001_JAERI_TIARA_43MEV,JAERI-Data/Code 97-020 Table 12,43,150.0,0.0,30.0,31.0,lethargy_flux_n_cm2_per_uC,7.4,0.174,"Published Table 12 gives 0.185, 0.174, 0.163 for the 31-32, 30-31, 29-30 MeV bins; the working CSV contained incorrect larger values."
N001_JAERI_TIARA_43MEV,JAERI-Data/Code 97-020 Table 12,43,150.0,0.0,29.0,30.0,lethargy_flux_n_cm2_per_uC,6.3,0.163,"Published Table 12 gives 0.185, 0.174, 0.163 for the 31-32, 30-31, 29-30 MeV bins; the working CSV contained incorrect larger values."
