source_proton_MeV,energy_low_MeV,energy_high_MeV,normalized_flux_density,absolute_error,below_6p5_MeV_constant_assumption,monoenergetic_peak_normalization_range_MeV,peak_to_total_flux_above_6p5_ratio,published_energy_low_MeV,bin_width_MeV,relative_bin_integral,sampling_probability
68,0.0,6.5,0.02373,,True,60.8-72.5,2.61,,6.5,0.15424500000000002,0.05574390438264291
68,6.5,7.5,0.02373,0.00085,False,60.8-72.5,2.61,6.5,1.0,0.02373,0.00857598528963737
68,7.5,8.5,0.02395,0.000855,False,60.8-72.5,2.61,7.5,1.0,0.02395,0.008655492949296881
68,8.5,9.5,0.0244,0.000867,False,60.8-72.5,2.61,8.5,1.0,0.0244,0.008818122253145884
68,9.5,10.5,0.02508,0.000886,False,60.8-72.5,2.61,9.5,1.0,0.02508,0.009063873201184377
68,10.5,11.5,0.02569,0.000907,False,60.8-72.5,2.61,10.5,1.0,0.02569,0.009284326257513022
68,11.5,12.5,0.02533,0.000898,False,60.8-72.5,2.61,11.5,1.0,0.02533,0.00915422281443382
68,12.5,13.5,0.02592,0.000921,False,60.8-72.5,2.61,12.5,1.0,0.02592,0.009367447901702512
68,13.5,14.5,0.02678,0.000946,False,60.8-72.5,2.61,13.5,1.0,0.02678,0.009678250571280606
68,14.5,15.5,0.02714,0.00096,False,60.8-72.5,2.61,14.5,1.0,0.02714,0.009808354014359807
68,15.5,16.5,0.02788,0.000983,False,60.8-72.5,2.61,15.5,1.0,0.02788,0.010075788869578165
68,16.5,17.5,0.02795,0.000989,False,60.8-72.5,2.61,16.5,1.0,0.02795,0.010101086761288009
68,17.5,18.5,0.02855,0.00101,False,60.8-72.5,2.61,17.5,1.0,0.02855,0.010317925833086678
68,18.5,19.5,0.02954,0.00104,False,60.8-72.5,2.61,18.5,1.0,0.02954,0.010675710301554484
68,19.5,20.5,0.031,0.00109,False,60.8-72.5,2.61,19.5,1.0,0.031,0.011203352042931245
68,20.5,21.5,0.03149,0.0011,False,60.8-72.5,2.61,20.5,1.0,0.03149,0.011380437284900157
