shield_thickness_cm,integrated_neutron_fluence_n_cm2_per_uC,previous_thickness_cm,attenuation_ratio_previous_over_current,effective_local_TVL_cm
0.0,35681.699610680604,,,
25.0,8862.097527037748,0.0,4.026326668355635,41.32852988515525
50.0,1216.8862375994145,25.0,7.282601489947208,28.992682451343057
75.0,176.69296433353685,50.0,6.887010143212849,29.831841870847917
100.0,29.841289752025478,75.0,5.9210900668776825,32.366579539242586
125.0,5.432426177938664,100.0,5.493179064855468,33.79183189115367
150.0,1.0783594828579224,125.0,5.037676456037996,35.60085774187448
175.0,0.3311405937259714,150.0,3.256500420936905,48.756595774621594
200.0,0.05271534774159555,175.0,6.281673324990356,31.32536305176252
