benchmark_id,comparison,n,bias,rmse,mean_relative_error,mape_percent,log_rmse,median_log_residual,median_abs_log10_ratio,fraction_within_factor2,median_factor_error,source_normalization_gate_passed,normalized_rmse,coverage_1sigma_fraction
P001_NIST_ORDINARY_CONCRETE,mu_over_rho_all_rows_including_edges,53,-0.7203059842937017,4.973859206181422,-0.0005822474384632493,0.2422348380124502,0.00339861244522243,-0.000690909629287784,0.0007034099578453111,1.0,1.0016209736429649,,,
N001_JAERI_TIARA_43MEV,BC501A_transmission_global_absolute,310,-101.34067179276718,898.4250540148893,-0.007579185626906366,27.028237657825102,0.6512784607111478,0.010012098371430363,0.08285928368785331,0.9342105263157895,1.2102059496358462,True,2.653097789509238,0.4838709677419355
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T025_FE040_t25cm_x0cm,40,-743.1638320906882,2479.913780453971,-0.1878045761846289,22.757400050738635,0.6617994992433285,-0.18650952734601417,0.08287998561826254,0.9,1.2102636390551933,True,3.893336429260581,0.3
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T025_FE040_t25cm_x20cm,38,16.858942699571887,92.86876652017645,0.05813503564891884,24.384988103274164,0.8231307664876191,0.09089238128208074,0.07666094980755664,0.9473684210526315,1.1930563313610496,True,1.6244634420270059,0.47368421052631576
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T025_FE040_t25cm_x40cm,38,-1.2094987302678148,9.401966594415523,-0.08202665396650477,27.321445347886712,0.4889893873943917,-0.043216087410008805,0.07456604850713033,0.9444444444444444,1.1873152569580927,True,1.8807373357744495,0.5526315789473685
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T050_FE040_t50cm_x0cm,40,-57.96931280496928,308.13852721799503,0.017651483576864635,23.065161392014012,0.7540021687366117,0.05520424155847348,0.056582554898547924,0.9,1.139154302771322,True,3.2881689433701293,0.55
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T050_FE040_t50cm_x20cm,38,1.3841404027782267,48.86805405921166,-0.003645551505299032,23.584074140099556,0.7572855334519123,0.02824983204492859,0.07618150846182786,0.9473684210526315,1.19173997819118,True,1.6573539829999377,0.47368421052631576
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T050_FE040_t50cm_x40cm,37,0.5767831485920322,8.695200309879954,0.04136476170273149,33.9843127186035,0.4206893101954473,0.08462049479198473,0.10479506413042393,0.9714285714285714,1.272902279246365,True,1.7909466172035733,0.4864864864864865
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T100_FE000_t100cm_x0cm,40,-0.9647020649814861,3.320841374421405,-0.017385946708634824,22.061548132361413,0.7091465816238133,0.017204365294441915,0.07503448704258486,0.95,1.1885966093739144,True,3.103815053260494,0.5
N001_JAERI_TIARA_43MEV,BC501A_JAERI_43MEV_BC501A_T150_FE000_t150cm_x0cm,39,-0.007988717161692567,0.12681134334558838,0.1196905204765013,39.61360081705111,0.4103076211765476,0.16560677291747214,0.09560102587762387,0.918918918918919,1.2462381043099526,True,2.774284623508113,0.5384615384615384
N002_JAERI_TIARA_68MEV,BC501A_transmission_global_absolute,455,-142.8993266112504,2762.7356446830468,0.07615865012431827,30.54205742096285,0.5417807348004284,0.035690285367623066,0.09305342369251454,0.9137168141592921,1.2389489834900484,True,3.384814629478184,0.44835164835164837
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T025_FE080_t25cm_x0cm,51,-1160.810322300962,8092.231784987696,0.03107583401244203,29.305347630934964,0.659510998093743,-0.05881379835120981,0.08700044010668743,0.9215686274509803,1.2218008983166238,True,5.406489431805364,0.4117647058823529
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T025_FE080_t25cm_x20cm,50,22.095403190204006,82.45521437773094,0.10627053323798126,18.898803095619897,0.4448737476255006,0.08684851085958402,0.05120852520317509,0.98,1.1251450793533604,True,2.050236668460646,0.5
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T025_FE080_t25cm_x40cm,50,0.32833086008766516,5.454842894294295,-0.009375557645215915,21.282347608456533,0.43542704000766796,0.006021291053107232,0.06931181221002032,0.9795918367346939,1.1730372737133479,True,1.462741924451299,0.68
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T050_FE080_t50cm_x0cm,51,-143.28323190467316,1609.3422963292787,0.18962957360789953,37.19748049928912,0.6862099629296012,0.06678319262319576,0.07000111631464367,0.8431372549019608,1.1749005749111978,True,5.155439499219376,0.35294117647058826
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T050_FE080_t50cm_x20cm,50,8.492742558585164,102.80128916980766,0.09261358477056925,21.607578747119405,0.46750588572586105,0.1230565926775101,0.07437420271364809,0.96,1.1867908866419796,True,2.6683636240688564,0.42
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T050_FE080_t50cm_x40cm,50,3.5196972019593744,11.330659008532495,0.13556536611386905,28.573282590297204,0.3867688323749987,0.14425417551064745,0.0970738204663677,0.9591836734693877,1.2504715646914748,True,1.9954134934924326,0.56
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T100_FE000_t100cm_x0cm,51,-4.451442358836418,65.89961114185299,0.1912413073439604,42.969717682868705,0.6158156523953137,0.10864943443183821,0.13002436654207455,0.8235294117647058,1.3490385696756784,True,3.5687986996414374,0.4117647058823529
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T150_FE000_t150cm_x0cm,51,0.08356022136801393,2.8550392140344494,0.2300217001565785,42.231876432838526,0.5702652877550941,0.20802415365479002,0.1460591562691847,0.9019607843137255,1.399777976626296,True,2.5812469297338403,0.39215686274509803
N002_JAERI_TIARA_68MEV,BC501A_JAERI_68MEV_BC501A_T200_FE000_t200cm_x0cm,51,-0.18566755220495765,0.34949740462160317,-0.28121371938157397,32.188431174920524,0.5119815813528495,-0.2951457614564617,0.1324673377087316,0.86,1.3566484960431797,True,3.1469722071061867,0.3137254901960784
N001_JAERI_TIARA_43MEV,ICRP21_spectrum_derived_dose_Table25,5,-1.0336770470857206,2.818443761346855,0.1935683521670345,35.05857532801012,0.3325760080144555,0.31148294843130686,0.14869682309281224,1.0,1.4083053304357482,True,,
N002_JAERI_TIARA_68MEV,ICRP21_spectrum_derived_dose_Table25,3,-2.3768581997372675,4.126416122178111,0.15928131846846752,31.86379765071654,0.29753206020454837,0.25662676655915495,0.11863531042462712,1.0,1.3141208636306654,True,,
