run_id,benchmark_id,geometry_id,shield_thickness_cm,required_histories,actual_histories,reference_positive_bins,mc_positive_bins,positive_mc_bin_fraction,median_relative_mc_statistical_sigma,p90_relative_mc_statistical_sigma,histories_requirement_ok,positive_bin_coverage_ok,mc_sigma_available_for_all_positive_bins,median_relative_sigma_ok,p90_relative_sigma_ok,spectral_statistics_adequate,targeted_high_stat_rerun
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV,JAERI_43MEV_BC501A_T025_FE040,25.0,1000000,1000000,116,114,0.9827586206896551,0.07320813249803679,0.24314868487145178,True,True,True,True,True,True,False
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,N001_JAERI_TIARA_43MEV,JAERI_43MEV_BC501A_T050_FE040,50.0,1000000,1000000,115,113,0.9826086956521739,0.11897568659742237,0.28591170323605614,True,True,True,True,True,True,False
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,N001_JAERI_TIARA_43MEV,JAERI_43MEV_BC501A_T100_FE000,100.0,10000000,10000000,40,40,1.0,0.13522446056585385,0.15013319909187103,True,True,True,True,True,True,True
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T150_FE000,N001_JAERI_TIARA_43MEV,JAERI_43MEV_BC501A_T150_FE000,150.0,100000000,100000000,39,37,0.9487179487179487,0.22660862982144295,0.26643971541884975,True,True,True,True,True,True,True
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T025_FE080,N002_JAERI_TIARA_68MEV,JAERI_68MEV_BC501A_T025_FE080,25.0,1000000,1000000,151,150,0.9933774834437086,0.0770653926858285,0.24543700749632363,True,True,True,True,True,True,False
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,N002_JAERI_TIARA_68MEV,JAERI_68MEV_BC501A_T050_FE080,50.0,1000000,1000000,151,150,0.9933774834437086,0.10605026473681436,0.24400519745164395,True,True,True,True,True,True,False
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T100_FE000,N002_JAERI_TIARA_68MEV,JAERI_68MEV_BC501A_T100_FE000,100.0,1000000,1000000,51,51,1.0,0.20428202073179716,0.25077348605530386,True,True,True,True,True,True,False
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T150_FE000,N002_JAERI_TIARA_68MEV,JAERI_68MEV_BC501A_T150_FE000,150.0,10000000,10000000,51,51,1.0,0.22867110088019765,0.2826882974350774,True,True,True,True,True,True,True
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T200_FE000,N002_JAERI_TIARA_68MEV,JAERI_68MEV_BC501A_T200_FE000,200.0,100000000,100000000,51,50,0.9803921568627451,0.2328390682853657,0.26517046646681297,True,True,True,True,True,True,True
