row_index,geometry_id,source_normalization_id,energy_MeV,edge_side,edge_probe_policy,edge_probe_offset_eV,mu_over_rho_cm2_g,run_id,mc_mu_over_rho_cm2_g,generated_event_count,geant4_evaluation_energy_MeV,geant4_evaluation_energy_MeV_mc_reported,geant4_evaluation_energy_abs_diff_MeV,residual,relative_residual,percent_difference,log_residual
15,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.0036074,pre_edge,ADAPTIVE_GEANT4_EDGE_DISCONTINUITY_SCAN_V1,1.7579104476996705,280.4,P001_G4_EM_COEFFICIENTS,279.9462145647428,0,0.0036091579104477,0.0036091579104476,9.974659986866641e-17,-0.4537854352572026,-0.0016183503397189823,-0.16183503397189822,-0.0016196612831981835
16,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.0036074,post_edge,ADAPTIVE_GEANT4_EDGE_DISCONTINUITY_SCAN_V1,2.6368656715998124,291.1,P001_G4_EM_COEFFICIENTS,290.3427445970374,0,0.0036100368656716,0.0036100368656716,0.0,-0.7572554029626417,-0.002601358306295574,-0.2601358306295574,-0.002604747718140249
17,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.004,none,none,0.0,218.8,P001_G4_EM_COEFFICIENTS,218.74522806435743,0,0.004,0.004,0.0,-0.05477193564257732,-0.0002503287735035526,-0.02503287735035526,-0.00025036011098081783
18,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.0040381,pre_edge,ADAPTIVE_GEANT4_EDGE_DISCONTINUITY_SCAN_V1,2.009004975100058,213.1,P001_G4_EM_COEFFICIENTS,212.69638872565903,0,0.0040401090049751,0.0040401090049751,0.0,-0.40361127434096034,-0.0018939994103282982,-0.1893999410328298,-0.0018957952951729582
19,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.0040381,post_edge,ADAPTIVE_GEANT4_EDGE_DISCONTINUITY_SCAN_V1,3.013507462600214,252.0,P001_G4_EM_COEFFICIENTS,251.25861018658037,0,0.0040411135074626,0.0040411135074626,0.0,-0.7413898134196302,-0.0029420230691255167,-0.29420230691255167,-0.0029463593259953774
20,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.005,none,none,0.0,140.1,P001_G4_EM_COEFFICIENTS,140.04573423800423,0,0.005,0.005,0.0,-0.05426576199576516,-0.0003873359171717713,-0.03873359171717713,-0.0003874109511043209
21,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.006,none,none,0.0,84.01,P001_G4_EM_COEFFICIENTS,84.24401492301583,0,0.006,0.006,0.0,0.2340149230158204,0.002785560326339964,0.2785560326339964,0.0027816878428648917
22,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.007112,pre_edge,ADAPTIVE_GEANT4_EDGE_DISCONTINUITY_SCAN_V1,3.5383084576994657,51.87,P001_G4_EM_COEFFICIENTS,52.10539160236635,0,0.0071155383084577,0.0071155383084576,9.974659986866641e-17,0.2353916023663558,0.004538106851096122,0.45381068510961214,0.004527840691767945
23,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.007112,post_edge,ADAPTIVE_GEANT4_EDGE_DISCONTINUITY_SCAN_V1,5.3074626864997585,54.15,P001_G4_EM_COEFFICIENTS,54.35961689710964,0,0.0071173074626865,0.0071173074626865,0.0,0.20961689710964038,0.0038710414978696283,0.38710414978696284,0.003863568296570052
24,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.008,none,none,0.0,38.78,P001_G4_EM_COEFFICIENTS,38.8805501489724,0,0.008,0.008,0.0,0.10055014897239545,0.002592835197844132,0.2592835197844132,0.0025894795997529023
