edge_group_id,nist_edge_energy_MeV,scan_min_energy_MeV,scan_max_energy_MeV,scan_points,largest_positive_log_jump,largest_positive_jump_factor,minimum_qualifying_jump_factor,discontinuity_detected,probe_method,selected_pre_probe_MeV,selected_post_probe_MeV,detected_geant4_edge_midpoint_MeV,pre_probe_offset_from_nist_eV,post_probe_offset_from_nist_eV
EDGE_03_0.0010721MeV,0.0010721,0.001055594,0.0011219285,403,0.031596370407365626,1.0321008347809981,1.002,True,adaptive_geant4_discontinuity_bracket,0.0010748269328358,0.0010750748358208,0.0010749508843283001,2.7269328357999116,2.97483582079993
EDGE_05_0.001305MeV,0.001305,0.0012500235,0.0013702499999999,403,0.0029913127968779207,1.002995791237361,1.002,True,adaptive_geant4_discontinuity_bracket,0.001307921641791,0.0013082462686567,0.00130808395522385,2.921641791000032,3.2462686567001198
EDGE_07_0.0015596MeV,0.0015596,0.00153278,0.0016198549999999,403,0.06649685503505864,1.0687576028646961,1.002,True,adaptive_geant4_discontinuity_bracket,0.0015637968656716,0.001564096641791,0.0015639467537313001,4.196865671600089,4.496641791000003
EDGE_09_0.0018389MeV,0.0018389,0.00177347,0.001911395,403,0.7929518374107163,2.2099101031855604,1.002,True,adaptive_geant4_discontinuity_bracket,0.001843949402985,0.0018443100746268,0.0018441297388059,5.049402984999996,5.410074626799929
EDGE_12_0.0036074MeV,0.0036074,0.00342703,0.00378407,403,0.03646460915621663,1.037137598193509,1.002,True,adaptive_geant4_discontinuity_bracket,0.0036091579104477,0.0036100368656716,0.00360959738805965,1.7579104476996705,2.6368656715998124
EDGE_14_0.0040381MeV,0.0040381,0.004020955,0.0042400049999999,403,0.16661698437598904,1.1813017216321884,1.002,True,adaptive_geant4_discontinuity_bracket,0.0040401090049751,0.0040411135074626,0.00404061125621885,2.009004975100058,3.013507462600214
EDGE_17_0.007112MeV,0.007112,0.0067564,0.0074676,403,0.042353112688472194,1.0432628030501123,1.002,True,adaptive_geant4_discontinuity_bracket,0.0071155383084577,0.0071173074626865,0.0071164228855721,3.5383084576994657,5.3074626864997585
