sample_id,energy_eV,transmission,transmission_uncertainty,Sigma_R_cm_inv,Sigma_R_uncertainty_cm_inv,thickness_cm,thickness_uncertainty_cm,source,evidence_type,finite_flag,transmission_0_to_1_flag,published_energy_range_flag,run_spec,Q_uAh,mass_g,area_cm2,areal_density_g_cm2,qc_finite,qc_published_energy_range,qc_positive_transmission,qc_transmission_le_1,qc_nonnegative_sigma,qc_primary_physics,qc_reason
V,0.0023045130223767678,2.526391331874525,0.1554970024519412,-0.9086195426418837,0.07500006421219316,1.02,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42877-42887,1980,60.26,24.75,2.43,True,True,True,False,False,False,T>1;Sigma_R<0;
T,2.6447485070157586,1.0138853779738333,0.08535755132136616,-0.012536235732737645,0.07653717700441516,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42876,177,70.08,24.88,2.82,True,True,True,False,False,False,T>1;Sigma_R<0;
T,34.336785961208534,1.0149278458312871,0.07712129610882326,-0.013470474650855453,0.0690817810548399,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42876,177,70.08,24.88,2.82,True,True,True,False,False,False,T>1;Sigma_R<0;
T,41.88757104717128,1.0164214202406099,0.07991916690850115,-0.014807315326089265,0.07148315393774464,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42876,177,70.08,24.88,2.82,True,True,True,False,False,False,T>1;Sigma_R<0;
T,45.82504171059457,1.0030518350092403,0.07943260503307298,-0.002770170557970189,0.0719918622883767,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42876,177,70.08,24.88,2.82,True,True,True,False,False,False,T>1;Sigma_R<0;
S,2.375331524820957,1.015440982113413,0.0854883785449555,-0.013929984797698506,0.07653755237349508,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42875,180,71.56,25.0,2.86,True,True,True,False,False,False,T>1;Sigma_R<0;
S,2.6465187135798893,1.0166047973533716,0.08393647579541397,-0.014971313670189735,0.07506262347660113,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42875,180,71.56,25.0,2.86,True,True,True,False,False,False,T>1;Sigma_R<0;
S,130.42019870968176,1.0236244522785554,0.07549878651169713,-0.021227012298087836,0.06705815411873761,1.1,0.05,ISIS_RB2000164,EXPERIMENTAL_DERIVED,True,False,True,42875,180,71.56,25.0,2.86,True,True,True,False,False,False,T>1;Sigma_R<0;
