source_file,extension,size_bytes,run_number,title,sample_name,start_time,end_time,proton_charge,good_frames
2000164/VESUVIO00042879.nxs,.nxs,15671974,42879,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-14T22:27:58,2020-10-14T23:29:20,[30.02325  29.980026 30.002611 30.00465  29.992935 30.068153],132864.0
2000164/VESUVIO00042877.log,.log,18391,42877,,,,,,
2000164/VESUVIO00042763_ICPdebug.txt,.txt,54488,42763,,,,,,
2000164/VESUVIO00042875_ICPalarm.txt,.txt,0,42875,,,,,,
2000164/VESUVIO00042767_ICPevent.txt,.txt,3401,42767,,,,,,
2000164/VESUVIO00042873.raw,.raw,12769280,42873,,,,,,
2000164/VESUVIO00042772.nxs,.nxs,15707987,42772,concrete 2.92g/cm3 1.10x4.95x4.95cm3 70.5g in Empty tank,,2020-10-06T19:45:56,2020-10-06T20:47:20,[30.011124 29.995064 30.011503 30.00436  29.998936 30.047676],132559.0
2000164/VESUVIO00042773_ICPdebug.txt,.txt,34632,42773,,,,,,
2000164/VESUVIO00042884_ICPalarm.txt,.txt,0,42884,,,,,,
2000164/VESUVIO00042880_ICPdebug.txt,.txt,34797,42880,,,,,,
2000164/VESUVIO00042871_ICPevent.txt,.txt,1826,42871,,,,,,
2000164/VESUVIO00042869_ICPputlog.txt,.txt,18446,42869,,,,,,
2000164/VESUVIO00042873.nxs,.nxs,15781682,42873,concrete 3.04g/cm3 1.15x24.86cm3 73.95g in tank,,2020-10-14T12:46:22,2020-10-14T13:47:41,[30.017876 30.000675 29.99756  30.001598 30.010025 30.041039],132823.0
2000164/VESUVIO00042874.nxs,.nxs,15739894,42874,concrete 3.04g/cm3 1.15x24.86cm3 73.95g in tank,,2020-10-14T13:47:51,2020-10-14T14:49:17,[30.01379  30.006012 30.001696 30.007866 29.999165 30.032188],132955.0
2000164/VESUVIO00042765_ICPdebug.txt,.txt,34806,42765,,,,,,
2000164/VESUVIO00042765.nxs,.nxs,16093119,42765,concrete 2.36g/cm3 1.05x5.0x5.0cm3 58.9g in Empty tank,,2020-10-06T11:50:37,2020-10-06T12:51:58,[30.012102 29.98511  30.011799 30.000854 29.994308 30.064125],132612.0
2000164/VESUVIO00042766_ICPevent.txt,.txt,3401,42766,,,,,,
2000164/VESUVIO00042885.log,.log,9503,42885,,,,,,
2000164/VESUVIO00042763.raw,.raw,13539840,42763,,,,,,
2000164/VESUVIO00042768_ICPdebug.txt,.txt,34650,42768,,,,,,
2000164/VESUVIO00042772_ICPdebug.txt,.txt,34709,42772,,,,,,
2000164/VESUVIO00042884.raw,.raw,12660736,42884,,,,,,
2000164/VESUVIO00042766.nxs,.nxs,15816409,42766,concrete 3.16g/cm3 1.20x5.0x5.0cm3 74.8g in Empty tank,,2020-10-06T13:05:19,2020-10-06T14:07:05,[30.018017 30.004364 29.993765 29.998787 29.99392  30.05606 ],132724.0
2000164/VESUVIO00042871_ICPputlog.txt,.txt,9401,42871,,,,,,
2000164/VESUVIO00042759.raw,.raw,14825984,42759,,,,,,
2000164/VESUVIO00042767.raw,.raw,12764160,42767,,,,,,
2000164/VESUVIO00042764_ICPdebug.txt,.txt,34698,42764,,,,,,
2000164/VESUVIO00042882.log,.log,9656,42882,,,,,,
2000164/VESUVIO00042877_ICPevent.txt,.txt,3398,42877,,,,,,
2000164/VESUVIO00042773_ICPalarm.txt,.txt,0,42773,,,,,,
2000164/VESUVIO00042758_ICPalarm.txt,.txt,0,42758,,,,,,
2000164/VESUVIO00042886_ICPputlog.txt,.txt,18449,42886,,,,,,
2000164/VESUVIO00042878_ICPalarm.txt,.txt,0,42878,,,,,,
2000164/VESUVIO00042884.log,.log,9451,42884,,,,,,
2000164/VESUVIO00042759_ICPdebug.txt,.txt,74826,42759,,,,,,
2000164/VESUVIO00042875.raw,.raw,12743168,42875,,,,,,
