sample_id,rows_published_range,rows_physics_ready,rows_excluded,fraction_physics_ready,T_min_valid,T_max_valid,Sigma_R_min_valid_cm_inv,Sigma_R_max_valid_cm_inv,T_gt_1_count,T_le_0_count,negative_sigma_count
A,9208,9208,0,1.0,0.131113961207746,0.9582470432687705,0.040618724075526726,1.9349413343521256,0,0,0
B,9208,9208,0,1.0,0.20973707751765727,0.9381127089542801,0.05323764866210878,1.3015837870891274,0,0,0
C,9208,9208,0,1.0,0.18396141902463803,0.9495488865129315,0.04501588127798789,1.4721993239763784,0,0,0
D,9208,9208,0,1.0,0.24402513650040583,0.9482668750305079,0.04829027509037551,1.2822582186824403,0,0,0
R,9208,9208,0,1.0,0.1985779339044096,0.9810869580146488,0.016603635763909292,1.4057162102431684,0,0,0
S,9208,9205,3,0.9996741963509991,0.15713605380828605,0.988911634375874,0.010136636189446158,1.682402967395881,3,0,3
T,9208,9204,4,0.9995655951346655,0.07656776079844134,0.9925494128044473,0.00679861950829898,2.335981061940224,4,0,4
U,9208,9208,0,1.0,0.18291630178535295,0.9576555292331883,0.037623598694406735,1.4771535635288628,0,0,0
V,9208,9207,1,0.9998913987836664,0.30497715403536807,0.9755882081131168,0.024230097567001205,1.1642337352767669,1,0,1
