reaction,rows
"75-RE-0(G,2N),,SIG",30
"28-NI-61(G,N)28-NI-60,,SIG",29
"60-ND-150(G,2N)60-ND-148,,SIG",29
"93-NP-237(G,2N)93-NP-235,,SIG",29
"62-SM-144(G,2N)62-SM-142,,SIG",29
"49-IN-115(G,2N)49-IN-113,,SIG",29
"10-NE-0(G,2N),,SIG",29
"34-SE-76(G,2N)34-SE-74,,SIG",29
"76-OS-186(G,2N)76-OS-184,,SIG",29
"92-U-234(G,F),,SIG",29
"8-O-18(G,T)7-N-15,PAR,SIG,,BRS",29
"16-S-34(G,ABS),,SIG,,BRS",29
"77-IR-0(G,2N),,SIG",29
"14-SI-29(G,N)14-SI-28,,SIG",29
"62-SM-154(G,2N)62-SM-152,,SIG",28
"82-PB-0(G,X)0-NN-1,,SIG",28
"52-TE-128(G,EL)52-TE-128,,SIG",28
"80-HG-0(G,2N),,SIG",28
"74-W-183(G,N)74-W-182,,SIG",27
"73-TA-181(G,3N)73-TA-178,,SIG",27
"64-GD-160(G,3N)64-GD-157,,SIG",27
"50-SN-124(G,2N)50-SN-122,,SIG",27
"76-OS-192(G,3N)76-OS-189,,SIG",27
"92-U-234(G,X)0-NN-1,,SIG",27
"58-CE-0(G,ABS),,SIG",27
"73-TA-0(G,ABS),,SIG",27
"6-C-12(G,N+A)4-BE-7,,SIG,,BRS",27
"26-FE-0(G,ABS),,SIG,,BRS",27
"53-I-129(G,N)53-I-128,,SIG,,BRS",27
"46-PD-105(G,N)46-PD-104,,SIG",26
"74-W-186(G,3N)74-W-183,,SIG",26
"50-SN-124(G,3N)50-SN-121,,SIG",26
"60-ND-145(G,2N)60-ND-143,,SIG",26
"40-ZR-90(G,P)39-Y-89-M,,SIG,,BRS",26
"42-MO-94(G,N)42-MO-93,,SIG",25
"67-HO-165(G,3N)67-HO-162,,SIG",25
"94-PU-239(G,X)0-NN-1,,SIG,,BRS",25
"42-MO-96(G,EL)42-MO-96,,SIG",25
"83-BI-209(G,F),,SIG",25
"32-GE-72(G,X)31-GA-70,,SIG,,BRS",25
"52-TE-120(G,N)52-TE-119,,SIG,,BRS",24
"34-SE-80(G,N)34-SE-79,,SIG",24
"40-ZR-91(G,N)40-ZR-90,,SIG",24
"40-ZR-96(G,N)40-ZR-95,,SIG",24
"74-W-184(G,N)74-W-183,,SIG",24
"68-ER-0(G,3N),,SIG",24
"42-MO-94(G,EL)42-MO-94,,SIG",24
"20-CA-48(G,N)20-CA-47,,SIG",24
"36-KR-86(G,N)36-KR-85,,SIG",24
"3-LI-6(G,T)2-HE-3,,SIG,,BRS",24
"32-GE-70(G,X)31-GA-68,,SIG,,BRS",24
"40-ZR-90(G,P)39-Y-89,,SIG,,BRS",24
"78-PT-0(G,2N),,SIG",24
"74-W-0(G,X)74-W-185-M,,SIG,,BRS",24
"82-PB-207(G,N)82-PB-206-L,,SIG,,BRS",23
"79-AU-197(G,3N)79-AU-194,,SIG",23
"62-SM-148(G,2N)62-SM-146,,SIG",23
"46-PD-0(G,2N),,SIG",23
"42-MO-98(G,EL)42-MO-98,,SIG",23
"52-TE-130(G,EL)52-TE-130,,SIG",23
"6-C-12(G,N+P)5-B-10,,SIG,,BRS",23
"6-C-12(G,N+P+A)3-LI-6,,SIG",23
"88-RA-226(G,F),,SIG,,BRS",23
"8-O-18(G,D)7-N-16,PAR,SIG,,BRS",23
"2-HE-4(G,N+P)1-H-2,,SIG",23
"47-AG-107(G,INL)47-AG-107-M,,SIG,,BRS",23
"42-MO-92(G,N)42-MO-91,,SIG,,BRS",22
"56-BA-137(G,N)56-BA-136,,SIG",22
"60-ND-143(G,2N)60-ND-141,,SIG",22
"76-OS-190(G,3N)76-OS-187,,SIG",22
"95-AM-241(G,N)95-AM-240,,SIG",22
"9-F-19(G,A)7-N-15,,SIG",22
"16-S-0(G,X)0-NN-1,,SIG,,BRS",22
"14-SI-28(G,P)13-AL-27,PAR,SIG,,BRS",22
"45-RH-103(G,N)45-RH-102,,SIG",21
"83-BI-209(G,N)83-BI-208-L,,SIG,,BRS",21
"39-Y-89(G,N)39-Y-88-L,,SIG,,BRS",21
"62-SM-0(G,3N),,SIG",21
"76-OS-188(G,3N)76-OS-185,,SIG",21
"42-MO-100(G,EL)42-MO-100,,SIG",21
"79-AU-197(G,N)79-AU-196-G+M1,,SIG,,AV",21
"79-AU-197(G,N)79-AU-196-M2,,SIG,,AV",21
"8-O-16(G,N)8-O-15,PAR,SIG,,BRS",21
"8-O-20(G,X)0-NN-1,,SIG,,SPA",21
"34-SE-82(G,N)34-SE-81-M,,SIG,,BRS",21
"7-N-15(G,P)6-C-14,,SIG,,BRS",21
"48-CD-0(G,X)0-NN-1,,SIG,,BRS",21
"8-O-16(G,3A)2-HE-4,,SIG",21
"78-PT-196(G,EL)78-PT-196,,SIG",20
"50-SN-116(G,N)50-SN-115,,SIG",20
"50-SN-117(G,N)50-SN-116,,SIG,,AV",20
"46-PD-108(G,N)46-PD-107,,SIG",20
"74-W-182(G,N)74-W-181,,SIG",20
"92-U-235(G,2N)92-U-233,,SIG",20
"92-U-0(G,ABS),,SIG",20
"38-SR-87(G,INL)38-SR-87-M,,SIG,,BRS",20
"34-SE-78(G,N)34-SE-77-M,,SIG,,BRS",20
"34-SE-80(G,N)34-SE-79-M,,SIG,,BRS",20
"81-TL-0(G,X)0-NN-1,,SIG,,BRS",20
"30-ZN-67(G,P)29-CU-66,,SIG,,BRS",20
"83-BI-209(G,N)83-BI-208,PAR,SIG",19
"47-AG-107(G,N)47-AG-106,,SIG,,BRS",19
"34-SE-77(G,N)34-SE-76,,SIG",19
"40-ZR-94(G,3N)40-ZR-91,,SIG",19
"45-RH-103(G,P)44-RU-102,,SIG,,BRS",19
"2-HE-4(G,2N+P)1-H-1,,SIG",19
"32-GE-76(G,X)31-GA-74,,SIG,,BRS",19
"73-TA-181(G,N)73-TA-180,,SIG",19
"74-W-0(G,X)73-TA-185,,SIG,,BRS",19
"82-PB-208(G,EL)82-PB-208,,SIG,,AV",18
"40-ZR-94(G,N)40-ZR-93,,SIG",18
"46-PD-106(G,N)46-PD-105,,SIG",18
"34-SE-78(G,N)34-SE-77,,SIG",18
"28-NI-58(G,N)28-NI-57,,SIG",18
"28-NI-60(G,N)28-NI-59,,SIG",18
"42-MO-100(G,3N)42-MO-97,,SIG",18
"9-F-19(G,N)9-F-18,,SIG",18
"92-U-236(G,2N)92-U-234,,SIG",18
"6-C-13(G,N)6-C-12,,SIG,,BRS",18
"37-RB-87(G,EL)37-RB-87,,SIG",18
"89-AC-227(G,F),,SIG,,BRS",18
"16-S-34(G,P)15-P-33,,SIG,,BRS",18
"12-MG-0(G,X)1-H-1,,SIG,,BRS",18
"16-S-0(G,X)1-H-1,,SIG,,BRS",18
"22-TI-46(G,X)21-SC-44-G,,SIG,,BRS",18
"74-W-0(G,X)73-TA-183,,SIG,,BRS",18
"80-HG-0(G,X)79-AU-200-G,(M),SIG,,BRS",18
"62-SM-149(G,N)62-SM-148,,SIG",17
"60-ND-143(G,N)60-ND-142,,SIG",17
"60-ND-145(G,N)60-ND-144,,SIG",17
"28-NI-64(G,N)28-NI-63,,SIG",17
"50-SN-117(G,2N)50-SN-115,,SIG",17
"56-BA-138(G,EL)56-BA-138,,SIG",17
"56-BA-138(G,INL)56-BA-138,,SIG",17
"79-AU-197(G,F),,SIG",17
"26-FE-54(G,P)25-MN-53,,SIG,,BRS",17
"26-FE-54(G,ABS),,SIG,,BRS",17
"35-BR-79(G,INL)35-BR-79-M,,SIG,,BRS",17
"56-BA-137(G,INL)56-BA-137-M,,SIG,,BRS",17
"27-CO-59(G,2N)27-CO-57,,SIG,,BRS",17
"15-P-31(G,X)1-H-1,,SIG,,BRS",17
"78-PT-198(G,N)78-PT-197-M,,SIG,,BRS",17
"65-TB-159(G,N)65-TB-158,,SIG",16
"62-SM-147(G,N)62-SM-146,,SIG",16
"59-PR-141(G,3N)59-PR-138,,SIG",16
"65-TB-159(G,3N)65-TB-156,,SIG",16
"63-EU-153(G,3N)63-EU-150,,SIG",16
"50-SN-117(G,3N)50-SN-114,,SIG",16
"16-S-32(G,N+P)15-P-30,,SIG",16
"3-LI-6(G,N)3-LI-5,PAR,SIG",16
"30-ZN-66(G,X)29-CU-64,,SIG,,BRS",16
"34-SE-77(G,INL)34-SE-77-M,,SIG,,BRS",16
"8-O-16(G,3A)2-HE-4,,SIG,,BRS",16
"12-MG-25(G,X)0-NN-1,,SIG,,BRS",16
"9-F-19(G,X)1-H-1,,SIG,,BRS",16
"9-F-19(G,ABS),,SIG,,BRS",16
"40-ZR-92(G,N)40-ZR-91,,SIG",15
"60-ND-142(G,N)60-ND-141,,SIG",15
"42-MO-95(G,N)42-MO-94,,SIG",15
"66-DY-163(G,N)66-DY-162,,SIG",15
"56-BA-138(G,N)56-BA-137,,SIG",15
"50-SN-120(G,3N)50-SN-117,,SIG",15
"8-O-16(G,N+P)7-N-14,,SIG",15
"15-P-31(G,N+P)14-SI-29,,SIG",15
"23-V-51(G,2N)23-V-49,,SIG",15
"62-SM-154(G,F),,SIG,,BRS",15
"1-H-3(G,N)1-H-2,,SIG,,BRS",15
"32-GE-76(G,N)32-GE-75,,SIG,,BRS",15
"32-GE-76(G,2N)32-GE-74,,SIG,,BRS",15
"32-GE-72(G,2N)32-GE-70,,SIG,,BRS",15
"80-HG-198(G,N)80-HG-197-M,,SIG,,BRS",15
"74-W-186(G,N)74-W-185,,SIG",15
"49-IN-113(G,INL)49-IN-113-M,,SIG,,BRS",15
"40-ZR-92(G,X)0-NN-1,,SIG,,BRS",15
"49-IN-115(G,N)49-IN-114-L,,SIG,,BRS",14
"50-SN-116(G,N)50-SN-115-L,,SIG,,BRS",14
"82-PB-0(G,N),,SIG,,BRS",14
"50-SN-119(G,N)50-SN-118,,SIG",14
"82-PB-207(G,N)82-PB-206,,SIG",14
"81-TL-205(G,N)81-TL-204,,SIG",14
"42-MO-98(G,3N)42-MO-95,,SIG",14
"24-CR-50(G,N)24-CR-49,,SIG",14
"6-C-13(G,X)0-NN-1,,SIG,,BRS",14
"12-MG-26(G,N)12-MG-25,,SIG",14
"12-MG-0(G,N),,SIG",14
"6-C-12(G,P)5-B-11,,SIG",14
"56-BA-138(G,N)56-BA-137-M,,SIG,,BRS",14
"28-NI-0(G,2N),,SIG,,BRS",14
"75-RE-187(G,N)75-RE-186,,SIG",14
"38-SR-87(G,X)0-NN-1,,SIG,,BRS",14
"29-CU-63(G,2N)29-CU-61,,SIG,,BRS",13
"47-AG-107(G,N)47-AG-106-G,,SIG,,BRS",13
"42-MO-97(G,N)42-MO-96,,SIG",13
"60-ND-144(G,N)60-ND-143,,SIG",13
"60-ND-146(G,N)60-ND-145,,SIG",13
"60-ND-148(G,N)60-ND-147,,SIG",13
"81-TL-203(G,N)81-TL-202,,SIG",13
"49-IN-115(G,3N)49-IN-112,,SIG",13
"56-BA-138(G,3N)56-BA-135,,SIG",13
"49-IN-115(G,INL)49-IN-115-M,,SIG",13
"30-ZN-64(G,N)30-ZN-63,,SIG,,BRS",13
"30-ZN-64(G,X)29-CU-62,,SIG,,BRS",13
"32-GE-74(G,N)32-GE-73,,SIG,,BRS",13
"56-BA-0(G,X)56-BA-137-M,,SIG,,BRS",13
"14-SI-28(G,A)12-MG-24,PAR,SIG,,BRS",13
"56-BA-130(G,N)56-BA-129-M,,SIG,,BRS",12
"56-BA-132(G,N)56-BA-131-M,,SIG,,BRS",12
"56-BA-136(G,N)56-BA-135-M,,SIG,,BRS",12
"47-AG-109(G,N)47-AG-108-G,,SIG,,BRS",12
"34-SE-76(G,N)34-SE-75,,SIG",12
"50-SN-124(G,N)50-SN-123,,SIG",12
"42-MO-100(G,N)42-MO-99,,SIG",12
"62-SM-148(G,N)62-SM-147,,SIG",12
"62-SM-150(G,N)62-SM-149,,SIG",12
"62-SM-154(G,N)62-SM-153,,SIG",12
"66-DY-162(G,N)66-DY-161,,SIG",12
"58-CE-0(G,3N),,SIG",12
"60-ND-142(G,2N)60-ND-140,,SIG",12
"3-LI-7(G,N)3-LI-6,PAR,SIG",12
"3-LI-6(G,N)3-LI-5,,SIG",12
"3-LI-6(G,NON),,SIG",12
"58-CE-140(G,EL)58-CE-140,,SIG",12
"30-ZN-0(G,P),,SIG",12
"30-ZN-0(G,A),,SIG",12
"32-GE-72(G,N)32-GE-71,,SIG,,BRS",12
"32-GE-74(G,2N)32-GE-72,,SIG,,BRS",12
"60-ND-142(G,N)60-ND-141-M,,SIG,,BRS",12
"62-SM-144(G,N)62-SM-143-M,,SIG,,BRS",12
"56-BA-0(G,X)56-BA-129-M,,SIG,,BRS",12
"56-BA-0(G,X)56-BA-131-M,,SIG,,BRS",12
"56-BA-0(G,X)56-BA-133-M,,SIG,,BRS",12
"56-BA-0(G,X)56-BA-135-M,,SIG,,BRS",12
"80-HG-199(G,INL)80-HG-199-M,,SIG,,BRS",12
"57-LA-139(G,N)57-LA-138,,SIG",12
"6-C-12(G,2N)6-C-10,,SIG,,BRS",12
"8-O-16(G,2N)8-O-14,,SIG,,BRS",12
"38-SR-86(G,X)0-NN-1,,SIG,,BRS",12
"38-SR-88(G,X)0-NN-1,,SIG,,BRS",12
"81-TL-203(G,N)81-TL-202-L,,SIG,,BRS",11
"50-SN-122(G,N)50-SN-121,,SIG",11
"82-PB-206(G,N)82-PB-205,,SIG",11
"57-LA-139(G,3N)57-LA-136,,SIG",11
"53-I-127(G,3N)53-I-124,,SIG",11
"40-ZR-0(G,2N),,SIG",11
"52-TE-130(G,INL)52-TE-130,,SIG",11
"8-O-16(G,A)6-C-12,PAR,SIG",11
"32-GE-70(G,N)32-GE-69,,SIG,,BRS",11
"8-O-22(G,X)0-NN-1,,SIG,,SPA",11
"76-OS-188(G,N)76-OS-187,,SIG",11
"78-PT-195(G,INL)78-PT-195-M,,SIG,,BRS",11
"40-ZR-90(G,2N)40-ZR-88,,SIG,,BRS",11
"39-Y-89(G,P)38-SR-88,,SIG",11
"8-O-16(G,X)0-NN-1,,SIG,,BRS",11
"50-SN-112(G,N)50-SN-111,,SIG,,BRS",11
"50-SN-124(G,N)50-SN-123-M,,SIG,,BRS",11
"13-AL-27(G,X)11-NA-24,,SIG,,BRS",11
"27-CO-59(G,X)25-MN-56,,SIG,,BRS",11
"2-HE-4(G,P)1-H-3,,SIG,,AV",11
"2-HE-4(G,N)2-HE-3,,SIG,,AV",11
"50-SN-120(G,P)49-IN-119-M,,SIG,,BRS",11
"35-BR-79(G,N)35-BR-78-L,,SIG,,BRS",10
"35-BR-81(G,N)35-BR-80-M,,SIG,,BRS",10
"50-SN-116(G,N)50-SN-115,,SIG,,AV",10
"50-SN-120(G,N)50-SN-119,,SIG",10
"42-MO-98(G,N)42-MO-97,,SIG",10
"25-MN-55(G,3N)25-MN-52,,SIG",10
"27-CO-59(G,3N)27-CO-56,,SIG",10
"19-K-0(G,N+P),,SIG",10
"94-PU-239(G,2N)94-PU-237,,SIG",10
"54-XE-128(G,EL)54-XE-128,,SIG,,AV",10
"54-XE-134(G,EL)54-XE-134,,SIG,,AV",10
"3-LI-6(G,P+D)1-H-3,,SIG",10
"28-NI-58(G,N)28-NI-57,,SIG,,BRS",10
"73-TA-181(G,N)73-TA-180-G,,SIG,,BRS",10
"32-GE-70(G,2N)32-GE-68,,SIG,,BRS",10
"48-CD-111(G,INL)48-CD-111-M,,SIG,,BRS",10
"67-HO-165(G,2N)67-HO-163,,SIG",10
"51-SB-121(G,N)51-SB-120-G,,SIG,,BRS",9
"40-ZR-90(G,N)40-ZR-89,,SIG",9
"73-TA-180-M(G,INL)73-TA-180-G,,SIG",9
"3-LI-6(G,P+D)1-H-3,,SIG,,BRS",9
"51-SB-121(G,N)51-SB-120,,SIG,,BRS",9
"51-SB-123(G,N)51-SB-122,,SIG,,BRS",9
"3-LI-7(G,P+T)1-H-3,,SIG,,BRS",9
"92-U-233(G,ABS),,SIG",9
"92-U-233(G,N)92-U-232,,SIG",9
"94-PU-239(G,ABS),,SIG",9
"79-AU-197(G,N)79-AU-196,,SIG,,BRS",9
"40-ZR-90(G,X)39-Y-88,,SIG,,BRS",9
"20-CA-40(G,X)0-NN-1,,SIG,,BRS",9
"92-U-238(G,F)41-NB-97,,SIG,,BRS",9
"92-U-238(G,F)40-ZR-97,,SIG,,BRS",9
"92-U-238(G,F)53-I-135,,SIG,,BRS",9
"92-U-238(G,F)38-SR-92,,SIG,,BRS",9
"82-PB-207(G,N)82-PB-206,PAR,SIG",8
"1-H-1(G,EL)1-H-1,,SIG",8
"1-H-1(G,TOT),,SIG",8
"50-SN-118(G,N)50-SN-117,,SIG",8
"32-GE-74(G,N)32-GE-73,,SIG",8
"55-CS-133(G,3N)55-CS-130,,SIG",8
"71-LU-175(G,3N)71-LU-172,,SIG",8
"50-SN-118(G,3N)50-SN-115,,SIG",8
"15-P-31(G,2N)15-P-29,,SIG",8
"79-AU-197(G,3N)79-AU-194,,SIG,,AV",8
"95-AM-241(G,N)95-AM-240-L,,SIG,,BRS",8
"95-AM-243(G,N)95-AM-242-L,,SIG,,BRS",8
"16-S-32(G,X)15-P-30,,SIG,,BRS",8
"21-SC-45(G,N)21-SC-44-M,,SIG,,BRS",8
"42-MO-96(G,N)42-MO-95,,SIG",7
"58-CE-142(G,N)58-CE-141,,SIG",7
"3-LI-6(G,P)2-HE-5,PAR,SIG",7
"92-U-0(G,F),,SIG,,BRS",7
"82-PB-206(G,N)82-PB-205,PAR,SIG",7
"12-MG-24(G,X)0-NN-1,,SIG,,BRS",7
"15-P-31(G,X)11-NA-24,,SIG,,BRS",7
"81-TL-0(G,F),,SIG,,BRS",7
"6-C-12(G,X)4-BE-7,,SIG,,BRS",6
"29-CU-0(G,TOT),,SIG",6
"62-SM-144(G,N)62-SM-143,,SIG",6
"42-MO-96(G,3N)42-MO-93,,SIG",6
"82-PB-0(G,2N),,SIG",6
"62-SM-154(G,EL)62-SM-154,,SIG",6
"16-S-34(G,N+P)15-P-32,,SIG,,BRS",6
"73-TA-181(G,N)73-TA-180-G,,SIG",6
"73-TA-181(G,N)73-TA-180-M,,SIG",6
"63-EU-153(G,N)63-EU-152-M2,,SIG,,BRS",6
"7-N-14(G,X)4-BE-7,,SIG,,BRS",5
"79-AU-197(G,2N)79-AU-195,,SIG",5
"40-ZR-0(G,F)ELEM/MASS,CUM,SIG",5
"30-ZN-68(G,P)29-CU-67,,SIG,,BRS",5
"50-SN-120(G,X)49-IN-118-M1+M2,,SIG,,BRS",5
"1-H-2(G,X)0-NN-1,,SIG",4
"36-KR-86(G,N)36-KR-85-M,,SIG",4
"73-TA-181(G,F),,SIG",4
"74-W-0(G,F),,SIG",4
"78-PT-0(G,F),,SIG",4
"3-LI-7(G,P+T)1-H-3,,SIG",4
"29-CU-63(G,2P)27-CO-61,,SIG,,BRS",3
"4-BE-9(G,N)4-BE-8,PAR,SIG",3
"29-CU-63(G,2N)29-CU-61,,SIG",3
"53-I-127(G,2N)53-I-125,,SIG",3
"3-LI-7(G,P)2-HE-6,,SIG",3
"23-V-51(G,F),,SIG",3
"22-TI-0(G,F),,SIG",3
"8-O-16(G,P)7-N-15,,SIG,,BRS",3
"1-H-2(G,N)1-H-1,,SIG,,AV",3
"65-TB-159(G,N)65-TB-158,PAR,SIG",3
"73-TA-181(G,X)72-HF-178-M2,,SIG,,BRS",2
"8-O-16(G,X)4-BE-7,,SIG,,BRS",2
"16-S-32(G,2N)16-S-30,,SIG",2
"26-FE-0(G,X)0-NN-1,,SIG,,SPA",2
"27-CO-59(G,X)0-NN-1,,SIG,,SPA",2
"28-NI-0(G,X)0-NN-1,,SIG,,SPA",2
"29-CU-0(G,X)0-NN-1,,SIG,,SPA",2
"30-ZN-0(G,X)0-NN-1,,SIG,,SPA",2
"47-AG-0(G,X)0-NN-1,,SIG,,SPA",2
"50-SN-0(G,X)0-NN-1,,SIG,,SPA",2
"73-TA-0(G,X)0-NN-1,,SIG,,SPA",2
"74-W-0(G,X)0-NN-1,,SIG,,SPA",2
"79-AU-197(G,X)0-NN-1,,SIG,,SPA",2
"80-HG-0(G,X)0-NN-1,,SIG,,SPA",2
"82-PB-0(G,X)0-NN-1,,SIG,,SPA",2
"83-BI-209(G,X)0-NN-1,,SIG,,SPA",2
"92-U-238(G,ABS),,SIG",2
"22-TI-0(G,ABS),,SIG",2
"23-V-51(G,ABS),,SIG",2
"74-W-0(G,ABS),,SIG",2
"78-PT-0(G,ABS),,SIG",2
"79-AU-197(G,ABS),,SIG",2
"83-BI-209(G,ABS),,SIG",2
"73-TA-181(G,X)72-HF-172,,SIG,,BRS",1
"73-TA-181(G,X)63-EU-150,,SIG,,BRS",1
"73-TA-181(G,X)56-BA-133,,SIG,,BRS",1
"4-BE-9(G,N+A)2-HE-4,,SIG",1
"8-O-16(G,N)8-O-15,,SIG",1
"26-FE-54(G,N)26-FE-53,,SIG",1
"42-MO-92(G,N)42-MO-91,PAR,SIG",1
"51-SB-121(G,N)51-SB-120,PAR,SIG",1
"48-CD-112(G,EL)48-CD-112,,SIG",1
"28-NI-62(G,EL)28-NI-62,,SIG",1
"90-TH-232(G,F)11-NA-24,,SIG,,BRS",1
"47-AG-109(G,N)47-AG-108,,SIG",1
"13-AL-27(G,F),,SIG",1
