reaction,rows
"94-PU-239(G,F),,SIG,,BRS",142
"2-HE-3(G,P)1-H-2,,SIG",141
"28-NI-60(G,X)0-NN-1,,SIG",141
"92-U-236(G,F),,SIG,,BRS",141
"92-U-234(G,F),,SIG,,BRS",139
"50-SN-124(G,X)0-NN-1,,SIG",138
"79-AU-197(G,X)0-NN-1,,SIG",137
"49-IN-115(G,X)0-NN-1,,SIG",137
"4-BE-9(G,N)4-BE-8,,SIG",137
"40-ZR-90(G,P)39-Y-89,PAR,SIG,,BRS",132
"92-U-238(G,X)0-NN-1,,SIG",130
"68-ER-166(G,X)0-NN-1,,SIG,,BRS",130
"29-CU-63(G,N)29-CU-62,,SIG",129
"12-MG-26(G,X)0-NN-1,,SIG",129
"29-CU-0(G,X)29-CU-62,,SIG,,BRS",129
"2-HE-3(G,N+P)1-H-1,,SIG",127
"92-U-235(G,F),,SIG,,BRS",127
"83-BI-209(G,X)0-NN-1,,SIG",125
"15-P-31(G,X)0-NN-1,,SIG",125
"3-LI-7(G,P)2-HE-6,PAR,SIG,,BRS",125
"33-AS-75(G,X)0-NN-1,,SIG",124
"92-U-233(G,F),,SIG",120
"3-LI-6(G,X)0-NN-1,,SIG",119
"38-SR-0(G,X)0-NN-1,,SIG",119
"1-H-1(G,ABS),,SIG",119
"95-AM-243(G,F),,SIG,,BRS",118
"74-W-184(G,X)0-NN-1,,SIG,,BRS",118
"74-W-186(G,X)0-NN-1,,SIG,,BRS",118
"41-NB-93(G,X)0-NN-1,,SIG",117
"27-CO-59(G,X)0-NN-1,,SIG,,BRS",116
"42-MO-92(G,X)0-NN-1,,SIG",115
"8-O-18(G,P)7-N-17,PAR,SIG,,BRS",114
"82-PB-208(G,N)82-PB-207,,SIG",113
"90-TH-232(G,N)90-TH-231,,SIG",113
"3-LI-6(G,T)2-HE-3,,SIG",113
"14-SI-0(G,TOT),,SIG",113
"30-ZN-0(G,X)30-ZN-63,,SIG,,BRS",113
"12-MG-24(G,N)12-MG-23,,SIG,,BRS",113
"59-PR-141(G,N)59-PR-140,,SIG",110
"94-PU-241(G,F),,SIG,,BRS",110
"92-U-235(G,TOT),,SIG",110
"6-C-13(G,TOT),,SIG",109
"1-H-2(G,N)1-H-1,,SIG",109
"96-CM-245(G,F),,SIG,,BRS",108
"19-K-0(G,X)0-NN-1,,SIG",107
"94-PU-242(G,F),,SIG,,BRS",106
"94-PU-240(G,F),,SIG,,BRS",106
"90-TH-232(G,X)0-NN-1,,SIG",105
"92-U-238(G,2N)92-U-236,,SIG",105
"6-C-14(G,X)0-NN-1,,SIG",105
"12-MG-26(G,P)11-NA-25,,SIG,,BRS",105
"9-F-19(G,X)0-NN-1,,SIG",104
"6-C-12(G,P)5-B-11,,SIG,,BRS",103
"7-N-15(G,X)0-NN-1,,SIG",102
"72-HF-178(G,TOT),,SIG",102
"40-ZR-91(G,X)0-NN-1,,SIG",101
"57-LA-139(G,X)0-NN-1,,SIG",101
"37-RB-0(G,X)0-NN-1,,SIG",101
"40-ZR-90(G,INL)40-ZR-90,,SIG,,BRS",101
"9-F-19(G,X)0-NN-1,,SIG,,BRS",101
"6-C-12(G,P)5-B-11,PAR,SIG",101
"15-P-31(G,N)15-P-30,,SIG,,BRS",100
"83-BI-209(G,N)83-BI-208,,SIG,,BRS",100
"40-ZR-92(G,X)0-NN-1,,SIG",99
"5-B-10(G,X)0-NN-1,,SIG",98
"53-I-127(G,X)0-NN-1,,SIG",96
"73-TA-181(G,TOT),,SIG",96
"79-AU-197(G,TOT),,SIG",96
"4-BE-9(G,P)3-LI-8,,SIG,,BRS",96
"82-PB-207(G,X)0-NN-1,,SIG",95
"8-O-16(G,N)8-O-15,PAR,SIG",95
"82-PB-207(G,N)82-PB-206,,SIG,,BRS",95
"79-AU-197(G,N)79-AU-196,,SIG",94
"94-PU-239(G,TOT),,SIG",94
"28-NI-60(G,2N)28-NI-58,,SIG,,BRS",94
"82-PB-206(G,X)0-NN-1,,SIG",93
"16-S-32(G,X)0-NN-1,,SIG",93
"5-B-11(G,X)0-NN-1,,SIG",93
"40-ZR-94(G,X)0-NN-1,,SIG",92
"19-K-39(G,N)19-K-38-M,,SIG",92
"30-ZN-70(G,N)30-ZN-69,,SIG,,BRS",92
"95-AM-242-M(G,F),,SIG,,BRS",92
"98-CF-249(G,F),,SIG,,BRS",92
"2-HE-3(G,X)0-NN-1,,SIG",91
"40-ZR-91(G,N)40-ZR-90,,SIG,,BRS",91
"58-CE-0(G,X)0-NN-1,,SIG",90
"74-W-182(G,TOT),,SIG",90
"96-CM-243(G,F),,SIG,,BRS",90
"2-HE-4(G,N)2-HE-3,,SIG,,BRS",89
"62-SM-152(G,X)0-NN-1,,SIG",89
"6-C-12(G,X)0-NN-1,,SIG",89
"72-HF-176(G,X)0-NN-1,,SIG,,BRS",89
"72-HF-178(G,N)72-HF-177,,SIG,,BRS",89
"72-HF-180(G,N)72-HF-179,,SIG,,BRS",89
"1-H-2(G,ABS),,SIG",89
"62-SM-150(G,X)0-NN-1,,SIG",88
"72-HF-180(G,X)0-NN-1,,SIG,,BRS",88
"72-HF-176(G,N)72-HF-175,,SIG,,BRS",88
"32-GE-78(G,N)32-GE-77,,SIG,,BRS",88
"90-TH-232(G,TOT),,SIG",88
"82-PB-206(G,N)82-PB-205,,SIG,,BRS",88
"56-BA-0(G,X)0-NN-1,,SIG",87
"34-SE-74(G,N)34-SE-73,,SIG,,BRS",87
"2-HE-4(G,N)2-HE-3,,SIG",86
"30-ZN-67(G,N)30-ZN-66,,SIG,,BRS",86
"97-BK-249(G,F),,SIG,,BRS",86
"82-PB-0(G,ABS),,SIG",85
"34-SE-77(G,N)34-SE-76,,SIG,,BRS",85
"8-O-18(G,X)7-N-16,,SIG",85
"6-C-12(G,2A)2-HE-4,,SIG,,BRS",84
"27-CO-59(G,2N)27-CO-57,,SIG",84
"42-MO-94(G,X)0-NN-1,,SIG",84
"76-OS-188(G,X)0-NN-1,,SIG",84
"45-RH-103(G,X)0-NN-1,,SIG,,BRS",84
"76-OS-190(G,X)0-NN-1,,SIG",83
"6-C-12(G,P)5-B-11,PAR,SIG,,BRS",83
"46-PD-108(G,P)45-RH-107,,SIG,,BRS",83
"92-U-238(G,TOT),,SIG",82
"9-F-19(G,TOT),,SIG",82
"46-PD-110(G,N)46-PD-109-M,,SIG,,BRS",82
"94-PU-238(G,F),,SIG,,BRS",81
"16-S-32(G,X)15-P-30,CUM,SIG,,BRS",81
"12-MG-25(G,X)0-NN-1,,SIG",80
"76-OS-192(G,X)0-NN-1,,SIG",80
"7-N-14(G,ABS),,SIG",80
"28-NI-0(G,X)0-NN-1,,SIG,,BRS",80
"73-TA-181(G,N)73-TA-180,,SIG,,BRS",80
"12-MG-24(G,TOT),,SIG",80
"16-S-32(G,N)16-S-31,,SIG,,BRS",79
"13-AL-27(G,N)13-AL-26-M,,SIG,,BRS",79
"23-V-51(G,X)0-NN-1,,SIG",78
"29-CU-65(G,X)0-NN-1,,SIG",78
"1-H-3(G,N)1-H-2,,SIG",78
"38-SR-88(G,INL)38-SR-88,,SIG,,BRS",78
"72-HF-180(G,TOT),,SIG",78
"3-LI-7(G,P)2-HE-6,,SIG,,BRS",78
"8-O-16(G,P)7-N-15,,SIG",77
"64-GD-160(G,X)0-NN-1,,SIG",77
"76-OS-189(G,X)0-NN-1,,SIG",77
"74-W-186(G,X)0-NN-1,,SIG",76
"9-F-19(G,ABS),,SIG",76
"7-N-15(G,N)7-N-14,PAR,SIG",75
"6-C-13(G,N)6-C-12,PAR,SIG",75
"28-NI-58(G,2N)28-NI-56,,SIG,,BRS",75
"6-C-12(G,A)4-BE-8,PAR,SIG,,BRS",74
"90-TH-232(G,2N)90-TH-230,,SIG",74
"14-SI-30(G,X)0-NN-1,,SIG",74
"49-IN-115(G,2N)49-IN-113-M,,SIG,,BRS",74
"18-AR-40(G,X)0-NN-1,,SIG",72
"60-ND-144(G,X)0-NN-1,,SIG",71
"9-F-19(G,2N)9-F-17,,SIG,,BRS",71
"14-SI-28(G,P)13-AL-27,,SIG",71
"6-C-14(G,N)6-C-13,PAR,SIG",71
"47-AG-107(G,X)0-NN-1,,SIG",70
"42-MO-96(G,X)0-NN-1,,SIG",70
"42-MO-100(G,X)0-NN-1,,SIG",70
"6-C-14(G,2N)6-C-12,,SIG",70
"20-CA-40(G,TOT),,SIG",70
"59-PR-141(G,X)0-NN-1,,SIG",69
"60-ND-148(G,X)0-NN-1,,SIG",69
"42-MO-98(G,X)0-NN-1,,SIG",69
"30-ZN-0(G,X)0-NN-1,,SIG,,BRS",69
"13-AL-27(G,N)13-AL-26,,SIG,,BRS",68
"29-CU-0(G,X)0-NN-1,,SIG",68
"34-SE-80(G,X)0-NN-1,,SIG",68
"5-B-11(G,2N)5-B-9,,SIG",68
"92-U-236(G,F),,SIG",68
"26-FE-54(G,N)26-FE-53,,SIG,,BRS",68
"6-C-12(G,P+A)3-LI-7,,SIG",68
"93-NP-237(G,X)0-NN-1,,SIG",67
"60-ND-142(G,X)0-NN-1,,SIG",67
"3-LI-7(G,X)0-NN-1,,SIG",67
"63-EU-153(G,X)0-NN-1,,SIG",66
"30-ZN-64(G,X)0-NN-1,,SIG",66
"32-GE-76(G,X)0-NN-1,,SIG",66
"8-O-16(G,P)7-N-15,PAR,SIG",66
"46-PD-108(G,ABS),,SIG,,BRS",66
"8-O-18(G,N)8-O-17,PAR,SIG",66
"60-ND-146(G,X)0-NN-1,,SIG",65
"52-TE-124(G,X)0-NN-1,,SIG",65
"52-TE-128(G,X)0-NN-1,,SIG",65
"34-SE-82(G,X)0-NN-1,,SIG",65
"74-W-182(G,X)0-NN-1,,SIG,,BRS",65
"16-S-34(G,2N)16-S-32,,SIG,,BRS",65
"7-N-15(G,P)6-C-14,PAR,SIG,,BRS",65
"23-V-51(G,A)21-SC-47,,SIG,,BRS",65
"52-TE-130(G,X)0-NN-1,,SIG",64
"78-PT-194(G,X)0-NN-1,,SIG,,BRS",64
"78-PT-196(G,X)0-NN-1,,SIG,,BRS",64
"78-PT-198(G,X)0-NN-1,,SIG,,BRS",64
"21-SC-45(G,X)0-NN-1,,SIG",63
"60-ND-0(G,X)0-NN-1,,SIG",62
"34-SE-78(G,X)0-NN-1,,SIG",62
"70-YB-171(G,X)0-NN-1,,SIG,,BRS",62
"70-YB-172(G,X)0-NN-1,,SIG,,BRS",62
"70-YB-173(G,X)0-NN-1,,SIG,,BRS",62
"70-YB-174(G,X)0-NN-1,,SIG,,BRS",62
"70-YB-176(G,X)0-NN-1,,SIG,,BRS",62
"29-CU-63(G,X)0-NN-1,,SIG",61
"56-BA-138(G,X)0-NN-1,,SIG",61
"51-SB-0(G,X)0-NN-1,,SIG",61
"17-CL-0(G,X)0-NN-1,,SIG",61
"52-TE-126(G,X)0-NN-1,,SIG",61
"31-GA-0(G,X)0-NN-1,,SIG",61
"32-GE-74(G,X)0-NN-1,,SIG",61
"77-IR-191(G,X)0-NN-1,,SIG,,BRS",61
"78-PT-195(G,X)0-NN-1,,SIG,,BRS",61
"67-HO-165(G,N)67-HO-164-G,M+,SIG,,BRS",61
"32-GE-72(G,X)0-NN-1,,SIG",60
"77-IR-193(G,X)0-NN-1,,SIG,,BRS",60
"67-HO-165(G,TOT),,SIG",60
"60-ND-148(G,X)0-NN-1,,SIG,,BRS",60
"60-ND-150(G,X)0-NN-1,,SIG,,BRS",60
"62-SM-150(G,X)0-NN-1,,SIG,,BRS",60
"62-SM-154(G,X)0-NN-1,,SIG,,BRS",60
"67-HO-165(G,5N)67-HO-160-G+M2,(M),SIG,,BRS",60
"58-CE-140(G,X)0-NN-1,,SIG",59
"58-CE-142(G,X)0-NN-1,,SIG",59
"34-SE-76(G,X)0-NN-1,,SIG",59
"70-YB-170(G,X)0-NN-1,,SIG,,BRS",59
"22-TI-46(G,N)22-TI-45,,SIG,,BRS",59
"62-SM-148(G,X)0-NN-1,,SIG,,BRS",59
"64-GD-158(G,X)0-NN-1,,SIG,,BRS",59
"49-IN-115(G,INL)49-IN-115-M,,SIG,,BRS",58
"45-RH-103(G,X)0-NN-1,,SIG",58
"47-AG-0(G,X)0-NN-1,,SIG",58
"3-LI-7(G,T)2-HE-4,PAR,SIG,,BRS",58
