source_file,size_bytes,data_rows,comment_rows,parse_errors,MF_values,MT_values,filename_projectile,filename_target,filename_reaction,filename_quantity,filename_distribution,filename_spectrum
c4/1/10017.005-n-Kr-tot-sig-excfun-mon-Rorer_1969.c4,2634,14,23,0,[3],[1],n,Kr,tot,sig,excfun,mon
c4/1/10017.006-n-He4-el-sig-excfun-mon-Rorer_1969.c4,939,1,24,0,[3],[2],n,He4,el,sig,excfun,mon
c4/1/10018.002-n-Cf252-g-sig-excfun-mon-Halperin_1969.c4,994,1,25,0,[3],[102],n,Cf252,g,sig,excfun,mon
c4/1/10020.002-n-Al27-tot-sig-excfun-mon-Robinson_1969.c4,943,1,24,0,[3],[1],n,Al27,tot,sig,excfun,mon
c4/1/10020.003-n-Fe-tot-sig-excfun-mon-Robinson_1969.c4,942,1,24,0,[3],[1],n,Fe,tot,sig,excfun,mon
c4/1/10020.004-n-Cu-tot-sig-excfun-mon-Robinson_1969.c4,942,1,24,0,[3],[1],n,Cu,tot,sig,excfun,mon
c4/1/10020.005-n-Pb-tot-sig-excfun-mon-Robinson_1969.c4,942,1,24,0,[3],[1],n,Pb,tot,sig,excfun,mon
c4/1/10022.002-n-F19-2n-sig-excfun-mon-Barrall_1969.c4,971,1,25,0,[3],[16],n,F19,2n,sig,excfun,mon
c4/1/10022.003-n-Na23-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,Na23,2n,sig,excfun,mon
c4/1/10022.004-n-Mg24-p-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[103],n,Mg24,p,sig,excfun,mon
c4/1/10022.005-n-S34-a-sig-excfun-mon-Barrall_1969.c4,977,1,25,0,[3],[107],n,S34,a,sig,excfun,mon
c4/1/10022.006-n-S32-p-sig-excfun-mon-Barrall_1969.c4,975,1,25,0,[3],[103],n,S32,p,sig,excfun,mon
c4/1/10022.007-n-Cl35-a-sig-excfun-mon-Barrall_1969.c4,976,1,25,0,[3],[107],n,Cl35,a,sig,excfun,mon
c4/1/10022.008-n-Mn55-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,Mn55,2n,sig,excfun,mon
c4/1/10022.009-n-Fe54-p-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[103],n,Fe54,p,sig,excfun,mon
c4/1/10022.010-n-Fe56-p-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[103],n,Fe56,p,sig,excfun,mon
c4/1/10022.011-n-Co59-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,Co59,2n,sig,excfun,mon
c4/1/10022.012-n-Ni58-x-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[454],n,Ni58,x,sig,excfun,mon
c4/1/10022.013-n-Ni58-p-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[103],n,Ni58,p,sig,excfun,mon
c4/1/10022.014-n-Ni58-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,Ni58,2n,sig,excfun,mon
c4/1/10022.015-n-Cu65-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,Cu65,2n,sig,excfun,mon
c4/1/10022.016-n-Cu63-a-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[107],n,Cu63,a,sig,excfun,mon
c4/1/10022.017-n-Zn64-p-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[103],n,Zn64,p,sig,excfun,mon
c4/1/10022.018-n-Zr90-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,Zr90,2n,sig,excfun,mon
c4/1/10022.019-n-I127-2n-sig-excfun-mon-Barrall_1969.c4,978,1,25,0,[3],[16],n,I127,2n,sig,excfun,mon
c4/1/10022.020-n-In115-2n-sig-excfun-mon-Barrall_1969.c4,985,1,25,0,[3],[16],n,In115,2n,sig,excfun,mon
c4/1/10022.021-n-In115-inl-sig-excfun-mon-Barrall_1969.c4,985,1,25,0,[3],[4],n,In115,inl,sig,excfun,mon
c4/1/10022.022-n-Au197-2n-sig-excfun-mon-Barrall_1969.c4,985,1,25,0,[3],[16],n,Au197,2n,sig,excfun,mon
c4/1/10022.023-n-Th232-f-sig-excfun-mon-Barrall_1969.c4,949,1,24,0,[3],[18],n,Th232,f,sig,excfun,mon
c4/1/10022.024-n-Th232-f-sig-excfun-mon-Barrall_1969.c4,949,1,24,0,[3],[18],n,Th232,f,sig,excfun,mon
c4/1/10022.025-n-U238-f-sig-excfun-mon-Barrall_1969.c4,948,1,24,0,[3],[18],n,U238,f,sig,excfun,mon
c4/1/10022.026-n-U238-f-sig-excfun-mon-Barrall_1969.c4,948,1,24,0,[3],[18],n,U238,f,sig,excfun,mon
c4/1/10025.005-n-Al27-xg-ddxl-angdisl-mon-Drake_1970.c4,32263,124,475,0,[6],[202],n,Al27,xg,ddxl,angdisl,mon
c4/1/10025.009-n-Fe-xg-ddxl-excfun-mon-Drake_1970.c4,23292,79,385,0,[6],[202],n,Fe,xg,ddxl,excfun,mon
c4/1/10025.011-n-Fe-xg-ddxl-angdisl-mon-Drake_1970.c4,35316,136,520,0,[6],[202],n,Fe,xg,ddxl,angdisl,mon
c4/1/10025.014-n-Ni-xg-ddxl-excfun-mon-Drake_1970.c4,14436,46,250,0,[6],[202],n,Ni,xg,ddxl,excfun,mon
c4/1/10025.015-n-Nb93-xg-ddxl-excfun-mon-Drake_1970.c4,20440,61,370,0,[6],[202],n,Nb93,xg,ddxl,excfun,mon
c4/1/10025.017-n-Nb93-xg-ddxl-angdisl-mon-Drake_1970.c4,37012,141,550,0,[6],[202],n,Nb93,xg,ddxl,angdisl,mon
c4/1/10025.019-n-W-xg-ddxl-excfun-mon-Drake_1970.c4,14420,46,250,0,[6],[202],n,W,xg,ddxl,excfun,mon
c4/1/10025.020-n-Pu239-xg-ddxl-excfun-mon-Drake_1970.c4,15630,51,265,0,[6],[202],n,Pu239,xg,ddxl,excfun,mon
c4/1/10026.002-n-V51-g-sig-excfun-mon-Dudey_1969.c4,4770,30,24,0,[3],[102],n,V51,g,sig,excfun,mon
c4/1/10026.003-n-Ti50-g-sig-excfun-mon-Dudey_1969.c4,4377,27,24,0,[3],[102],n,Ti50,g,sig,excfun,mon
c4/1/10027.002-n-C-el-adxl-angdisc-mon-Perey_1969.c4,41704,265,205,0,[4],[2],n,C,el,adxl,angdisc,mon
c4/1/10027.016-n-C12-inl-adxl-angdisc-mon-Perey_1969.c4,32013,206,145,0,[4],[51],n,C12,inl,adxl,angdisc,mon
c4/1/10027.024-n-C-el-sig-excfun-mon-Perey_1969.c4,2514,13,25,0,[3],[2],n,C,el,sig,excfun,mon
c4/1/10027.025-n-C12-inl-sig-excfun-mon-Perey_1969.c4,1993,9,25,0,[3],[51],n,C12,inl,sig,excfun,mon
c4/1/10028.002-n-O-el-adxc-angdisc-mon-Fowler_1970.c4,8627,48,70,0,[4],[2],n,O,el,adxc,angdisc,mon
c4/1/10029.002-n-Sc45-inl-sigg-excfun-mon-Rogers_1969.c4,16238,70,205,0,[13],[51],n,Sc45,inl,sigg,excfun,mon
c4/1/10030.002-n-Rb85-g-sig-excfun-mon-Dudey_1970.c4,4743,29,26,0,[3],[102],n,Rb85,g,sig,excfun,mon
c4/1/10030.003-n-Rb87-g-sig-excfun-mon-Dudey_1970.c4,4079,24,26,0,[3],[102],n,Rb87,g,sig,excfun,mon
c4/1/10030.004-n-Y89-g-sig-excfun-mon-Dudey_1970.c4,4080,24,26,0,[3],[102],n,Y89,g,sig,excfun,mon
c4/1/10031.002-n-Al27-a-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[107],n,Al27,a,sig,excfun,mon
c4/1/10031.003-n-S32-p-sig-excfun-mon-Barrall_1969.c4,1002,1,25,0,[3],[103],n,S32,p,sig,excfun,mon
c4/1/10031.004-n-Mn55-2n-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[16],n,Mn55,2n,sig,excfun,mon
c4/1/10031.005-n-Fe56-p-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[103],n,Fe56,p,sig,excfun,mon
c4/1/10031.006-n-Fe54-p-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[103],n,Fe54,p,sig,excfun,mon
c4/1/10031.007-n-Ni58-p-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[103],n,Ni58,p,sig,excfun,mon
c4/1/10031.008-n-Ni58-x-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[454],n,Ni58,x,sig,excfun,mon
c4/1/10031.009-n-Ni58-2n-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[16],n,Ni58,2n,sig,excfun,mon
c4/1/10031.010-n-In115-inl-sig-excfun-mon-Barrall_1969.c4,1012,1,25,0,[3],[4],n,In115,inl,sig,excfun,mon
c4/1/10031.011-n-In115-2n-sig-excfun-mon-Barrall_1969.c4,1012,1,25,0,[3],[16],n,In115,2n,sig,excfun,mon
c4/1/10031.012-n-I127-2n-sig-excfun-mon-Barrall_1969.c4,1005,1,25,0,[3],[16],n,I127,2n,sig,excfun,mon
c4/1/10032.005-n-Pu238-f-sig-excfun-mon-Silbert_1973.c4,123792,932,23,0,[3],[18],n,Pu238,f,sig,excfun,mon
c4/1/10032.006-n-Pu238-f-sig-excfun-mon-Silbert_1973.c4,412609,3120,23,0,[3],[18],n,Pu238,f,sig,excfun,mon
c4/1/10032.007-n-Pu238-f-sig-excfun-mon-Silbert_1973.c4,185305,1398,23,0,[3],[18],n,Pu238,f,sig,excfun,mon
c4/1/10032.008-n-Pu238-f-sig-excfun-mon-Silbert_1973.c4,102144,768,23,0,[3],[18],n,Pu238,f,sig,excfun,mon
c4/1/10033.002-n-C-tot-sig-excfun-mon-Schwartz_1974.c4,441929,3342,24,0,[3],[1],n,C,tot,sig,excfun,mon
c4/1/10034.002-n-Ho165-el-sig-excfun-mon-Meadows_1971.c4,8992,62,25,0,[3],[2],n,Ho165,el,sig,excfun,mon
c4/1/10034.065-n-Ho165-inl-sig-excfun-mon-Meadows_1971.c4,27454,163,175,0,[3],[51],n,Ho165,inl,sig,excfun,mon
c4/1/10034.076-n-Ho165-tot-sig-excfun-mon-Meadows_1971.c4,99383,747,24,0,[3],[1],n,Ho165,tot,sig,excfun,mon
c4/1/10034.077-n-Ho165-tot-sig-excfun-mon-Meadows_1971.c4,1437,5,24,0,[3],[1],n,Ho165,tot,sig,excfun,mon
c4/1/10035.006-n-Pu239-g-sig-excfun-mon-Gwin_1971.c4,169825,1279,27,0,[3],[102],n,Pu239,g,sig,excfun,mon
c4/1/10035.007-n-Pu239-g-sig-excfun-mon-Gwin_1971.c4,276745,2089,27,0,[3],[102],n,Pu239,g,sig,excfun,mon
c4/1/10035.008-n-Pu239-f-sig-excfun-mon-Gwin_1971.c4,174809,1317,26,0,[3],[18],n,Pu239,f,sig,excfun,mon
c4/1/10035.009-n-Pu239-f-sig-excfun-mon-Gwin_1971.c4,307469,2322,26,0,[3],[18],n,Pu239,f,sig,excfun,mon
c4/1/10036.002-n-H1-el-adxc-angdisc-mon-Rothenberg_1970.c4,1308,4,24,0,[4],[2],n,H1,el,adxc,angdisc,mon
c4/1/10037.002-n-Fe54-el-sig-excfun-mon-Boschung_1971.c4,1241,3,25,0,[3],[2],n,Fe54,el,sig,excfun,mon
c4/1/10037.003-n-Fe54-tot-sig-excfun-mon-Boschung_1971.c4,1213,3,24,0,[3],[1],n,Fe54,tot,sig,excfun,mon
c4/1/10037.004-n-Fe56-el-sig-excfun-mon-Boschung_1971.c4,1109,2,25,0,[3],[2],n,Fe56,el,sig,excfun,mon
