run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC
CTRL_JAERI43_T000,0,0.00031758781925322828,0.0004064745140805393,0.28919830030134214,0.20449397700458652
CTRL_JAERI43_T000,0,0.0004064745140805393,0.00052023887750326993,0.2891934391891422,0.20449053968060255
CTRL_JAERI43_T000,0,0.00052023887750326993,0.00066584368832589395,0.57839683476631365,0.28919798370362154
CTRL_JAERI43_T000,0,0.00066584368832589395,0.00085220047261970434,0.28919970236679454,0.20449496844547188
CTRL_JAERI43_T000,0,0.00085220047261970434,0.00109071492043308,0.14460296314936172,0.14460296314936172
CTRL_JAERI43_T000,0,0.00109071492043308,0.0013959849541015533,0.5783872714177728,0.28919320199996906
CTRL_JAERI43_T000,0,0.0013959849541015533,0.0017866941723912076,1.5905816397559447,0.47957601111468218
CTRL_JAERI43_T000,0,0.0017866941723912076,0.0022867553523964858,1.3013548314282579,0.43378320883421595
CTRL_JAERI43_T000,0,0.0022867553523964858,0.0029267739955268625,2.1689224297560359,0.56000944331198188
CTRL_JAERI43_T000,0,0.0029267739955268625,0.0037459214917394761,2.8919472301965614,0.64665291637490108
CTRL_JAERI43_T000,0,0.0037459214917394761,0.0047943325462510827,2.3135516745240938,0.57838358093752806
CTRL_JAERI43_T000,0,0.0047943325462510827,0.0061361735996684147,2.8919181177088173,0.64664640661335449
CTRL_JAERI43_T000,0,0.0061361735996684147,0.0078535700396314845,5.2054915555395436,0.86756674344705464
CTRL_JAERI43_T000,0,0.0078535700396314845,0.010051632563122113,6.0730656285387559,0.93707516068551633
CTRL_JAERI43_T000,0,0.010051632563122113,0.012864890320473688,6.3622492860896172,0.95912454689930071
CTRL_JAERI43_T000,0,0.012864890320473688,0.016465524572100921,9.83261250259077,1.1923394645637109
CTRL_JAERI43_T000,0,0.016465524572100921,0.021073906786674937,10.989353361091958,1.2605180114188317
CTRL_JAERI43_T000,0,0.021073906786674937,0.026972086149381503,16.773214691618922,1.5572643373255608
CTRL_JAERI43_T000,0,0.026972086149381503,0.034521051963163074,18.942227018287891,1.6548824813960064
CTRL_JAERI43_T000,0,0.034521051963163074,0.044182827462558999,26.605784341420737,1.9612249680510201
CTRL_JAERI43_T000,0,0.044182827462558999,0.056548747259189548,30.220820925154989,2.090200480110155
CTRL_JAERI43_T000,0,0.056548747259189548,0.072375649097910583,42.655996110874817,2.48316300619179
CTRL_JAERI43_T000,0,0.072375649097910583,0.092632194986294034,52.488614125750139,2.7544390839002912
CTRL_JAERI43_T000,0,0.092632194986294034,0.11855815671332583,70.997102203988874,3.2032692802026781
CTRL_JAERI43_T000,0,0.11855815671332583,0.1517402942393978,86.613599459864872,3.5378774342230357
CTRL_JAERI43_T000,0,0.1517402942393978,0.19420947098168756,105.84474219056943,3.9107040958161803
