run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,4,5,1.9249390230158838,0.13750884270753161
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,5,6,1.8088403043158077,0.14791184706922256
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,6,7,2.1609337537308164,0.17952541468044367
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,7,8,1.5859075602365713,0.16649606284091731
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,8,9,1.5982137521256057,0.17436063775781629
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,9,10,1.6767684172406447,0.19894862234863994
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,10,11,1.8852450313186528,0.230662020898484
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,11,12,1.8306770005642683,0.22654506403405836
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,12,13,1.4834452693558284,0.21525745506561161
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,13,14,1.4636663354752923,0.2158513625555003
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,14,15,1.78597912385275,0.24389956888717795
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,15,16,1.9454152534563303,0.26716571013644907
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,16,17,1.9077410430656661,0.28710222574735383
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,17,18,2.1516101721014764,0.30514309620145685
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,18,19,2.3056469533298896,0.30948961784602635
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,19,20,2.4656071342324841,0.36473055550259126
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,20,21,2.7322427823996853,0.39046898988813428
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,21,22,3.081023792494813,0.4196902261469716
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,22,23,2.63398770964328,0.39534361514811406
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,23,24,3.5276929486999471,0.45893322571534023
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,24,25,2.875050263401624,0.4299612294345741
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,25,26,3.2558944776852616,0.46200610855395879
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,26,27,3.8801308746835064,0.53763190873463984
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,27,28,4.2975427273720035,0.53612887464941794
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,28,29,3.1753880849629379,0.46888048092199602
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,29,30,3.4921542718190848,0.4909347903180506
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,30,31,4.1082658666665273,0.58942793683483963
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,31,32,3.5478888842717233,0.54033962778871181
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,32,33,4.1086314322663799,0.60935843254357158
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,33,34,5.5542723259510742,0.74308468404000949
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,34,35,5.7108560830824313,0.72433596116725252
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,35,36,6.5390141697222166,0.80808228110452662
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,36,37,9.3922557309740853,0.99921210530468685
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,37,38,17.560535596483302,1.3774854601744422
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,38,39,29.65055415436839,1.8098016268554777
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,39,40,42.732154633021388,2.2378573298272553
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,40,41,37.06369744975634,2.1027428762892719
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,41,42,16.753710932463921,1.4479491656575281
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,42,43,2.8454586683440497,0.61632402759775928
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,0,43,44,0.16287741278862625,0.16287741278862625
