run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,6,7,145.28651146373386,6.0269937077483027
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,7,8,135.06080854937275,6.0513788592092927
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,8,9,144.29227222921079,6.8912674195462484
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,9,10,146.70528094336984,7.4028389881659917
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,10,11,151.19435351694196,7.7336385024279828
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,11,12,146.6952282873512,8.0709754549051613
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,12,13,154.15735225985625,8.6928248533864938
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,13,14,153.23933318772393,8.9152804689937781
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,14,15,152.25130212677777,9.3727107717806248
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,15,16,174.43652629336546,10.384116401853319
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,16,17,191.57449582404624,11.476633066280609
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,17,18,208.43898079592111,12.24684403841912
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,18,19,215.12720501179933,12.989757924393919
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,19,20,202.58280573591566,12.866152697914245
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,20,21,239.1305864081061,14.402567270649465
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,21,22,228.98310493851318,14.556072907564271
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,22,23,266.05005381849918,16.064218232570049
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,23,24,307.95356038498915,17.505990123195716
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,24,25,318.05250489808003,18.547306026784511
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,25,26,291.15229810719791,18.215113853585741
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,26,27,353.99306724356916,20.2883106987092
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,27,28,349.81683452752122,20.918479562567697
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,28,29,373.5594365938465,21.694510404024676
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,29,30,387.50110617611239,22.341775578347946
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,30,31,443.47079707235281,24.490171750746182
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,31,32,468.56290224469586,25.929722312316869
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,32,33,496.76461989412945,27.491781977246788
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,33,34,532.04751116825366,29.084205939241382
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,0,34,35,466.63909533254906,27.155739916433351
