energy_MeV,energy_keV,collision_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,total_stopping_power_MeV_cm2_g,csda_range_g_cm2,radiation_yield,density_effect_delta,material_id,material,density_g_cm3,mean_excitation_energy_eV,csda_range_cm,source,evidence_type,stopping_power_sum_error,stopping_power_sum_relative_error
90.0,90000.0,1.928,2.994,4.922,30.3,0.3891,6.451,144,"CONCRETE, PORTLAND",2.3,135.2,13.173913043478262,NIST_ESTAR,EVALUATED_REFERENCE,-8.881784197001252e-16,1.804507150955151e-16
100.0,100000.0,1.936,3.351,5.288,32.26,0.4123,6.654,144,"CONCRETE, PORTLAND",2.3,135.2,14.02608695652174,NIST_ESTAR,EVALUATED_REFERENCE,0.001000000000000334,0.00018910741301065315
125.0,125000.0,1.954,4.248,6.203,36.62,0.462,7.087,144,"CONCRETE, PORTLAND",2.3,135.2,15.921739130434784,NIST_ESTAR,EVALUATED_REFERENCE,0.001000000000000334,0.00016121231662104366
150.0,150000.0,1.969,5.151,7.12,40.38,0.5025,7.443,144,"CONCRETE, PORTLAND",2.3,135.2,17.55652173913044,NIST_ESTAR,EVALUATED_REFERENCE,0.0,0.0
175.0,175000.0,1.981,6.059,8.04,43.68,0.5363,7.746,144,"CONCRETE, PORTLAND",2.3,135.2,18.991304347826087,NIST_ESTAR,EVALUATED_REFERENCE,-1.7763568394002505e-15,2.2093990539804113e-16
200.0,200000.0,1.992,6.969,8.961,46.62,0.565,8.01,144,"CONCRETE, PORTLAND",2.3,135.2,20.269565217391303,NIST_ESTAR,EVALUATED_REFERENCE,0.0,0.0
250.0,250000.0,2.01,8.797,10.81,51.7,0.6114,8.451,144,"CONCRETE, PORTLAND",2.3,135.2,22.47826086956522,NIST_ESTAR,EVALUATED_REFERENCE,0.0030000000000001137,0.0002775208140610651
300.0,300000.0,2.024,10.63,12.66,55.97,0.6474,8.813,144,"CONCRETE, PORTLAND",2.3,135.2,24.334782608695654,NIST_ESTAR,EVALUATED_REFERENCE,0.006000000000000227,0.0004739336492891175
350.0,350000.0,2.036,12.47,14.51,59.65,0.6764,9.119,144,"CONCRETE, PORTLAND",2.3,135.2,25.934782608695652,NIST_ESTAR,EVALUATED_REFERENCE,0.0039999999999995595,0.00027567195037901855
400.0,400000.0,2.046,14.32,16.36,62.9,0.7003,9.385,144,"CONCRETE, PORTLAND",2.3,135.2,27.347826086956523,NIST_ESTAR,EVALUATED_REFERENCE,-0.006000000000000227,0.0003667481662591826
450.0,450000.0,2.055,16.16,18.22,65.79,0.7204,9.62,144,"CONCRETE, PORTLAND",2.3,135.2,28.60434782608696,NIST_ESTAR,EVALUATED_REFERENCE,0.004999999999999005,0.00027442371020850744
500.0,500000.0,2.064,18.01,20.08,68.41,0.7376,9.83,144,"CONCRETE, PORTLAND",2.3,135.2,29.743478260869566,NIST_ESTAR,EVALUATED_REFERENCE,0.005999999999996675,0.00029880478087632845
550.0,550000.0,2.071,19.86,21.94,70.79,0.7525,10.02,144,"CONCRETE, PORTLAND",2.3,135.2,30.778260869565223,NIST_ESTAR,EVALUATED_REFERENCE,0.009000000000000341,0.00041020966271651505
600.0,600000.0,2.078,21.72,23.79,72.98,0.7656,10.19,144,"CONCRETE, PORTLAND",2.3,135.2,31.7304347826087,NIST_ESTAR,EVALUATED_REFERENCE,-0.007999999999999119,0.00033627574611177466
700.0,700000.0,2.09,25.43,27.52,76.88,0.7874,10.5,144,"CONCRETE, PORTLAND",2.3,135.2,33.426086956521736,NIST_ESTAR,EVALUATED_REFERENCE,0.0,0.0
800.0,800000.0,2.1,29.14,31.24,80.29,0.8051,10.77,144,"CONCRETE, PORTLAND",2.3,135.2,34.90869565217392,NIST_ESTAR,EVALUATED_REFERENCE,-3.552713678800501e-15,1.137232291549456e-16
900.0,900000.0,2.109,32.86,34.97,83.31,0.8197,11.0,144,"CONCRETE, PORTLAND",2.3,135.2,36.221739130434784,NIST_ESTAR,EVALUATED_REFERENCE,0.0009999999999976694,2.8595939376541878e-05
1000.0,1000000.0,2.117,36.58,38.7,86.03,0.832,11.21,144,"CONCRETE, PORTLAND",2.3,135.2,37.40434782608696,NIST_ESTAR,EVALUATED_REFERENCE,0.003000000000007219,7.751937984514778e-05
