run_id,shield_thickness_cm,mc_icrp21_dose_equivalent_uSv_per_uC,mc_sigma_icrp21_dose_equivalent_uSv_per_uC,geometry_id,source_normalization_id
N002_JAERI_TIARA_68MEV__ICRP21__T000,0,22.7528538869644,0.0017091096444186,JAERI_68MEV_REM_T000_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC
N002_JAERI_TIARA_68MEV__ICRP21__T100,100,0.0670839994137943,0.0014446972955084,JAERI_68MEV_REM_T100_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC
N002_JAERI_TIARA_68MEV__ICRP21__T150,150,0.0046575144100037,0.0003982604237742,JAERI_68MEV_REM_T150_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC
