run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,response_value,response_sigma,controlled_geometry_family_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,response_unit
CTRL_JAERI43_T000,0,2.2789176634070446e-09,2.9167426888130696e-09,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.9167426888130696e-09,3.733082616080864e-09,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,3.733082616080864e-09,4.777900317342078e-09,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,4.777900317342078e-09,6.115142307357666e-09,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,6.115142307357666e-09,7.826652494926529e-09,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,7.826652494926529e-09,1.0017181317699976e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.0017181317699976e-08,1.2820796837054278e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.2820796837054278e-08,1.6409090174556434e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.6409090174556434e-08,2.1001677491567688e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.1001677491567688e-08,2.687964127004036e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.687964127004036e-08,3.4402733548124905e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,3.4402733548124905e-08,4.403139400905784e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
