source_model_id,evidence_id,evaluation_status,two_sided_support_passed,shape_thresholds_passed,strict_shape_gate_eligible,comparability_class,reason_code,reference_coverage_by_positive_production_support_fraction,production_coverage_by_reference_fraction,js_divergence_bits,total_variation,cosine_similarity
PROJECT_6MV_40x40,ALI_MCEWEN_ROGERS_2012_ELEKTA_6MV,FAIL_INSUFFICIENT_TWO_SIDED_ENERGY_FLUENCE_SUPPORT,False,False,False,CROSS_MACHINE_OR_UNRESOLVED_CONSTRUCTION_MACHINE_CORROBORATIVE,INDEPENDENT_MEASURED_REFERENCE_EVALUATED__SYMMETRIC_SUPPORT_FAIL,0.7540106569988508,1.0,0.1670796221266314,0.31461247403370174,0.8575104462660572
PROJECT_10MV_40x40,ALI_MCEWEN_ROGERS_2012_ELEKTA_10MV,FAIL_INSUFFICIENT_TWO_SIDED_ENERGY_FLUENCE_SUPPORT,False,False,False,CROSS_MACHINE_OR_UNRESOLVED_CONSTRUCTION_MACHINE_CORROBORATIVE,INDEPENDENT_MEASURED_REFERENCE_EVALUATED__SYMMETRIC_SUPPORT_FAIL__DEFECT_INHERITED_FROM_6MV_PARENT_SUPPORT,0.829534141865777,1.0,0.14821078590180672,0.3218622859362825,0.8467790838307204
PROJECT_15MV_40x40,WAGGENER_ET_AL_1999_15MV,COMPUTED_CORROBORATIVE_REFERENCE_NOT_STRICT_GATE_ELIGIBLE,True,False,False,CROSS_MACHINE_CORROBORATIVE,MEASURED_REFERENCE_EVALUATED__SUPPORT_ADEQUATE__STRICT_COMPARABILITY_UNRESOLVED,1.0,0.9998564449432128,0.04590911359667977,0.19693385301426444,0.91047324119837
PROJECT_16MV_40x40,ASPRADAKIS_1996_ABB_CH20_16MV,COMPUTED_CORROBORATIVE_REFERENCE_NOT_STRICT_GATE_ELIGIBLE,True,True,False,CROSS_MACHINE_AND_FIELD_GEOMETRY_CORROBORATIVE,MEASURED_SHAPE_THRESHOLDS_PASS__STRICT_COMPARABILITY_UNRESOLVED,0.9990009167150591,0.9999769011720439,0.029265111646986926,0.137862359733763,0.9622273190476187
PROJECT_18MV_40x40,WAGGENER_ET_AL_1999_18MV,COMPUTED_CORROBORATIVE_REFERENCE_NOT_STRICT_GATE_ELIGIBLE,True,False,False,POTENTIAL_MACHINE_FAMILY_MATCH_REQUIRES_CONSTRUCTION_PROVENANCE,MEASURED_REFERENCE_EVALUATED__SUPPORT_ADEQUATE__STRICT_COMPARABILITY_UNRESOLVED,0.9996245093975916,0.9998824935737007,0.08079497205451633,0.2103667241326533,0.9401878996224134
