energy_low_MeV,energy_high_MeV,energy_center_MeV,reference_photon_probability_mass,project_probability_mass_rebinned_to_reference,project_probability_mass_rebinned_normalized,reference_photon_probability_mass_normalized,reference_relative_uncertainty_percent
0.0,0.25,0.125,0.005191444225984053,0.022678128557521403,0.022678128557521403,0.005191444225984052,2.43
0.25,0.5,0.375,0.01219437111805616,0.05844184596277379,0.05844184596277379,0.012194371118056156,1.55
0.5,0.75,0.625,0.02695132747106615,0.06851755140471577,0.06851755140471577,0.02695132747106614,0.96
0.75,1.0,0.875,0.036229653321761056,0.0636202734972227,0.0636202734972227,0.03622965332176105,0.78
1.0,1.25,1.125,0.04285702892940027,0.05362430384908131,0.05362430384908131,0.042857028929400263,0.7
1.25,1.5,1.375,0.0457288916927106,0.040541255289471764,0.040541255289471764,0.04572889169271059,0.66
1.5,1.75,1.625,0.04749619185474772,0.03468163815757188,0.03468163815757188,0.0474961918547477,0.66
1.75,2.0,1.875,0.045287066652201315,0.030421038261051844,0.030421038261051844,0.04528706665220131,0.64
2.0,2.25,2.125,0.04396159153067347,0.028678737987406524,0.028678737987406524,0.043961591530673465,0.65
2.25,2.5,2.375,0.041089728767363144,0.028633657890905866,0.028633657890905866,0.04108972876736314,0.66
2.5,2.75,2.625,0.039101516085071376,0.0286058292234942,0.0286058292234942,0.03910151608507137,0.66
2.75,3.0,2.875,0.03667147836227033,0.028575681500464894,0.028575681500464894,0.036671478362270325,0.68
3.0,3.25,3.125,0.03424144063946929,0.028547852833053222,0.028547852833053222,0.03424144063946928,0.7
3.25,3.5,3.375,0.031811402916668244,0.02851770511002392,0.02851770511002392,0.03181140291666824,0.7
3.5,3.75,3.625,0.029381365193867196,0.02848987644261225,0.02848987644261225,0.02938136519386719,0.73
3.75,4.0,3.875,0.02805589007233935,0.028459728719582945,0.028459728719582945,0.028055890072339343,0.74
4.0,4.25,4.125,0.026288589910302227,0.028431900052171277,0.028431900052171277,0.02628858991030222,0.78
4.25,4.5,4.375,0.024300377228010463,0.028401752329141973,0.028401752329141973,0.024300377228010456,0.78
4.5,4.75,4.625,0.02319581462673726,0.028373923661730305,0.028373923661730305,0.023195814626737258,0.82
4.75,5.0,4.875,0.02122969319647096,0.028340432365570767,0.028340432365570767,0.021229693196470955,0.83
5.0,5.25,5.125,0.020235586855325078,0.027711841566113837,0.027711841566113837,0.020235586855325075,0.84
5.25,5.5,5.375,0.018998476741899088,0.026258230923738086,0.026258230923738086,0.018998476741899084,0.88
