energy_low_MeV,energy_high_MeV,energy_center_MeV,reference_photon_probability_mass,project_probability_mass_rebinned_to_reference,project_probability_mass_rebinned_normalized,reference_photon_probability_mass_normalized,reference_relative_uncertainty_percent
0.0,0.25,0.125,0.010078842890033694,0.00019968051118210867,0.00019968051118210867,0.010078842890033694,1.3
0.25,0.5,0.375,0.047053161558444585,0.0008985623003194886,0.0008985623003194886,0.047053161558444585,0.53
0.5,0.75,0.625,0.06069579419965042,0.0024960063897763586,0.0024960063897763586,0.06069579419965042,0.45
0.75,1.0,0.875,0.06180947849689171,0.007987220447284348,0.007987220447284348,0.06180947849689171,0.43
1.0,1.25,1.125,0.06180947849689171,0.018969648562300323,0.018969648562300323,0.06180947849689171,0.43
1.25,1.5,1.375,0.06069579419965042,0.04193290734824282,0.04193290734824282,0.06069579419965042,0.43
1.5,1.75,1.625,0.056797899159305894,0.048921725239616624,0.048921725239616624,0.056797899159305894,0.44
1.75,2.0,1.875,0.05284431990409931,0.0471745207667732,0.0471745207667732,0.05284431990409931,0.44
2.0,2.25,2.125,0.048946424863754785,0.04717452076677313,0.04717452076677313,0.048946424863754785,0.45
2.25,2.5,2.375,0.045271266682858524,0.047174520766773156,0.047174520766773156,0.045271266682858524,0.46
2.5,2.75,2.625,0.04176316114654845,0.04717452076677317,0.04717452076677317,0.04176316114654845,0.47
2.75,3.0,2.875,0.03836642403996251,0.047174520766773156,0.047174520766773156,0.03836642403996251,0.49
3.0,3.25,3.125,0.035359476437411025,0.04717452076677317,0.04717452076677317,0.035359476437411025,0.5
3.25,3.5,3.375,0.03274231833889399,0.04717452076677309,0.04717452076677309,0.03274231833889399,0.51
3.5,3.75,3.625,0.03018084445523902,0.04717452076677324,0.04717452076677324,0.03018084445523902,0.52
3.75,4.0,3.875,0.0278421074310323,0.04717452076677317,0.04717452076677317,0.0278421074310323,0.53
4.0,4.25,4.125,0.02589315991086004,0.04717452076677317,0.04717452076677317,0.02589315991086004,0.56
4.25,4.5,4.375,0.02394421239068778,0.04717452076677303,0.04717452076677303,0.02394421239068778,0.57
4.5,4.75,4.625,0.022050949085377584,0.04717452076677331,0.04717452076677331,0.022050949085377584,0.59
4.75,5.0,4.875,0.020269054209791516,0.04717452076677317,0.04717452076677317,0.020269054209791516,0.61
5.0,5.25,5.125,0.019044001482826093,0.046675319488817896,0.046675319488817896,0.019044001482826093,0.62
5.25,5.5,5.375,0.017707580326136545,0.044428913738019174,0.044428913738019174,0.017707580326136545,0.64
5.5,5.75,5.625,0.01609273809513667,0.04243210862619809,0.04243210862619809,0.01609273809513667,0.66
5.75,6.0,5.875,0.0152574748722057,0.039436900958466456,0.039436900958466456,0.0152574748722057,0.68
6.0,6.25,6.125,0.01414379057496441,0.03544329073482429,0.03544329073482429,0.01414379057496441,0.7
6.25,6.5,6.375,0.013141474707447247,0.03045127795527157,0.03045127795527157,0.013141474707447247,0.73
6.5,6.75,6.625,0.012027790410205954,0.0264576677316294,0.0264576677316294,0.012027790410205954,0.74
6.75,7.0,6.875,0.011136842972412922,0.0,0.0,0.011136842972412922,0.77
7.0,7.25,7.125,0.01030157974948195,0.0,0.0,0.01030157974948195,0.8
7.25,7.5,7.375,0.009522000741413046,0.0,0.0,0.009522000741413046,0.83
7.5,7.75,7.625,0.008686737518482078,0.0,0.0,0.008686737518482078,0.87
7.75,8.0,7.875,0.007962842725275239,0.0,0.0,0.007962842725275239,0.9
8.0,8.25,8.125,0.007350316361792528,0.0,0.0,0.007350316361792528,0.92
8.25,8.5,8.375,0.006626421568585688,0.0,0.0,0.006626421568585688,0.99
8.5,8.75,8.625,0.005902526775378848,0.0,0.0,0.005902526775378848,1.03
8.75,9.0,8.875,0.005106242502851324,0.0,0.0,0.005106242502851324,1.08
9.0,9.25,9.125,0.004471442453423787,0.0,0.0,0.004471442453423787,1.17
9.25,9.5,9.375,0.003719705552785916,0.0,0.0,0.003719705552785916,1.28
9.5,9.75,9.625,0.003079337081872173,0.0,0.0,0.003079337081872173,1.39
9.75,10.0,9.875,0.002271915966372236,0.0,0.0,0.002271915966372236,1.64
10.0,10.25,10.125,0.0014088106360102344,0.0,0.0,0.0014088106360102344,2.03
10.25,10.5,10.375,0.0005557284643234047,0.0,0.0,0.0005557284643234047,3.21
10.5,10.75,10.625,6.682105783447751e-05,0.0,0.0,6.682105783447751e-05,9.21
10.75,11.0,10.875,1.7095053962653832e-06,0.0,0.0,1.7095053962653832e-06,57.74
