energy_low_MeV,energy_high_MeV,energy_center_MeV,reference_photon_probability_mass,project_probability_mass_rebinned_to_reference,project_probability_mass_rebinned_normalized,reference_photon_probability_mass_normalized,reference_relative_uncertainty_percent
0.0,0.25,0.125,0.0006920088702955192,0.021430115697864384,0.021430458224477478,0.0006920088702955193,4.34
0.25,0.5,0.375,0.00722298820847175,0.054139030881572084,0.054139896208626095,0.007222988208471751,1.25
0.5,0.75,0.625,0.03518294256384626,0.06224424752983103,0.062245242405994626,0.03518294256384627,0.54
0.75,1.0,0.875,0.05405591175372406,0.05665135702852945,0.056652262511156036,0.05405591175372407,0.41
1.0,1.25,1.125,0.06221089844070829,0.04696469368042683,0.046965444337011615,0.0622108984407083,0.37
1.25,1.5,1.375,0.06407489539773327,0.03495376335385753,0.034954322034657266,0.06407489539773328,0.37
1.5,1.75,1.625,0.06151189958182393,0.029554432751409107,0.02955490513242165,0.06151189958182394,0.37
1.75,2.0,1.875,0.05731790642851776,0.025687970764407972,0.025688381346121447,0.057317906428517765,0.38
2.0,2.25,2.125,0.05265791403595533,0.023033589510912604,0.02303395766652659,0.052657914035955336,0.39
2.25,2.5,2.375,0.047997921643392914,0.021261008987579984,0.021261348811288924,0.04799792164339292,0.4
2.5,2.75,2.625,0.04333792925083049,0.021033626643274586,0.02103396283263524,0.0433379292508305,0.41
2.75,3.0,2.875,0.03960993533678056,0.021636005331698238,0.021636351149132527,0.03960993533678057,0.43
3.0,3.25,3.125,0.03634794066198686,0.022698417901337066,0.0226987806997613,0.03634794066198687,0.44
3.25,3.5,3.375,0.03308594598719317,0.02413171633467487,0.024132102042114845,0.03308594598719318,0.45
3.5,3.75,3.625,0.0300569509320276,0.024910485278917063,0.02491088343375082,0.030056950932027603,0.47
3.75,4.0,3.875,0.02749395511611827,0.02519321456687799,0.02519361724069367,0.027493955116118275,0.49
4.0,4.25,4.125,0.02516395891983706,0.025341234559728323,0.025341639599410222,0.025163958919837064,0.5
4.25,4.5,4.375,0.023532961582440216,0.025476319732963996,0.025476726931769417,0.02353296158244022,0.52
4.5,4.75,4.625,0.021412665043824313,0.025637057093187247,0.025637466861125956,0.021412665043824317,0.54
4.75,5.0,4.875,0.019851567592315905,0.025697355657486768,0.025697766389202962,0.01985156759231591,0.56
5.0,5.25,5.125,0.01836037002669593,0.02563552951975874,0.025635939263281598,0.018360370026695935,0.57
5.25,5.5,5.375,0.016915772385001582,0.025393900382862267,0.025394306264324318,0.016915772385001585,0.59
5.5,5.75,5.625,0.015727474324898162,0.025064542667101862,0.025064943284300086,0.015727474324898166,0.62
5.75,6.0,5.875,0.014609076150683185,0.024636906027640796,0.024637299809741543,0.014609076150683187,0.63
6.0,6.25,6.125,0.013630477748245075,0.02415689851020029,0.024157284620137644,0.013630477748245077,0.65
6.25,6.5,6.375,0.012861579003472276,0.023561032863296298,0.023561409449260714,0.012861579003472278,0.66
6.5,6.75,6.625,0.011929580524959791,0.022958003401313536,0.02295837034880273,0.011929580524959793,0.68
6.75,7.0,6.875,0.011183981742149806,0.022228885147169253,0.022229240440852668,0.011183981742149808,0.71
7.0,7.25,7.125,0.010648082617005127,0.02151157258018365,0.021511916408756583,0.010648082617005129,0.72
7.25,7.5,7.375,0.009972383720083576,0.020333573541483782,0.020333898541599293,0.009972383720083577,0.73
7.5,7.75,7.625,0.009226784937273589,0.019232569715745104,0.019232877118050284,0.00922678493727359,0.75
7.75,8.0,7.875,0.008714185774091724,0.017215676587083263,0.01721595175253158,0.008714185774091726,0.78
8.0,8.25,8.125,0.00824818653483548,0.015620649641177957,0.015620899312635234,0.008248186534835483,0.79
8.25,8.5,8.375,0.007735587371653615,0.014768309074519571,0.014768545122656676,0.007735587371653616,0.82
8.5,8.75,8.625,0.007316188056322997,0.01398929644542887,0.013989520042277276,0.007316188056322998,0.86
8.75,9.0,8.875,0.006920088702955192,0.013048902379089462,0.013049110945221326,0.006920088702955193,0.88
9.0,9.25,9.125,0.0064074895397733264,0.011905094935968943,0.011905285220142135,0.006407489539773327,0.89
9.25,9.5,9.375,0.006151189958182393,0.010209832217194691,0.010209995405266044,0.006151189958182394,0.92
9.5,9.75,9.625,0.005708490680888963,0.008336549621676551,0.008336682868278999,0.005708490680888964,0.96
9.75,10.0,9.875,0.005382291213409594,0.00624577107538005,0.006245870904183719,0.005382291213409595,0.98
10.0,10.25,10.125,0.005056091745930224,0.004640789845977988,0.00464086402168709,0.005056091745930225,1.0
10.25,10.5,10.375,0.004753192240413667,0.0033300639578335675,0.003330117183655814,0.004753192240413668,1.04
10.5,10.75,10.625,0.00456679254471117,0.002485870584806118,0.002485910317528237,0.004566792544711171,1.05
10.75,11.0,10.875,0.004240593077231801,0.0019109681536618418,0.0019109986974749798,0.004240593077231802,1.1
11.0,11.25,11.125,0.0037978937999383713,0.0014513400431984734,0.0014513632405809072,0.0037978937999383717,1.16
11.25,11.5,11.375,0.003611494104235875,0.0009458837775488404,0.0009458988960097611,0.0036114941042358754,1.2
11.5,11.75,11.625,0.0033784944846077538,0.0005573375902828482,0.0005573464984455404,0.003378494484607754,1.21
11.75,12.0,11.875,0.0030988949410540086,0.00023155427268438993,0.00023155797371437448,0.003098894941054009,1.27
12.0,12.25,12.125,0.0028891952833887,0.00012840520771242232,0.00012840726006722625,0.0028891952833887003,1.3
12.25,12.5,12.375,0.0026794956257233907,0.00011269375535274108,0.00011269555658474943,0.002679495625723391,1.36
12.5,12.75,12.625,0.0023765961202068336,0.000102467886559216,0.00010246952434683361,0.002376596120206834,1.46
12.75,13.0,12.875,0.002101656569045651,8.416182828410714e-05,8.416317347824422e-05,0.0021016565690456512,1.51
