thickness_cm,n_energy,spectral_integral,response_weighted_mean_energy_MeV,response_weighted_energy_spread_MeV,peak_energy_MeV,shape_entropy_bits,effective_shape_bins,normalized_shape_total_variation,positive_response_bin_fraction,covered_lethargy_width,median_relative_bin_mc_sigma,p90_relative_bin_mc_sigma,theiler_nn_entropy_bits_d2,mi_delay_log_energy,mi_delay_samples
0.0,120.0,35681.699610680604,25.69932936413197,13.6199966270016,39.41955153069267,3.041539164139609,8.23369018377943,0.8870700077596005,0.45,29.61202258479513,0.06368897194260065,0.7071064277123338,1.395244142010571,1.9741348389863447,8.0
25.0,120.0,8862.097527037748,22.22683807353607,15.82391159291612,39.41955153069267,3.8976294061864922,14.904017891762168,0.7927659826634815,0.85,29.61202258479513,0.10391707228619196,0.19349035495030356,0.6799459483555353,1.9741348389863447,8.0
50.0,120.0,1216.8862375994145,18.676704220376173,16.751758562009652,39.41955153069267,4.527271792369794,23.059219747402576,0.730354641840983,0.825,29.61202258479513,0.18576956596410568,0.3350489911991707,0.4390403660048636,1.2338342743664654,5.0
75.0,120.0,176.69296433353685,15.235832440076607,16.660724638700856,39.41955153069267,5.011473088652149,32.2554958233833,0.7070301604366684,0.8166666666666667,29.61202258479513,0.36872282198314554,0.5339772199196688,0.5379959438107361,1.4806011292397585,6.0
100.0,120.0,29.841289752025478,14.480747944688241,16.379633181736676,39.41955153069267,4.863486322027229,29.110875468687105,0.8954923405049069,0.6333333333333333,29.61202258479513,0.7090515317747899,1.0,0.7785211449742371,1.4806011292397585,6.0
125.0,120.0,5.432426177938664,10.181933763313689,15.120876221293818,39.41955153069267,4.923285471470432,30.342866346727078,1.0862796922026259,0.35833333333333334,29.61202258479513,0.7306794670787237,1.0,1.5727714556769652,1.2338342743664654,5.0
150.0,120.0,1.0783594828579224,11.87722227799562,13.142889297511918,5.474643097895469,3.2240349166927085,9.343965300620505,1.6492111710867416,0.1,29.61202258479513,1.0,1.0,,1.9741348389863447,8.0
175.0,120.0,0.3311405937259714,2.4226637572663323,4.036505502880944,0.00013491741957144998,2.782717955824329,6.881475597801908,1.9999999999998042,0.058333333333333334,29.61202258479513,1.0,1.0000000000000002,,1.9741348389863447,8.0
200.0,120.0,0.05271534774159555,2.3860833732336816e-05,1.6988758489467067e-06,2.398179258828085e-05,-0.0,1.0,2.0,0.008333333333333333,29.61202258479513,1.0,1.0,,1.9741348389863447,8.0
