dataset_file,local_path,size_bytes,expected_sha256,actual_sha256,sha256_pass
PSSD.zip,/home/a/Downloads/shielding_ready/_working/archives/PSSD.zip,514769190,b5c890fa7e757e70b635499a79881763cda6ca8904136fefcb3b415051ab278e,b5c890fa7e757e70b635499a79881763cda6ca8904136fefcb3b415051ab278e,True
RB2000164_raw.zip,/home/a/Downloads/shielding_ready/_working/archives/RB2000164_raw.zip,1039573918,48f135c6521ab09d818cd1c8c271b0343fed99a726c7d910b7fb29aa34953cff,48f135c6521ab09d818cd1c8c271b0343fed99a726c7d910b7fb29aa34953cff,True
iaea-pd2019.tar.gz,/home/a/Downloads/split_for_chatgpt/iaea-pd2019.tar.gz,164096615,29a1edf72e68f9acfd1c16c00696e23f9c52f8c1191563ed34d9657da57df4a4,29a1edf72e68f9acfd1c16c00696e23f9c52f8c1191563ed34d9657da57df4a4,True
