K,mean_concentration,uniform_baseline_concentration,mean_concentration_excess,mean_stabilization_TV
0.0,0.018467354951284983,0.002472008143084424,0.01599534680820056,0.5326086956521623
0.20600607564523232,0.016043817556103082,0.0034414231011571828,0.0126023944549459,0.5217391304347713
0.41201215129046465,0.030100334448158118,0.012166157723812032,0.017934176724346086,0.4673913043478159
0.618018226935697,0.0354321167175583,0.019921477388394133,0.015510639329164164,0.478260869565207
0.8240243025809293,0.06160632058552283,0.03058504192719449,0.031021278658328336,0.6086956521738998
1.0300303782261615,0.17502787068003584,0.11104648344723367,0.06398138723280217,0.7391304347825927
1.236036453871394,0.27293878144538475,0.20604914933836424,0.06688963210702048,0.4565217391304248
1.4420425295166264,0.15515486403954426,0.15854781639279894,-0.00339295235325468,0.3804347826086873
1.6480486051618586,0.03979448402888572,0.04900392613057695,-0.009209442101691234,0.4673913043478159
1.8540546808070908,0.03640153167563106,0.034462701759485535,0.0019388299161455253,0.41304347826086063
2.060060756452323,0.07081576268721407,0.09165818428577842,-0.020842421598564358,0.4021739130434695
2.2660668320975557,0.9781881634433183,0.9563763268866811,0.021811836556637154,0.010869565217391068
2.472072907742788,0.5337114051669574,0.5278949154185208,0.005816489748436515,0.02173913043478213
2.67807898338802,0.9781881634433183,0.8720372255343507,0.10615093790896751,0.010869565217391068
2.8840850590332527,0.49202656196982864,0.48814890213753753,0.003877659832291075,0.05434782608695535
3.090091134678485,0.5283796228975571,0.4959042218021197,0.03247540109543745,0.0
3.296097210323717,0.2356163055595834,0.2244680335417467,0.011148272017836733,0.10869565217391065
3.5021032859689494,0.08874993941156015,0.0780863748727598,0.010663564538800359,0.2608695652173856
3.7081093616141816,0.033977994280449154,0.03349328680141278,0.00048470747903637396,0.4891304347825981
3.9141154372594142,0.02525325965779431,0.028646212011048965,-0.003392952353254656,0.4891304347825981
4.120121512904646,0.02573796713683069,0.02864621201104897,-0.002908244874218282,0.5652173913043356
4.326127588549879,0.4954195143230833,0.39314623624640693,0.10227327807667638,0.20652173913043032
4.532133664195111,0.9999999999999554,0.9563763268866811,0.04362367311327431,0.0
4.738139739840343,0.5012360040715199,0.48814890213753753,0.013087101933982354,0.0
4.944145815485576,0.166303136057381,0.17502787068003586,-0.00872473462265487,0.19565217391303918
5.150151891130808,0.09650525907614223,0.08099461974697805,0.015510639329164175,0.28260869565216773
5.35615796677604,0.04706509621443143,0.03640153167563106,0.010663564538800376,0.4021739130434695
5.562164042421273,0.0402791915079221,0.03252387184334001,0.007755319664582087,0.4565217391304248
5.7681701180665055,0.03155445688526726,0.034462701759485535,-0.0029082448742182784,0.4673913043478159
5.974176193711737,0.030585041927194488,0.04803451117250419,-0.017449469245309705,0.3913043478260785
6.18018226935697,0.030585041927194488,0.024768552178757938,0.005816489748436552,0.5434782608695534
6.386188345002202,0.03106974940623087,0.024768552178757924,0.006301197227472943,0.4565217391304248
6.592194420647434,0.029615626969121726,0.028646212011048965,0.0009694149580727635,0.4565217391304249
6.798200496292667,0.03591682419659467,0.032523871843340026,0.003392952353254649,0.46739130434781595
7.004206571937899,0.03058504192719449,0.021860307304539642,0.00872473462265485,0.489130434782598
7.210212647583131,0.03979448402888572,0.034462701759485535,0.005331782269400185,0.5108695652173803
7.416218723228363,0.027192089573939832,0.04124860646599486,-0.014056516892055029,0.4347826086956427
7.622224798873596,0.023314429741648785,0.025737967136830686,-0.002423537395181901,0.5108695652173803
7.8282308745188285,0.03930977654984935,0.051912171004795234,-0.012602394454945882,0.46739130434781584
8.034236950164061,0.041733313945031235,0.03252387184334001,0.009209442101691223,0.48913043478259804
8.240243025809292,0.019921477388394122,0.026707382094903448,-0.006785904706509326,0.3804347826086874
8.446249101454525,0.9350491978090804,0.8313217972952949,0.10372740051378548,0.03260869565217321
8.652255177099757,0.40187097086906187,0.37569676700109733,0.02617420386796457,0.07608695652173748
8.85826125274499,0.14594542193785304,0.1721196258058176,-0.02617420386796457,0.10869565217391067
9.064267328390223,0.03688623915466744,0.03640153167563106,0.0004847074790363809,0.4021739130434695
9.270273404035455,0.03979448402888572,0.0305850419271945,0.009209442101691221,0.4565217391304248
9.476279479680686,0.03252387184334001,0.0305850419271945,0.0019388299161455132,0.4347826086956427
9.682285555325919,0.021860307304539646,0.02476855217875793,-0.0029082448742182854,0.5217391304347712
9.888291630971151,0.024283844699721543,0.019921477388394126,0.004362367311327419,0.4456521739130338
10.094297706616384,0.02331442974164878,0.023799137220685166,-0.00048470747903638263,0.47826086956520697
10.300303782261617,0.023314429741648785,0.01895206243032136,0.004362367311327425,0.5108695652173801
10.506309857906848,0.4362852018806449,0.5414667248315393,-0.10518152295089447,0.26086956521738563
10.71231593355208,0.39605448112062536,0.33013426397167756,0.06592021714894783,0.08695652173912854
10.918322009197313,0.03397799428044916,0.021860307304539642,0.012117686975909519,0.5652173913043356
11.124328084842546,0.04124860646599486,0.022829722262612404,0.01841888420338246,0.5434782608695534
11.330334160487778,0.030585041927194488,0.03252387184334001,-0.0019388299161455253,0.5108695652173803
11.536340236133011,0.03155445688526725,0.023799137220685166,0.007755319664582082,0.41304347826086063
11.742346311778242,0.02864621201104897,0.02864621201104897,1.734723475976807e-18,0.47826086956520697
11.948352387423474,0.033977994280449154,0.03543211671755829,-0.001454122437109134,0.36956521739129633
12.154358463068707,0.022345014783576023,0.019921477388394126,0.0024235373951818975,0.47826086956520697
12.36036453871394,0.02379913722068517,0.017013232514175837,0.006785904706509331,0.5108695652173801
12.566370614359172,0.023799137220685163,0.025737967136830686,-0.0019388299161455218,0.5434782608695534
