run_number,path,shape,dtype,size,value,matching_attributes,role
44712,raw_data_1/selog/Sample/read_control,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Sample/set_control,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Sample/setpoint,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/selog/Sample/setpoint_spread,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/selog/Sample/value,"(1,)",float32,1,[829.4179],,early_empty_control
44712,raw_data_1/selog/Sample/value_log/alarm_severity,"(1, 1)",|S4,1,[NONE],,early_empty_control
44712,raw_data_1/selog/Sample/value_log/alarm_status,"(1, 1)",|S8,1,[NO_ALARM],,early_empty_control
44712,raw_data_1/selog/Sample/value_log/alarm_time,"(1,)",float32,1,[-878.0],,early_empty_control
44712,raw_data_1/selog/Sample/value_log/name,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Sample/value_log/time,"(3,)",float32,3,"[-878.0, 3.0, 636.0]",,early_empty_control
44712,raw_data_1/selog/Sample/value_log/value,"(3,)",float32,3,"[829.4179, 829.4179, 829.4179]",,early_empty_control
44712,raw_data_1/selog/Sample/value_log/value_valid,"(3,)",int32,3,"[1, 1, 1]",,early_empty_control
44712,raw_data_1/selog/Sample/value_spread,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/selog/Sample/vi_name,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/read_control,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/set_control,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/setpoint,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/setpoint_spread,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value,"(1,)",float32,1,[20.5],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_severity,"(1, 1)",|S4,1,[NONE],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_status,"(1, 1)",|S8,1,[NO_ALARM],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_time,"(1,)",float32,1,[-1991.0],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/name,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/time,"(14,)",float32,14,"[-1991.0, -1269.0, -1245.0, -1211.0, -1179.0, -1154.0, -406.0, -340.0, -318.0, 3.0, 391.0, 511.0, 597.0, 636.0]",,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/value,"(14,)",float32,14,"[20.53, 20.52, 20.53, 20.52, 20.53, 20.52, 20.51, 20.52, 20.51, 20.51, 20.5, 20.51, 20.5, 20.5]",,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_log/value_valid,"(14,)",int32,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/value_spread,"(1,)",float32,1,[0.01],,early_empty_control
44712,raw_data_1/selog/Water_Bath_Temp/vi_name,"(1,)",|S1,1,[ ],,early_empty_control
44712,raw_data_1/title,"(1,)",|S19,1,[Empty tank with GEM],,early_empty_control
44724,raw_data_1/definition,"(1,)",|S6,1,[TOFRAW],url=b'http://definition.nexusformat.org/instruments/TOFRAW?version=1.0',concrete_sample_1
44724,raw_data_1/definition_local,"(1,)",|S10,1,[ISISTOFRAW],url=b'http://svn.isis.rl.ac.uk/instruments/ISISTOFRAW?version=1.0',concrete_sample_1
44724,raw_data_1/detector_1/counts,"(1, 196, 9729)",int32,1906884,,"axes=b'period_index,spectrum_index,time_of_flight' | target=b'/raw_data_1/instrument/detector_1/counts'",concrete_sample_1
44724,raw_data_1/detector_1/period_index,"(1,)",int32,1,[1],,concrete_sample_1
44724,raw_data_1/detector_1/spectrum_index,"(196,)",int32,196,,target=b'/raw_data_1/instrument/detector_1/spectrum_index',concrete_sample_1
44724,raw_data_1/detector_1/time_of_flight,"(9730,)",float32,9730,,target=b'/raw_data_1/instrument/dae/time_channels_1/time_of_flight',concrete_sample_1
44724,raw_data_1/instrument/dae/detector_table_file,"(1,)",|S83,1,[C:/Instrument/Settings/config/NDXVESUVIO/configurations/tables/detector_dae3_00.dat],,concrete_sample_1
44724,raw_data_1/instrument/dae/spectra_table_file,"(1,)",|S83,1,[C:/Instrument/Settings/config/NDXVESUVIO/configurations/tables/spectrum_dae3_00.dat],,concrete_sample_1
44724,raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw,"(9730,)",int32,9730,,target=b'/raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw',concrete_sample_1
44724,raw_data_1/instrument/detector_1/delt,"(196,)",float32,196,,,concrete_sample_1
44724,raw_data_1/instrument/detector_1/distance,"(196,)",float32,196,,,concrete_sample_1
44724,raw_data_1/instrument/detector_1/polar_angle,"(196,)",float32,196,,,concrete_sample_1
44724,raw_data_1/instrument/detector_1/source_detector_distance,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/instrument/moderator/distance,"(1,)",float32,1,[-0.0],,concrete_sample_1
44724,raw_data_1/isis_vms_compat/HDR,"(1,)",|S80,1,[VES44724Martellucci         Concrete sample 1 (117.708-MAY-2021 18:43:18   30.06],,concrete_sample_1
44724,raw_data_1/isis_vms_compat/TITL,"(1,)",|S80,1,[Concrete sample 1 (117.77g) in tank with GEM                                    ],,concrete_sample_1
44724,raw_data_1/monitor_1/data,"(1, 1, 9729)",int32,9729,,"axes=b'period_index,spectrum_index,time_of_flight'",concrete_sample_1
44724,raw_data_1/monitor_1/monitor_number,"(1,)",int32,1,[1],,concrete_sample_1
44724,raw_data_1/monitor_1/spectrum_index,"(1,)",int32,1,[1],,concrete_sample_1
44724,raw_data_1/monitor_2/data,"(1, 1, 9729)",int32,9729,,"axes=b'period_index,spectrum_index,time_of_flight'",concrete_sample_1
44724,raw_data_1/monitor_2/monitor_number,"(1,)",int32,1,[2],,concrete_sample_1
44724,raw_data_1/monitor_2/spectrum_index,"(1,)",int32,1,[2],,concrete_sample_1
44724,raw_data_1/monitor_events_not_saved,"(1,)",int64,1,[0],,concrete_sample_1
44724,raw_data_1/runlog/icp_event/time,"(18,)",float32,18,"[-310.0, -306.0, -306.0, -306.0, -95.0, -95.0, -68.0, -64.0, -64.0, -64.0, -22.0, -22.0, -4.0, 0.0, 0.0, 0.0, 635.0, 635.0]",,concrete_sample_1
44724,raw_data_1/runlog/icp_event/value,"(18, 1)",|S65,18,"[CHANGE_PERIOD 1                                                  , CHANGE_PERIOD 1                                                  , START_COLLECTION PERIOD 1 GF 0 RF 0 GUAH 0.000000                , BEGIN                                                            , STOP_COLLECTION PERIOD 1 GF 8420 RF 8420 GUAH 9.958024 DUR 211   , ABORT                                                            , CHANGE_PERIOD 1                                                  , CHANGE_PERIOD 1                                                  , START_COLLECTION PERIOD 1 GF 0 RF 0 GUAH 0.000000                , BEGIN                                                            , STOP_COLLECTION PERIOD 1 GF 1657 RF 1657 GUAH 1.960971 DUR 42    , ABORT                                                            , CHANGE_PERIOD 1                                                  , CHANGE_PERIOD 1                                                  , START_COLLECTION PERIOD 1 GF 0 RF 0 GUAH 0.000000                , BEGIN                                                            , STOP_COLLECTION PERIOD 1 GF 25396 RF 25396 GUAH 30.058828 DUR 635, END                                                              ]",,concrete_sample_1
44724,raw_data_1/runlog/monitor_sum_1/time,"(33,)",float32,33,"[-306.0, -275.0, -245.0, -215.0, -185.0, -155.0, -125.0, -95.0, -64.0, -34.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0, 330.0, 360.0, 391.0, 421.0, 451.0, 481.0, 511.0, 541.0, 571.0, 601.0, 631.0, 636.0]",,concrete_sample_1
44724,raw_data_1/runlog/monitor_sum_1/value,"(33,)",int32,33,"[0, 89549, 178955, 268298, 357317, 447340, 537130, 626719, 0, 89791, 0, 89820, 179159, 268790, 358558, 448066, 537662, 628182, 718078, 807661, 896856, 986827, 1076648, 1166369, 1255787, 1345688, 1435098, 1525139, 1614899, 1704346, 1793940, 1883703, 1883703]",,concrete_sample_1
44724,raw_data_1/sample/distance,"(1,)",float64,1,[0.0],,concrete_sample_1
44724,raw_data_1/sample/height,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/sample/id,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/sample/name,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/sample/shape,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/sample/thickness,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/sample/type,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/sample/width,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/selog/Sample/read_control,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Sample/set_control,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Sample/setpoint,"(1,)",float32,1,[0.0],,concrete_sample_1
