run_number,path,shape,dtype,size,role
44712,raw_data_1/isis_vms_compat/SPB,"(64,)",int32,64,early_empty_control
44712,raw_data_1/isis_vms_compat/SPEC,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/TCM1,"(5,)",int32,5,early_empty_control
44712,raw_data_1/isis_vms_compat/TCP1,"(20,)",float32,20,early_empty_control
44712,raw_data_1/isis_vms_compat/TIMR,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/TITL,"(1,)",|S80,1,early_empty_control
44712,raw_data_1/isis_vms_compat/TTHE,"(198,)",float32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/UDET,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/ULEN,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/USER,"(1,)",|S160,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER1,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER2,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER3,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER4,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER5,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER6,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER7,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER8,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/VER9,"(1,)",int32,1,early_empty_control
44712,raw_data_1/measurement/first_run,"(1,)",int32,1,early_empty_control
44712,raw_data_1/measurement/id,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement/label,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement/subid,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement/type,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement_first_run,"(1,)",int32,1,early_empty_control
44712,raw_data_1/measurement_id,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement_label,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement_subid,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/measurement_type,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/monitor_1/data,"(1, 1, 9729)",int32,9729,early_empty_control
44712,raw_data_1/monitor_1/monitor_number,"(1,)",int32,1,early_empty_control
44712,raw_data_1/monitor_1/spectrum_index,"(1,)",int32,1,early_empty_control
44712,raw_data_1/monitor_2/data,"(1, 1, 9729)",int32,9729,early_empty_control
44712,raw_data_1/monitor_2/monitor_number,"(1,)",int32,1,early_empty_control
44712,raw_data_1/monitor_2/spectrum_index,"(1,)",int32,1,early_empty_control
44712,raw_data_1/monitor_events_not_saved,"(1,)",int64,1,early_empty_control
44712,raw_data_1/name,"(1,)",|S7,1,early_empty_control
44712,raw_data_1/notes,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/periods/frames_requested,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/good_frames,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/good_frames_daq,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/highest_used,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/labels,"(1,)",|S8,1,early_empty_control
44712,raw_data_1/periods/number,"(1,)",int32,1,early_empty_control
