curve,observable,spectral_centroid_frequency,peak_frequency,spectral_spread,normalized_frequency,omega_rad_per_model_unit
1,transmission_proxy,34.44910096593334,1.4635150189464636,26.081178307740768,1.4136782815553994,8.882402607747771
2,transmission_proxy,33.638150540911525,2.248915812514545,25.296173688946276,1.3803995320052977,8.673306057533264
3M,transmission_proxy,22.04517881631236,2.5706443916360167,23.73194165924357,0.9046619398411809,5.684158608374691
4M,transmission_proxy,25.08700948447516,2.551993716279812,24.12881034368624,1.0294887083540465,6.468468326237435
5I,transmission_proxy,22.30488037041438,5.720110889854803,24.06776594955691,0.9153192410892822,5.751120406990947
6I,transmission_proxy,23.64982323821577,2.5217548478823315,23.76773887993905,0.9705112916459533,6.097902288121736
